Residence,Region,Sub-Region,Period,Business
Canada,America,,2015-09,590
United States of America,America,,2015-09,8469
Mexico,America,,2015-09,52
Brazil,America,,2015-09,62
Thailand,Asia,Southeast Asia,2015-09,760
Malaysia,Asia,Southeast Asia,2015-10,1883
Indonesia,Asia,Southeast Asia,2015-10,527
Singapore,Asia,Southeast Asia,2015-10,4017
Middle East,Asia,,2015-10,757
HongKong. Macao,Asia,,2015-10,7561
"Korea,Republic of",Asia,,2015-10,5590
Philippines,Asia,Southeast Asia,2015-10,590
Japan,Asia,,2015-10,23212
India,Asia,,2015-10,990
Thailand,Asia,Southeast Asia,2015-10,932
Mainland China,Asia,,2015-10,1501
"Others, Southeast Asia",Asia,Southeast Asia,2015-10,117
Netherlands,Europe,,2015-10,735
Switzerland,Europe,,2015-10,391
United Kingdom,Europe,,2015-10,1314
Austria,Europe,,2015-10,262
Greece,Europe,,2015-10,45
Sweden,Europe,,2015-10,333
Russian Federation,Europe,,2015-10,191
"Others, Europe",Europe,,2015-10,1085
Australia,Oceania,,2015-10,1002
New Zealand,Oceania,,2015-10,184
"Others, Oceania",Oceania,,2015-10,28
S. Africa,Africa,,2015-10,99
"Others, Africa",Africa,,2015-10,168
Unstated,,,2015-10,13
Vietnam,Asia,Southeast Asia,2015-10,607
Italy,Europe,,2015-10,774
Germany,Europe,,2015-10,2356
Spain,Europe,,2015-10,286
Brazil,America,,2015-10,101
Mexico,America,,2015-10,91
Argentina,America,,2015-10,19
"Others, America",America,,2015-10,177
Belgium,Europe,,2015-10,213
France,Europe,,2015-10,1074
United States of America,America,,2015-10,10242
"Others, Asia",Asia,,2015-10,225
Canada,America,,2015-10,836
Malaysia,Asia,Southeast Asia,2015-11,1852
S. Africa,Africa,,2015-11,93
"Others, Southeast Asia",Asia,Southeast Asia,2015-11,96
"Others, Oceania",Oceania,,2015-11,21
HongKong. Macao,Asia,,2015-11,8382
Vietnam,Asia,Southeast Asia,2015-11,648
Mainland China,Asia,,2015-11,1605
Middle East,Asia,,2015-11,817
Japan,Asia,,2015-11,24525
Australia,Oceania,,2015-11,980
New Zealand,Oceania,,2015-11,175
Philippines,Asia,Southeast Asia,2015-11,607
"Korea,Republic of",Asia,,2015-11,5553
India,Asia,,2015-11,990
Singapore,Asia,Southeast Asia,2015-11,4397
Thailand,Asia,Southeast Asia,2015-11,967
Indonesia,Asia,Southeast Asia,2015-11,578
France,Europe,,2015-11,1095
Sweden,Europe,,2015-11,297
Belgium,Europe,,2015-11,250
"Others, America",America,,2015-11,164
Argentina,America,,2015-11,16
Brazil,America,,2015-11,87
Mexico,America,,2015-11,71
United States of America,America,,2015-11,9377
Canada,America,,2015-11,923
Germany,Europe,,2015-11,2393
"Others, Asia",Asia,,2015-11,194
Netherlands,Europe,,2015-11,766
Switzerland,Europe,,2015-11,361
Spain,Europe,,2015-11,338
"Others, Africa",Africa,,2015-11,152
United Kingdom,Europe,,2015-11,1423
Austria,Europe,,2015-11,239
Greece,Europe,,2015-11,51
Italy,Europe,,2015-11,787
Unstated,,,2015-11,9
"Others, Europe",Europe,,2015-11,1056
Russian Federation,Europe,,2015-11,207
Mainland China,Asia,,2015-12,1455
Canada,America,,2015-12,487
United States of America,America,,2015-12,6853
Mexico,America,,2015-12,39
Brazil,America,,2015-12,23
Argentina,America,,2015-12,12
"Others, America",America,,2015-12,53
France,Europe,,2015-12,533
Germany,Europe,,2015-12,1180
Italy,Europe,,2015-12,372
Netherlands,Europe,,2015-12,389
Switzerland,Europe,,2015-12,174
Spain,Europe,,2015-12,121
United Kingdom,Europe,,2015-12,689
Austria,Europe,,2015-12,101
Greece,Europe,,2015-12,22
"Others, Asia",Asia,,2015-12,143
HongKong. Macao,Asia,,2015-12,6568
"Others, Southeast Asia",Asia,Southeast Asia,2015-12,83
"Others, Africa",Africa,,2015-12,108
Japan,Asia,,2015-12,21117
Sweden,Europe,,2015-12,129
Russian Federation,Europe,,2015-12,183
"Others, Europe",Europe,,2015-12,508
"Korea,Republic of",Asia,,2015-12,4725
India,Asia,,2015-12,874
Middle East,Asia,,2015-12,635
Unstated,,,2015-12,4
Malaysia,Asia,Southeast Asia,2015-12,1293
Indonesia,Asia,Southeast Asia,2015-12,412
Philippines,Asia,Southeast Asia,2015-12,455
Vietnam,Asia,Southeast Asia,2015-12,617
Australia,Oceania,,2015-12,554
New Zealand,Oceania,,2015-12,117
"Others, Oceania",Oceania,,2015-12,14
S. Africa,Africa,,2015-12,34
Singapore,Asia,Southeast Asia,2015-12,2755
Thailand,Asia,Southeast Asia,2015-12,698
Belgium,Europe,,2015-12,117
"Others, America",America,,2016-01,73
Canada,America,,2016-01,668
United States of America,America,,2016-01,9046
Mexico,America,,2016-01,58
Brazil,America,,2016-01,57
Argentina,America,,2016-01,13
Belgium,Europe,,2016-01,164
France,Europe,,2016-01,812
Germany,Europe,,2016-01,1677
Italy,Europe,,2016-01,565
Netherlands,Europe,,2016-01,618
Switzerland,Europe,,2016-01,249
Spain,Europe,,2016-01,176
United Kingdom,Europe,,2016-01,1178
Austria,Europe,,2016-01,194
Greece,Europe,,2016-01,52
Sweden,Europe,,2016-01,223
Russian Federation,Europe,,2016-01,132
"Others, Europe",Europe,,2016-01,834
Australia,Oceania,,2016-01,653
New Zealand,Oceania,,2016-01,99
"Others, Oceania",Oceania,,2016-01,28
S. Africa,Africa,,2016-01,58
Unstated,,,2016-01,3
"Others, Asia",Asia,,2016-01,180
"Others, Southeast Asia",Asia,Southeast Asia,2016-01,89
"Others, Africa",Africa,,2016-01,115
Thailand,Asia,Southeast Asia,2016-01,734
Vietnam,Asia,Southeast Asia,2016-01,491
HongKong. Macao,Asia,,2016-01,7831
Mainland China,Asia,,2016-01,1317
"Korea,Republic of",Asia,,2016-01,5139
India,Asia,,2016-01,996
Japan,Asia,,2016-01,22381
Middle East,Asia,,2016-01,766
Malaysia,Asia,Southeast Asia,2016-01,1750
Singapore,Asia,Southeast Asia,2016-01,4004
Indonesia,Asia,Southeast Asia,2016-01,401
Philippines,Asia,Southeast Asia,2016-01,553
United Kingdom,Europe,,2016-02,747
France,Europe,,2016-02,588
Germany,Europe,,2016-02,1293
Netherlands,Europe,,2016-02,515
Switzerland,Europe,,2016-02,186
Spain,Europe,,2016-02,159
Belgium,Europe,,2016-02,119
Austria,Europe,,2016-02,149
New Zealand,Oceania,,2016-02,115
Unstated,,,2016-02,1
"Others, Africa",Africa,,2016-02,52
S. Africa,Africa,,2016-02,65
"Others, Oceania",Oceania,,2016-02,19
"Others, America",America,,2016-02,62
Australia,Oceania,,2016-02,529
"Others, Europe",Europe,,2016-02,615
Russian Federation,Europe,,2016-02,99
Sweden,Europe,,2016-02,150
Greece,Europe,,2016-02,33
Argentina,America,,2016-02,14
Italy,Europe,,2016-02,441
Mexico,America,,2016-02,33
Vietnam,Asia,Southeast Asia,2016-02,233
Thailand,Asia,Southeast Asia,2016-02,602
Philippines,Asia,Southeast Asia,2016-02,418
Indonesia,Asia,Southeast Asia,2016-02,263
Singapore,Asia,Southeast Asia,2016-02,2399
Malaysia,Asia,Southeast Asia,2016-02,912
Brazil,America,,2016-02,61
India,Asia,,2016-02,623
Middle East,Asia,,2016-02,478
Canada,America,,2016-02,520
"Korea,Republic of",Asia,,2016-02,3706
"Others, Asia",Asia,,2016-02,95
"Others, Southeast Asia",Asia,Southeast Asia,2016-02,42
HongKong. Macao,Asia,,2016-02,5199
Mainland China,Asia,,2016-02,882
Japan,Asia,,2016-02,16555
United States of America,America,,2016-02,5719
Mainland China,Asia,,2016-03,1500
"Others, Southeast Asia",Asia,Southeast Asia,2016-03,123
"Others, Asia",Asia,,2016-03,243
United States of America,America,,2016-03,10380
Mexico,America,,2016-03,98
Brazil,America,,2016-03,168
Argentina,America,,2016-03,36
"Others, America",America,,2016-03,143
Belgium,Europe,,2016-03,219
France,Europe,,2016-03,1080
Canada,America,,2016-03,796
Vietnam,Asia,Southeast Asia,2016-03,665
HongKong. Macao,Asia,,2016-03,8470
Germany,Europe,,2016-03,2159
Thailand,Asia,Southeast Asia,2016-03,1119
Philippines,Asia,Southeast Asia,2016-03,703
Indonesia,Asia,Southeast Asia,2016-03,535
Singapore,Asia,Southeast Asia,2016-03,4339
Malaysia,Asia,Southeast Asia,2016-03,2006
Middle East,Asia,,2016-03,895
India,Asia,,2016-03,1323
"Korea,Republic of",Asia,,2016-03,6073
Japan,Asia,,2016-03,24458
Unstated,,,2016-03,7
Italy,Europe,,2016-03,847
"Others, Africa",Africa,,2016-03,189
Switzerland,Europe,,2016-03,308
"Others, Oceania",Oceania,,2016-03,22
New Zealand,Oceania,,2016-03,207
Australia,Oceania,,2016-03,1054
"Others, Europe",Europe,,2016-03,1002
Russian Federation,Europe,,2016-03,187
Sweden,Europe,,2016-03,320
Greece,Europe,,2016-03,56
S. Africa,Africa,,2016-03,90
Netherlands,Europe,,2016-03,714
Austria,Europe,,2016-03,189
United Kingdom,Europe,,2016-03,1252
Spain,Europe,,2016-03,294
France,Europe,,2016-04,689
Germany,Europe,,2016-04,1648
Italy,Europe,,2016-04,562
Netherlands,Europe,,2016-04,441
Switzerland,Europe,,2016-04,284
Spain,Europe,,2016-04,238
United Kingdom,Europe,,2016-04,909
Austria,Europe,,2016-04,162
New Zealand,Oceania,,2016-04,158
Australia,Oceania,,2016-04,776
Russian Federation,Europe,,2016-04,195
"Others, Europe",Europe,,2016-04,844
Mainland China,Asia,,2016-04,1123
Belgium,Europe,,2016-04,120
S. Africa,Africa,,2016-04,79
"Others, Oceania",Oceania,,2016-04,12
Greece,Europe,,2016-04,53
Sweden,Europe,,2016-04,233
United States of America,America,,2016-04,7063
Argentina,America,,2016-04,18
Japan,Asia,,2016-04,15675
"Korea,Republic of",Asia,,2016-04,4045
India,Asia,,2016-04,909
Middle East,Asia,,2016-04,839
Malaysia,Asia,Southeast Asia,2016-04,1559
Singapore,Asia,Southeast Asia,2016-04,3060
Indonesia,Asia,Southeast Asia,2016-04,392
"Others, America",America,,2016-04,147
Philippines,Asia,Southeast Asia,2016-04,490
Vietnam,Asia,Southeast Asia,2016-04,543
"Others, Southeast Asia",Asia,Southeast Asia,2016-04,90
"Others, Asia",Asia,,2016-04,188
Canada,America,,2016-04,621
"Others, Africa",Africa,,2016-04,185
Mexico,America,,2016-04,82
Brazil,America,,2016-04,90
Thailand,Asia,Southeast Asia,2016-04,662
Unstated,,,2016-04,3
HongKong. Macao,Asia,,2016-04,6820
France,Europe,,2016-05,1055
Belgium,Europe,,2016-05,207
Germany,Europe,,2016-05,1788
Italy,Europe,,2016-05,755
Netherlands,Europe,,2016-05,682
Switzerland,Europe,,2016-05,293
Spain,Europe,,2016-05,294
United Kingdom,Europe,,2016-05,1326
Austria,Europe,,2016-05,182
Greece,Europe,,2016-05,56
Sweden,Europe,,2016-05,314
Russian Federation,Europe,,2016-05,227
"Others, Europe",Europe,,2016-05,1053
Australia,Oceania,,2016-05,965
New Zealand,Oceania,,2016-05,208
"Others, Oceania",Oceania,,2016-05,38
S. Africa,Africa,,2016-05,91
"Others, Africa",Africa,,2016-05,218
"Others, America",America,,2016-05,177
Unstated,,,2016-05,3
Argentina,America,,2016-05,53
Indonesia,Asia,Southeast Asia,2016-05,547
"Korea,Republic of",Asia,,2016-05,5515
India,Asia,,2016-05,1245
Middle East,Asia,,2016-05,1047
Malaysia,Asia,Southeast Asia,2016-05,1876
Singapore,Asia,Southeast Asia,2016-05,4325
Brazil,America,,2016-05,93
Philippines,Asia,Southeast Asia,2016-05,604
Thailand,Asia,Southeast Asia,2016-05,1038
Vietnam,Asia,Southeast Asia,2016-05,710
"Others, Southeast Asia",Asia,Southeast Asia,2016-05,124
"Others, Asia",Asia,,2016-05,248
Canada,America,,2016-05,818
HongKong. Macao,Asia,,2016-05,8137
United States of America,America,,2016-05,9841
Mexico,America,,2016-05,85
Japan,Asia,,2016-05,21667
Mainland China,Asia,,2016-05,1469
"Others, Southeast Asia",Asia,Southeast Asia,2016-06,105
"Others, Asia",Asia,,2016-06,156
Vietnam,Asia,Southeast Asia,2016-06,612
Middle East,Asia,,2016-06,577
Malaysia,Asia,Southeast Asia,2016-06,1694
Indonesia,Asia,Southeast Asia,2016-06,412
Canada,America,,2016-06,609
Mainland China,Asia,,2016-06,1252
HongKong. Macao,Asia,,2016-06,7718
Philippines,Asia,Southeast Asia,2016-06,617
United States of America,America,,2016-06,7813
Thailand,Asia,Southeast Asia,2016-06,887
Brazil,America,,2016-06,69
Singapore,Asia,Southeast Asia,2016-06,3613
Mexico,America,,2016-06,50
Unstated,,,2016-06,2
"Others, Africa",Africa,,2016-06,102
S. Africa,Africa,,2016-06,56
"Others, Oceania",Oceania,,2016-06,16
New Zealand,Oceania,,2016-06,165
"Korea,Republic of",Asia,,2016-06,5842
"Others, Europe",Europe,,2016-06,663
Russian Federation,Europe,,2016-06,251
Sweden,Europe,,2016-06,168
Japan,Asia,,2016-06,23582
India,Asia,,2016-06,1005
Austria,Europe,,2016-06,180
Argentina,America,,2016-06,21
Greece,Europe,,2016-06,38
"Others, America",America,,2016-06,106
Belgium,Europe,,2016-06,173
France,Europe,,2016-06,771
Germany,Europe,,2016-06,1683
Australia,Oceania,,2016-06,787
Netherlands,Europe,,2016-06,554
United Kingdom,Europe,,2016-06,956
Spain,Europe,,2016-06,197
Switzerland,Europe,,2016-06,263
Italy,Europe,,2016-06,555
"Others, America",America,,2016-07,75
Argentina,America,,2016-07,10
Brazil,America,,2016-07,60
Mexico,America,,2016-07,52
United States of America,America,,2016-07,6638
Canada,America,,2016-07,569
"Others, Asia",Asia,,2016-07,151
Vietnam,Asia,Southeast Asia,2016-07,527
Thailand,Asia,Southeast Asia,2016-07,676
Philippines,Asia,Southeast Asia,2016-07,489
Indonesia,Asia,Southeast Asia,2016-07,353
Singapore,Asia,Southeast Asia,2016-07,3511
Malaysia,Asia,Southeast Asia,2016-07,1372
Middle East,Asia,,2016-07,573
"Others, Southeast Asia",Asia,Southeast Asia,2016-07,97
Belgium,Europe,,2016-07,97
Germany,Europe,,2016-07,1288
Italy,Europe,,2016-07,547
"Others, Europe",Europe,,2016-07,466
Russian Federation,Europe,,2016-07,226
Australia,Oceania,,2016-07,654
New Zealand,Oceania,,2016-07,119
"Others, Oceania",Oceania,,2016-07,11
S. Africa,Africa,,2016-07,37
France,Europe,,2016-07,626
"Others, Africa",Africa,,2016-07,150
Sweden,Europe,,2016-07,97
Greece,Europe,,2016-07,28
Austria,Europe,,2016-07,147
United Kingdom,Europe,,2016-07,926
Spain,Europe,,2016-07,156
Netherlands,Europe,,2016-07,467
HongKong. Macao,Asia,,2016-07,6817
Switzerland,Europe,,2016-07,191
"Korea,Republic of",Asia,,2016-07,4606
Unstated,,,2016-07,3
India,Asia,,2016-07,951
Japan,Asia,,2016-07,21099
Mainland China,Asia,,2016-07,1129
Vietnam,Asia,Southeast Asia,2016-08,528
"Korea,Republic of",Asia,,2016-08,4916
India,Asia,,2016-08,1120
Middle East,Asia,,2016-08,624
Malaysia,Asia,Southeast Asia,2016-08,1815
Singapore,Asia,Southeast Asia,2016-08,3984
Indonesia,Asia,Southeast Asia,2016-08,438
Philippines,Asia,Southeast Asia,2016-08,496
HongKong. Macao,Asia,,2016-08,7258
Mainland China,Asia,,2016-08,1254
Brazil,America,,2016-08,66
Mexico,America,,2016-08,72
United States of America,America,,2016-08,7440
Canada,America,,2016-08,522
"Others, Asia",Asia,,2016-08,221
"Others, Southeast Asia",Asia,Southeast Asia,2016-08,117
Thailand,Asia,Southeast Asia,2016-08,899
Argentina,America,,2016-08,14
Japan,Asia,,2016-08,21038
Austria,Europe,,2016-08,171
"Others, Oceania",Oceania,,2016-08,16
S. Africa,Africa,,2016-08,88
"Others, Africa",Africa,,2016-08,186
"Others, America",America,,2016-08,108
"Others, Europe",Europe,,2016-08,668
Russian Federation,Europe,,2016-08,238
Sweden,Europe,,2016-08,151
Greece,Europe,,2016-08,28
New Zealand,Oceania,,2016-08,139
Australia,Oceania,,2016-08,777
Spain,Europe,,2016-08,98
Switzerland,Europe,,2016-08,213
Netherlands,Europe,,2016-08,454
Italy,Europe,,2016-08,328
Germany,Europe,,2016-08,1299
France,Europe,,2016-08,460
Belgium,Europe,,2016-08,114
Unstated,,,2016-08,1
United Kingdom,Europe,,2016-08,868
Austria,Europe,,2016-09,150
United Kingdom,Europe,,2016-09,1007
Unstated,,,2016-09,3
"Others, Oceania",Oceania,,2016-09,13
Sweden,Europe,,2016-09,209
Russian Federation,Europe,,2016-09,200
"Others, Europe",Europe,,2016-09,658
Australia,Oceania,,2016-09,754
New Zealand,Oceania,,2016-09,147
S. Africa,Africa,,2016-09,67
"Others, Africa",Africa,,2016-09,97
Greece,Europe,,2016-09,41
Belgium,Europe,,2016-09,150
France,Europe,,2016-09,694
Canada,America,,2016-09,545
Singapore,Asia,Southeast Asia,2016-09,3597
Indonesia,Asia,Southeast Asia,2016-09,465
Philippines,Asia,Southeast Asia,2016-09,528
Thailand,Asia,Southeast Asia,2016-09,812
Vietnam,Asia,Southeast Asia,2016-09,558
"Others, Southeast Asia",Asia,Southeast Asia,2016-09,179
"Others, Asia",Asia,,2016-09,141
HongKong. Macao,Asia,,2016-09,6748
United States of America,America,,2016-09,7769
Mexico,America,,2016-09,49
Malaysia,Asia,Southeast Asia,2016-09,1521
Brazil,America,,2016-09,37
"Others, America",America,,2016-09,115
Spain,Europe,,2016-09,168
Switzerland,Europe,,2016-09,245
Netherlands,Europe,,2016-09,558
Italy,Europe,,2016-09,514
India,Asia,,2016-09,916
Germany,Europe,,2016-09,1397
"Korea,Republic of",Asia,,2016-09,4767
Japan,Asia,,2016-09,21292
Mainland China,Asia,,2016-09,1179
Argentina,America,,2016-09,20
Middle East,Asia,,2016-09,649
Argentina,America,,2016-10,31
Sweden,Europe,,2016-10,294
Russian Federation,Europe,,2016-10,198
"Others, Europe",Europe,,2016-10,1029
Unstated,,,2016-10,3
HongKong. Macao,Asia,,2016-10,7351
Mainland China,Asia,,2016-10,1197
Japan,Asia,,2016-10,20877
"Others, America",America,,2016-10,153
Belgium,Europe,,2016-10,201
Mexico,America,,2016-10,101
Germany,Europe,,2016-10,2019
Italy,Europe,,2016-10,825
United States of America,America,,2016-10,9467
Netherlands,Europe,,2016-10,678
Switzerland,Europe,,2016-10,329
Spain,Europe,,2016-10,240
United Kingdom,Europe,,2016-10,1247
Austria,Europe,,2016-10,184
Greece,Europe,,2016-10,49
"Others, Africa",Africa,,2016-10,135
Canada,America,,2016-10,725
"Others, Asia",Asia,,2016-10,189
"Others, Southeast Asia",Asia,Southeast Asia,2016-10,119
Vietnam,Asia,Southeast Asia,2016-10,681
Thailand,Asia,Southeast Asia,2016-10,787
Philippines,Asia,Southeast Asia,2016-10,571
Indonesia,Asia,Southeast Asia,2016-10,463
S. Africa,Africa,,2016-10,82
"Others, Oceania",Oceania,,2016-10,13
New Zealand,Oceania,,2016-10,153
Australia,Oceania,,2016-10,831
Singapore,Asia,Southeast Asia,2016-10,3507
Malaysia,Asia,Southeast Asia,2016-10,1625
Middle East,Asia,,2016-10,576
India,Asia,,2016-10,935
"Korea,Republic of",Asia,,2016-10,4721
Brazil,America,,2016-10,95
France,Europe,,2016-10,1062
Indonesia,Asia,Southeast Asia,2016-11,555
"Others, Africa",Africa,,2016-11,155
Japan,Asia,,2016-11,24030
"Korea,Republic of",Asia,,2016-11,5380
India,Asia,,2016-11,1188
Malaysia,Asia,Southeast Asia,2016-11,1891
Singapore,Asia,Southeast Asia,2016-11,4403
Philippines,Asia,Southeast Asia,2016-11,673
Thailand,Asia,Southeast Asia,2016-11,1055
Vietnam,Asia,Southeast Asia,2016-11,787
"Others, Southeast Asia",Asia,Southeast Asia,2016-11,175
"Others, Asia",Asia,,2016-11,217
Canada,America,,2016-11,927
Mainland China,Asia,,2016-11,1433
United States of America,America,,2016-11,9448
Brazil,America,,2016-11,68
Argentina,America,,2016-11,26
"Others, America",America,,2016-11,111
Belgium,Europe,,2016-11,205
France,Europe,,2016-11,1127
Germany,Europe,,2016-11,2410
Italy,Europe,,2016-11,926
Netherlands,Europe,,2016-11,780
Switzerland,Europe,,2016-11,358
Spain,Europe,,2016-11,311
Unstated,,,2016-11,10
Mexico,America,,2016-11,113
HongKong. Macao,Asia,,2016-11,8266
Middle East,Asia,,2016-11,810
Greece,Europe,,2016-11,42
S. Africa,Africa,,2016-11,107
"Others, Oceania",Oceania,,2016-11,45
New Zealand,Oceania,,2016-11,212
Australia,Oceania,,2016-11,1035
"Others, Europe",Europe,,2016-11,1098
United Kingdom,Europe,,2016-11,1490
Austria,Europe,,2016-11,268
Russian Federation,Europe,,2016-11,223
Sweden,Europe,,2016-11,326
"Others, America",America,,2016-12,51
Belgium,Europe,,2016-12,117
France,Europe,,2016-12,577
Germany,Europe,,2016-12,1077
Brazil,America,,2016-12,41
Italy,Europe,,2016-12,371
HongKong. Macao,Asia,,2016-12,6417
Switzerland,Europe,,2016-12,143
Spain,Europe,,2016-12,139
United Kingdom,Europe,,2016-12,589
Austria,Europe,,2016-12,93
Greece,Europe,,2016-12,40
Sweden,Europe,,2016-12,135
Russian Federation,Europe,,2016-12,141
Mainland China,Asia,,2016-12,1247
Japan,Asia,,2016-12,20505
Singapore,Asia,Southeast Asia,2016-12,2636
India,Asia,,2016-12,842
Middle East,Asia,,2016-12,636
Malaysia,Asia,Southeast Asia,2016-12,1248
Mexico,America,,2016-12,38
Indonesia,Asia,Southeast Asia,2016-12,377
Philippines,Asia,Southeast Asia,2016-12,409
Thailand,Asia,Southeast Asia,2016-12,908
"Others, Europe",Europe,,2016-12,537
Vietnam,Asia,Southeast Asia,2016-12,581
"Others, Southeast Asia",Asia,Southeast Asia,2016-12,119
"Others, Asia",Asia,,2016-12,193
Canada,America,,2016-12,523
United States of America,America,,2016-12,6457
Argentina,America,,2016-12,9
"Korea,Republic of",Asia,,2016-12,4868
Australia,Oceania,,2016-12,533
Netherlands,Europe,,2016-12,444
"Others, Oceania",Oceania,,2016-12,27
S. Africa,Africa,,2016-12,35
"Others, Africa",Africa,,2016-12,108
Unstated,,,2016-12,10
New Zealand,Oceania,,2016-12,105
"Others, America",America,,2017-01,57
Argentina,America,,2017-01,17
Brazil,America,,2017-01,43
Mexico,America,,2017-01,50
United States of America,America,,2017-01,7174
Canada,America,,2017-01,514
Vietnam,Asia,Southeast Asia,2017-01,460
"Others, Southeast Asia",Asia,Southeast Asia,2017-01,73
Belgium,Europe,,2017-01,129
Philippines,Asia,Southeast Asia,2017-01,453
Indonesia,Asia,Southeast Asia,2017-01,340
Singapore,Asia,Southeast Asia,2017-01,3034
Malaysia,Asia,Southeast Asia,2017-01,1277
"Others, Asia",Asia,,2017-01,191
France,Europe,,2017-01,599
Italy,Europe,,2017-01,440
Middle East,Asia,,2017-01,513
Unstated,,,2017-01,5
"Others, Africa",Africa,,2017-01,74
S. Africa,Africa,,2017-01,58
"Others, Oceania",Oceania,,2017-01,16
New Zealand,Oceania,,2017-01,108
Australia,Oceania,,2017-01,473
Germany,Europe,,2017-01,1282
"Others, Europe",Europe,,2017-01,721
Greece,Europe,,2017-01,36
Austria,Europe,,2017-01,143
United Kingdom,Europe,,2017-01,901
Spain,Europe,,2017-01,151
Switzerland,Europe,,2017-01,193
Netherlands,Europe,,2017-01,518
Sweden,Europe,,2017-01,219
India,Asia,,2017-01,858
Thailand,Asia,Southeast Asia,2017-01,708
Japan,Asia,,2017-01,16971
"Korea,Republic of",Asia,,2017-01,4439
Russian Federation,Europe,,2017-01,107
Mainland China,Asia,,2017-01,833
HongKong. Macao,Asia,,2017-01,6322
Philippines,Asia,Southeast Asia,2017-02,544
Australia,Oceania,,2017-02,699
New Zealand,Oceania,,2017-02,148
"Others, Oceania",Oceania,,2017-02,21
S. Africa,Africa,,2017-02,62
"Others, Africa",Africa,,2017-02,125
Unstated,,,2017-02,3
Indonesia,Asia,Southeast Asia,2017-02,428
Singapore,Asia,Southeast Asia,2017-02,3363
Malaysia,Asia,Southeast Asia,2017-02,1473
Middle East,Asia,,2017-02,513
India,Asia,,2017-02,885
"Korea,Republic of",Asia,,2017-02,4707
Japan,Asia,,2017-02,19317
Mainland China,Asia,,2017-02,1237
HongKong. Macao,Asia,,2017-02,6282
Sweden,Europe,,2017-02,207
Greece,Europe,,2017-02,41
"Others, Europe",Europe,,2017-02,723
United Kingdom,Europe,,2017-02,977
Thailand,Asia,Southeast Asia,2017-02,775
Vietnam,Asia,Southeast Asia,2017-02,414
"Others, Southeast Asia",Asia,Southeast Asia,2017-02,60
"Others, Asia",Asia,,2017-02,112
Austria,Europe,,2017-02,139
United States of America,America,,2017-02,7554
Mexico,America,,2017-02,38
Brazil,America,,2017-02,56
Canada,America,,2017-02,661
"Others, America",America,,2017-02,69
Argentina,America,,2017-02,15
Spain,Europe,,2017-02,183
Switzerland,Europe,,2017-02,244
Netherlands,Europe,,2017-02,583
Russian Federation,Europe,,2017-02,147
Germany,Europe,,2017-02,1499
France,Europe,,2017-02,713
Belgium,Europe,,2017-02,143
Italy,Europe,,2017-02,537
HongKong. Macao,Asia,,2017-03,8621
Mainland China,Asia,,2017-03,1438
Japan,Asia,,2017-03,25349
"Korea,Republic of",Asia,,2017-03,6786
India,Asia,,2017-03,1417
Middle East,Asia,,2017-03,954
S. Africa,Africa,,2017-03,135
"Others, Africa",Africa,,2017-03,203
"Others, Asia",Asia,,2017-03,329
Indonesia,Asia,Southeast Asia,2017-03,604
Philippines,Asia,Southeast Asia,2017-03,852
Thailand,Asia,Southeast Asia,2017-03,1305
Vietnam,Asia,Southeast Asia,2017-03,983
"Others, Southeast Asia",Asia,Southeast Asia,2017-03,132
Canada,America,,2017-03,840
United States of America,America,,2017-03,10873
Mexico,America,,2017-03,112
Brazil,America,,2017-03,191
Malaysia,Asia,Southeast Asia,2017-03,2033
"Others, America",America,,2017-03,223
Belgium,Europe,,2017-03,232
France,Europe,,2017-03,1247
Germany,Europe,,2017-03,2629
Argentina,America,,2017-03,45
Netherlands,Europe,,2017-03,903
Unstated,,,2017-03,5
"Others, Oceania",Oceania,,2017-03,40
Italy,Europe,,2017-03,1075
Australia,Oceania,,2017-03,1179
"Others, Europe",Europe,,2017-03,1463
Russian Federation,Europe,,2017-03,306
New Zealand,Oceania,,2017-03,215
Greece,Europe,,2017-03,64
Austria,Europe,,2017-03,227
United Kingdom,Europe,,2017-03,1561
Spain,Europe,,2017-03,383
Switzerland,Europe,,2017-03,436
Sweden,Europe,,2017-03,301
Singapore,Asia,Southeast Asia,2017-03,4635
Singapore,Asia,Southeast Asia,2017-04,3951
Malaysia,Asia,Southeast Asia,2017-04,1872
Germany,Europe,,2017-04,1569
Middle East,Asia,,2017-04,705
India,Asia,,2017-04,997
"Korea,Republic of",Asia,,2017-04,5270
Japan,Asia,,2017-04,22114
Mainland China,Asia,,2017-04,1198
France,Europe,,2017-04,959
Greece,Europe,,2017-04,43
Austria,Europe,,2017-04,156
United Kingdom,Europe,,2017-04,964
Spain,Europe,,2017-04,197
Switzerland,Europe,,2017-04,246
Netherlands,Europe,,2017-04,619
Italy,Europe,,2017-04,510
Indonesia,Asia,Southeast Asia,2017-04,481
HongKong. Macao,Asia,,2017-04,6848
Philippines,Asia,Southeast Asia,2017-04,641
New Zealand,Oceania,,2017-04,158
Vietnam,Asia,Southeast Asia,2017-04,839
Argentina,America,,2017-04,30
Brazil,America,,2017-04,118
Unstated,,,2017-04,3
"Others, Africa",Africa,,2017-04,212
S. Africa,Africa,,2017-04,79
Thailand,Asia,Southeast Asia,2017-04,968
"Others, Oceania",Oceania,,2017-04,30
"Others, America",America,,2017-04,154
Belgium,Europe,,2017-04,225
"Others, Europe",Europe,,2017-04,795
Russian Federation,Europe,,2017-04,188
