Residence,Region,Sub-Region,Period,Business
Japan,Asia,,2011-10,26166
Philippines,Asia,Southeast Asia,2011-10,1516
"Others, America",America,,2011-10,235
Italy,Europe,,2011-10,827
France,Europe,,2011-10,1255
Unstated,,,2011-10,1
"Others, Africa",Africa,,2011-10,218
S. Africa,Africa,,2011-10,180
"Others, Oceania",Oceania,,2011-10,20
New Zealand,Oceania,,2011-10,209
Australia,Oceania,,2011-10,1242
"Others, Europe",Europe,,2011-10,1192
Belgium,Europe,,2011-10,209
Russian Federation,Europe,,2011-10,250
Greece,Europe,,2011-10,49
Mainland China,Asia,,2011-10,11379
United Kingdom,Europe,,2011-10,1744
Spain,Europe,,2011-10,351
Switzerland,Europe,,2011-10,362
Netherlands,Europe,,2011-10,700
Germany,Europe,,2011-10,2610
Sweden,Europe,,2011-10,420
Austria,Europe,,2011-10,251
HongKong. Macao,Asia,,2011-10,5878
"Others, Southeast Asia",Asia,Southeast Asia,2011-11,1170
Argentina,America,,2011-11,47
Mexico,America,,2011-11,60
United States of America,America,,2011-11,11153
Canada,America,,2011-11,1252
"Others, Asia",Asia,,2011-11,191
Thailand,Asia,Southeast Asia,2011-11,1799
Philippines,Asia,Southeast Asia,2011-11,1668
"Others, America",America,,2011-11,152
Indonesia,Asia,Southeast Asia,2011-11,1666
Malaysia,Asia,Southeast Asia,2011-11,2160
Middle East,Asia,,2011-11,734
India,Asia,,2011-11,1140
"Korea,Republic of",Asia,,2011-11,5603
Japan,Asia,,2011-11,26824
Mainland China,Asia,,2011-11,12895
HongKong. Macao,Asia,,2011-11,6382
Singapore,Asia,Southeast Asia,2011-11,4114
Belgium,Europe,,2011-11,216
Brazil,America,,2011-11,173
Germany,Europe,,2011-11,2960
Unstated,,,2011-11,1
"Others, Africa",Africa,,2011-11,142
S. Africa,Africa,,2011-11,143
"Others, Oceania",Oceania,,2011-11,21
New Zealand,Oceania,,2011-11,232
France,Europe,,2011-11,1335
"Others, Europe",Europe,,2011-11,1111
Russian Federation,Europe,,2011-11,301
Sweden,Europe,,2011-11,319
Australia,Oceania,,2011-11,1175
Austria,Europe,,2011-11,271
United Kingdom,Europe,,2011-11,1997
Spain,Europe,,2011-11,317
Switzerland,Europe,,2011-11,440
Netherlands,Europe,,2011-11,691
Italy,Europe,,2011-11,908
Greece,Europe,,2011-11,50
Mexico,America,,2011-12,32
Philippines,Asia,Southeast Asia,2011-12,1278
Brazil,America,,2011-12,71
United States of America,America,,2011-12,8358
Canada,America,,2011-12,878
"Others, Asia",Asia,,2011-12,200
"Others, Southeast Asia",Asia,Southeast Asia,2011-12,1133
Thailand,Asia,Southeast Asia,2011-12,1635
Indonesia,Asia,Southeast Asia,2011-12,1422
Greece,Europe,,2011-12,35
Malaysia,Asia,Southeast Asia,2011-12,1734
Middle East,Asia,,2011-12,655
India,Asia,,2011-12,871
"Korea,Republic of",Asia,,2011-12,4562
Japan,Asia,,2011-12,23890
HongKong. Macao,Asia,,2011-12,5105
Argentina,America,,2011-12,13
Mainland China,Asia,,2011-12,11612
Singapore,Asia,Southeast Asia,2011-12,2835
"Others, America",America,,2011-12,87
Sweden,Europe,,2011-12,204
France,Europe,,2011-12,751
Unstated,,,2011-12,3
Belgium,Europe,,2011-12,131
S. Africa,Africa,,2011-12,116
"Others, Oceania",Oceania,,2011-12,18
New Zealand,Oceania,,2011-12,165
Australia,Oceania,,2011-12,807
"Others, Europe",Europe,,2011-12,656
Russian Federation,Europe,,2011-12,232
"Others, Africa",Africa,,2011-12,126
Austria,Europe,,2011-12,129
United Kingdom,Europe,,2011-12,998
Spain,Europe,,2011-12,144
Switzerland,Europe,,2011-12,213
Netherlands,Europe,,2011-12,417
Italy,Europe,,2011-12,394
Germany,Europe,,2011-12,1504
S. Africa,Africa,,2012-01,183
Canada,America,,2012-01,936
"Others, Asia",Asia,,2012-01,136
"Others, Southeast Asia",Asia,Southeast Asia,2012-01,80
Vietnam,Asia,Southeast Asia,2012-01,1040
Thailand,Asia,Southeast Asia,2012-01,1860
Philippines,Asia,Southeast Asia,2012-01,2510
Indonesia,Asia,Southeast Asia,2012-01,1458
Singapore,Asia,Southeast Asia,2012-01,2832
"Korea,Republic of",Asia,,2012-01,3928
Middle East,Asia,,2012-01,499
India,Asia,,2012-01,764
United States of America,America,,2012-01,8031
Japan,Asia,,2012-01,21166
Mainland China,Asia,,2012-01,2977
HongKong. Macao,Asia,,2012-01,4462
"Others, Africa",Africa,,2012-01,106
Unstated,,,2012-01,5
Malaysia,Asia,Southeast Asia,2012-01,1768
Mexico,America,,2012-01,44
"Others, Oceania",Oceania,,2012-01,6
Argentina,America,,2012-01,6
Austria,Europe,,2012-01,115
Greece,Europe,,2012-01,16
Sweden,Europe,,2012-01,191
Russian Federation,Europe,,2012-01,136
"Others, Europe",Europe,,2012-01,584
Australia,Oceania,,2012-01,659
Brazil,America,,2012-01,79
United Kingdom,Europe,,2012-01,1202
Spain,Europe,,2012-01,127
"Others, America",America,,2012-01,70
Belgium,Europe,,2012-01,108
France,Europe,,2012-01,795
Germany,Europe,,2012-01,1398
Italy,Europe,,2012-01,388
Netherlands,Europe,,2012-01,447
Switzerland,Europe,,2012-01,194
New Zealand,Oceania,,2012-01,146
Mainland China,Asia,,2012-02,3828
France,Europe,,2012-02,989
Germany,Europe,,2012-02,2123
Italy,Europe,,2012-02,606
United Kingdom,Europe,,2012-02,1526
Switzerland,Europe,,2012-02,303
Spain,Europe,,2012-02,197
Belgium,Europe,,2012-02,185
Netherlands,Europe,,2012-02,574
"Others, America",America,,2012-02,109
Argentina,America,,2012-02,10
Brazil,America,,2012-02,111
Japan,Asia,,2012-02,25888
"Korea,Republic of",Asia,,2012-02,4684
India,Asia,,2012-02,1099
Middle East,Asia,,2012-02,632
Malaysia,Asia,Southeast Asia,2012-02,2042
Singapore,Asia,Southeast Asia,2012-02,3911
HongKong. Macao,Asia,,2012-02,6284
Indonesia,Asia,Southeast Asia,2012-02,1578
Thailand,Asia,Southeast Asia,2012-02,2299
Vietnam,Asia,Southeast Asia,2012-02,1594
"Others, Southeast Asia",Asia,Southeast Asia,2012-02,38
Canada,America,,2012-02,1038
United States of America,America,,2012-02,10769
Mexico,America,,2012-02,47
Philippines,Asia,Southeast Asia,2012-02,1637
"Others, Asia",Asia,,2012-02,154
Austria,Europe,,2012-02,186
"Others, Europe",Europe,,2012-02,856
Sweden,Europe,,2012-02,269
Russian Federation,Europe,,2012-02,280
Australia,Oceania,,2012-02,1033
New Zealand,Oceania,,2012-02,192
"Others, Oceania",Oceania,,2012-02,13
S. Africa,Africa,,2012-02,212
"Others, Africa",Africa,,2012-02,109
Unstated,,,2012-02,2
Greece,Europe,,2012-02,47
Switzerland,Europe,,2012-03,401
Netherlands,Europe,,2012-03,851
Germany,Europe,,2012-03,2803
France,Europe,,2012-03,1394
Belgium,Europe,,2012-03,242
"Others, America",America,,2012-03,221
Argentina,America,,2012-03,42
Brazil,America,,2012-03,236
Mexico,America,,2012-03,131
United States of America,America,,2012-03,12433
Canada,America,,2012-03,1161
Italy,Europe,,2012-03,975
Spain,Europe,,2012-03,314
Thailand,Asia,Southeast Asia,2012-03,2373
"Others, Asia",Asia,,2012-03,278
Austria,Europe,,2012-03,257
Greece,Europe,,2012-03,60
Sweden,Europe,,2012-03,449
Russian Federation,Europe,,2012-03,268
"Others, Europe",Europe,,2012-03,1295
Vietnam,Asia,Southeast Asia,2012-03,1013
New Zealand,Oceania,,2012-03,282
"Others, Oceania",Oceania,,2012-03,12
S. Africa,Africa,,2012-03,194
"Others, Africa",Africa,,2012-03,175
Unstated,,,2012-03,1
United Kingdom,Europe,,2012-03,2006
"Others, Southeast Asia",Asia,Southeast Asia,2012-03,70
Australia,Oceania,,2012-03,1321
Philippines,Asia,Southeast Asia,2012-03,1725
Indonesia,Asia,Southeast Asia,2012-03,1512
Singapore,Asia,Southeast Asia,2012-03,4451
Malaysia,Asia,Southeast Asia,2012-03,2211
Middle East,Asia,,2012-03,861
India,Asia,,2012-03,1161
"Korea,Republic of",Asia,,2012-03,5719
Japan,Asia,,2012-03,26908
Mainland China,Asia,,2012-03,4585
HongKong. Macao,Asia,,2012-03,6886
HongKong. Macao,Asia,,2012-04,5426
Austria,Europe,,2012-04,184
Greece,Europe,,2012-04,49
Sweden,Europe,,2012-04,301
Russian Federation,Europe,,2012-04,358
"Others, Europe",Europe,,2012-04,960
Unstated,,,2012-04,2
Mainland China,Asia,,2012-04,4297
"Others, Oceania",Oceania,,2012-04,14
S. Africa,Africa,,2012-04,163
"Others, Africa",Africa,,2012-04,271
United Kingdom,Europe,,2012-04,1486
Australia,Oceania,,2012-04,1124
Spain,Europe,,2012-04,241
New Zealand,Oceania,,2012-04,237
Netherlands,Europe,,2012-04,585
Japan,Asia,,2012-04,25013
"Korea,Republic of",Asia,,2012-04,5155
India,Asia,,2012-04,1128
Switzerland,Europe,,2012-04,288
Malaysia,Asia,Southeast Asia,2012-04,2215
Singapore,Asia,Southeast Asia,2012-04,4058
Indonesia,Asia,Southeast Asia,2012-04,1675
Philippines,Asia,Southeast Asia,2012-04,2033
Thailand,Asia,Southeast Asia,2012-04,2501
Vietnam,Asia,Southeast Asia,2012-04,881
"Others, Southeast Asia",Asia,Southeast Asia,2012-04,65
Middle East,Asia,,2012-04,807
Canada,America,,2012-04,1059
"Others, Asia",Asia,,2012-04,269
Germany,Europe,,2012-04,2049
Belgium,Europe,,2012-04,206
"Others, America",America,,2012-04,313
Argentina,America,,2012-04,38
France,Europe,,2012-04,1068
Mexico,America,,2012-04,133
United States of America,America,,2012-04,10881
Brazil,America,,2012-04,189
Italy,Europe,,2012-04,619
Germany,Europe,,2012-05,1850
Austria,Europe,,2012-05,186
Italy,Europe,,2012-05,636
Netherlands,Europe,,2012-05,472
Switzerland,Europe,,2012-05,296
Spain,Europe,,2012-05,188
France,Europe,,2012-05,846
United Kingdom,Europe,,2012-05,1479
Australia,Oceania,,2012-05,1022
Sweden,Europe,,2012-05,278
Russian Federation,Europe,,2012-05,185
"Others, Europe",Europe,,2012-05,760
New Zealand,Oceania,,2012-05,177
"Others, Oceania",Oceania,,2012-05,19
S. Africa,Africa,,2012-05,117
"Others, Africa",Africa,,2012-05,162
Belgium,Europe,,2012-05,175
Unstated,,,2012-05,1
Greece,Europe,,2012-05,38
"Others, America",America,,2012-05,168
"Others, Asia",Asia,,2012-05,203
Brazil,America,,2012-05,119
Argentina,America,,2012-05,15
HongKong. Macao,Asia,,2012-05,6539
Mainland China,Asia,,2012-05,4288
Japan,Asia,,2012-05,25403
"Korea,Republic of",Asia,,2012-05,4976
India,Asia,,2012-05,978
Malaysia,Asia,Southeast Asia,2012-05,1967
Singapore,Asia,Southeast Asia,2012-05,4034
Middle East,Asia,,2012-05,627
Philippines,Asia,Southeast Asia,2012-05,1932
Thailand,Asia,Southeast Asia,2012-05,2180
Vietnam,Asia,Southeast Asia,2012-05,1201
"Others, Southeast Asia",Asia,Southeast Asia,2012-05,47
Canada,America,,2012-05,976
United States of America,America,,2012-05,10839
Mexico,America,,2012-05,111
Indonesia,Asia,Southeast Asia,2012-05,1740
HongKong. Macao,Asia,,2012-06,6361
Argentina,America,,2012-06,46
Brazil,America,,2012-06,234
Mexico,America,,2012-06,73
United States of America,America,,2012-06,10987
Canada,America,,2012-06,1002
"Others, Asia",Asia,,2012-06,267
Mainland China,Asia,,2012-06,4631
Philippines,Asia,Southeast Asia,2012-06,1829
"Korea,Republic of",Asia,,2012-06,5570
India,Asia,,2012-06,1098
Middle East,Asia,,2012-06,987
Malaysia,Asia,Southeast Asia,2012-06,2159
Singapore,Asia,Southeast Asia,2012-06,3800
Indonesia,Asia,Southeast Asia,2012-06,1899
"Others, America",America,,2012-06,243
Thailand,Asia,Southeast Asia,2012-06,2129
Japan,Asia,,2012-06,27899
Belgium,Europe,,2012-06,192
Greece,Europe,,2012-06,45
Germany,Europe,,2012-06,2066
"Others, Southeast Asia",Asia,Southeast Asia,2012-06,77
Unstated,,,2012-06,4
"Others, Africa",Africa,,2012-06,189
S. Africa,Africa,,2012-06,151
"Others, Oceania",Oceania,,2012-06,15
New Zealand,Oceania,,2012-06,186
Australia,Oceania,,2012-06,1077
France,Europe,,2012-06,1186
"Others, Europe",Europe,,2012-06,1043
Sweden,Europe,,2012-06,251
Austria,Europe,,2012-06,175
United Kingdom,Europe,,2012-06,1442
Spain,Europe,,2012-06,233
Switzerland,Europe,,2012-06,295
Netherlands,Europe,,2012-06,636
Italy,Europe,,2012-06,658
Russian Federation,Europe,,2012-06,455
Vietnam,Asia,Southeast Asia,2012-06,955
"Others, Africa",Africa,,2012-07,142
Unstated,,,2012-07,0
Mainland China,Asia,,2012-07,4276
Indonesia,Asia,Southeast Asia,2012-07,1510
Singapore,Asia,Southeast Asia,2012-07,3932
Malaysia,Asia,Southeast Asia,2012-07,1843
Middle East,Asia,,2012-07,612
India,Asia,,2012-07,1048
"Korea,Republic of",Asia,,2012-07,4574
Philippines,Asia,Southeast Asia,2012-07,1749
Sweden,Europe,,2012-07,142
"Others, Europe",Europe,,2012-07,553
Australia,Oceania,,2012-07,870
New Zealand,Oceania,,2012-07,200
"Others, Oceania",Oceania,,2012-07,25
S. Africa,Africa,,2012-07,148
Japan,Asia,,2012-07,26990
Russian Federation,Europe,,2012-07,195
Thailand,Asia,Southeast Asia,2012-07,2099
Vietnam,Asia,Southeast Asia,2012-07,1006
"Others, Southeast Asia",Asia,Southeast Asia,2012-07,40
United Kingdom,Europe,,2012-07,1250
Spain,Europe,,2012-07,172
Switzerland,Europe,,2012-07,247
Netherlands,Europe,,2012-07,391
Italy,Europe,,2012-07,546
Germany,Europe,,2012-07,1683
France,Europe,,2012-07,818
Belgium,Europe,,2012-07,173
"Others, America",America,,2012-07,116
Argentina,America,,2012-07,20
Brazil,America,,2012-07,87
Mexico,America,,2012-07,42
United States of America,America,,2012-07,9045
Canada,America,,2012-07,834
"Others, Asia",Asia,,2012-07,179
HongKong. Macao,Asia,,2012-07,5441
Austria,Europe,,2012-07,187
Greece,Europe,,2012-07,40
"Others, Africa",Africa,,2012-08,88
Argentina,America,,2012-08,14
Brazil,America,,2012-08,104
Mexico,America,,2012-08,39
United States of America,America,,2012-08,9091
