Residence,Region,Sub-Region,Period,Exhibition
S. Africa,Africa,,2012-02,4
"Others, Africa",Africa,,2012-02,0
Unstated,,,2012-02,0
Greece,Europe,,2012-02,0
Switzerland,Europe,,2012-03,11
Netherlands,Europe,,2012-03,16
Germany,Europe,,2012-03,57
France,Europe,,2012-03,46
Belgium,Europe,,2012-03,10
"Others, America",America,,2012-03,10
Argentina,America,,2012-03,10
Brazil,America,,2012-03,25
Mexico,America,,2012-03,17
United States of America,America,,2012-03,111
Canada,America,,2012-03,17
Italy,Europe,,2012-03,78
Spain,Europe,,2012-03,29
Thailand,Asia,Southeast Asia,2012-03,121
"Others, Asia",Asia,,2012-03,25
Austria,Europe,,2012-03,11
Greece,Europe,,2012-03,3
Sweden,Europe,,2012-03,8
Russian Federation,Europe,,2012-03,38
"Others, Europe",Europe,,2012-03,91
Vietnam,Asia,Southeast Asia,2012-03,15
New Zealand,Oceania,,2012-03,19
"Others, Oceania",Oceania,,2012-03,0
S. Africa,Africa,,2012-03,13
"Others, Africa",Africa,,2012-03,8
Unstated,,,2012-03,0
United Kingdom,Europe,,2012-03,71
"Others, Southeast Asia",Asia,Southeast Asia,2012-03,1
Australia,Oceania,,2012-03,98
Philippines,Asia,Southeast Asia,2012-03,45
Indonesia,Asia,Southeast Asia,2012-03,138
Singapore,Asia,Southeast Asia,2012-03,111
Malaysia,Asia,Southeast Asia,2012-03,177
Middle East,Asia,,2012-03,32
India,Asia,,2012-03,64
"Korea,Republic of",Asia,,2012-03,99
Japan,Asia,,2012-03,79
Mainland China,Asia,,2012-03,704
HongKong. Macao,Asia,,2012-03,35
HongKong. Macao,Asia,,2012-04,20
Austria,Europe,,2012-04,0
Greece,Europe,,2012-04,2
Sweden,Europe,,2012-04,7
Russian Federation,Europe,,2012-04,76
"Others, Europe",Europe,,2012-04,76
Unstated,,,2012-04,1
Mainland China,Asia,,2012-04,537
"Others, Oceania",Oceania,,2012-04,1
S. Africa,Africa,,2012-04,4
"Others, Africa",Africa,,2012-04,23
United Kingdom,Europe,,2012-04,29
Australia,Oceania,,2012-04,62
Spain,Europe,,2012-04,6
New Zealand,Oceania,,2012-04,5
Netherlands,Europe,,2012-04,6
Japan,Asia,,2012-04,90
"Korea,Republic of",Asia,,2012-04,154
India,Asia,,2012-04,41
Switzerland,Europe,,2012-04,1
Malaysia,Asia,Southeast Asia,2012-04,204
Singapore,Asia,Southeast Asia,2012-04,132
Indonesia,Asia,Southeast Asia,2012-04,112
Philippines,Asia,Southeast Asia,2012-04,67
Thailand,Asia,Southeast Asia,2012-04,152
Vietnam,Asia,Southeast Asia,2012-04,16
"Others, Southeast Asia",Asia,Southeast Asia,2012-04,8
Middle East,Asia,,2012-04,74
Canada,America,,2012-04,22
"Others, Asia",Asia,,2012-04,35
Germany,Europe,,2012-04,10
Belgium,Europe,,2012-04,4
"Others, America",America,,2012-04,27
Argentina,America,,2012-04,3
France,Europe,,2012-04,22
Mexico,America,,2012-04,7
United States of America,America,,2012-04,58
Brazil,America,,2012-04,21
Italy,Europe,,2012-04,17
Germany,Europe,,2012-05,7
Austria,Europe,,2012-05,3
Italy,Europe,,2012-05,8
Netherlands,Europe,,2012-05,2
Switzerland,Europe,,2012-05,3
Spain,Europe,,2012-05,4
France,Europe,,2012-05,11
United Kingdom,Europe,,2012-05,5
Australia,Oceania,,2012-05,18
Sweden,Europe,,2012-05,3
Russian Federation,Europe,,2012-05,5
"Others, Europe",Europe,,2012-05,14
New Zealand,Oceania,,2012-05,2
"Others, Oceania",Oceania,,2012-05,0
S. Africa,Africa,,2012-05,0
"Others, Africa",Africa,,2012-05,0
Belgium,Europe,,2012-05,0
Unstated,,,2012-05,0
Greece,Europe,,2012-05,0
"Others, America",America,,2012-05,5
"Others, Asia",Asia,,2012-05,2
Brazil,America,,2012-05,8
Argentina,America,,2012-05,0
HongKong. Macao,Asia,,2012-05,6
Mainland China,Asia,,2012-05,115
Japan,Asia,,2012-05,53
"Korea,Republic of",Asia,,2012-05,70
India,Asia,,2012-05,6
Malaysia,Asia,Southeast Asia,2012-05,41
Singapore,Asia,Southeast Asia,2012-05,38
Middle East,Asia,,2012-05,8
Philippines,Asia,Southeast Asia,2012-05,1
Thailand,Asia,Southeast Asia,2012-05,25
Vietnam,Asia,Southeast Asia,2012-05,3
"Others, Southeast Asia",Asia,Southeast Asia,2012-05,0
Canada,America,,2012-05,10
United States of America,America,,2012-05,28
Mexico,America,,2012-05,11
Indonesia,Asia,Southeast Asia,2012-05,36
HongKong. Macao,Asia,,2012-06,57
Argentina,America,,2012-06,12
Brazil,America,,2012-06,34
Mexico,America,,2012-06,15
United States of America,America,,2012-06,168
Canada,America,,2012-06,45
"Others, Asia",Asia,,2012-06,50
Mainland China,Asia,,2012-06,1076
Philippines,Asia,Southeast Asia,2012-06,163
"Korea,Republic of",Asia,,2012-06,437
India,Asia,,2012-06,165
Middle East,Asia,,2012-06,164
Malaysia,Asia,Southeast Asia,2012-06,406
Singapore,Asia,Southeast Asia,2012-06,214
Indonesia,Asia,Southeast Asia,2012-06,223
"Others, America",America,,2012-06,39
Thailand,Asia,Southeast Asia,2012-06,243
Japan,Asia,,2012-06,274
Belgium,Europe,,2012-06,12
Greece,Europe,,2012-06,6
Germany,Europe,,2012-06,54
"Others, Southeast Asia",Asia,Southeast Asia,2012-06,10
Unstated,,,2012-06,4
"Others, Africa",Africa,,2012-06,48
S. Africa,Africa,,2012-06,25
"Others, Oceania",Oceania,,2012-06,3
New Zealand,Oceania,,2012-06,17
Australia,Oceania,,2012-06,107
France,Europe,,2012-06,66
"Others, Europe",Europe,,2012-06,150
Sweden,Europe,,2012-06,14
Austria,Europe,,2012-06,4
United Kingdom,Europe,,2012-06,57
Spain,Europe,,2012-06,34
Switzerland,Europe,,2012-06,3
Netherlands,Europe,,2012-06,13
Italy,Europe,,2012-06,45
Russian Federation,Europe,,2012-06,196
Vietnam,Asia,Southeast Asia,2012-06,30
"Others, Africa",Africa,,2012-07,1
Unstated,,,2012-07,0
Mainland China,Asia,,2012-07,81
Indonesia,Asia,Southeast Asia,2012-07,27
Singapore,Asia,Southeast Asia,2012-07,20
Malaysia,Asia,Southeast Asia,2012-07,29
Middle East,Asia,,2012-07,7
India,Asia,,2012-07,1
"Korea,Republic of",Asia,,2012-07,53
Philippines,Asia,Southeast Asia,2012-07,7
Sweden,Europe,,2012-07,0
"Others, Europe",Europe,,2012-07,12
Australia,Oceania,,2012-07,4
New Zealand,Oceania,,2012-07,1
"Others, Oceania",Oceania,,2012-07,0
S. Africa,Africa,,2012-07,0
Japan,Asia,,2012-07,54
Russian Federation,Europe,,2012-07,0
Thailand,Asia,Southeast Asia,2012-07,14
Vietnam,Asia,Southeast Asia,2012-07,3
"Others, Southeast Asia",Asia,Southeast Asia,2012-07,0
United Kingdom,Europe,,2012-07,7
Spain,Europe,,2012-07,1
Switzerland,Europe,,2012-07,4
Netherlands,Europe,,2012-07,0
Italy,Europe,,2012-07,4
Germany,Europe,,2012-07,12
France,Europe,,2012-07,24
Belgium,Europe,,2012-07,3
"Others, America",America,,2012-07,1
Argentina,America,,2012-07,1
Brazil,America,,2012-07,0
Mexico,America,,2012-07,1
United States of America,America,,2012-07,21
Canada,America,,2012-07,6
"Others, Asia",Asia,,2012-07,0
HongKong. Macao,Asia,,2012-07,9
Austria,Europe,,2012-07,0
Greece,Europe,,2012-07,0
"Others, Africa",Africa,,2012-08,0
Argentina,America,,2012-08,0
Brazil,America,,2012-08,1
Mexico,America,,2012-08,0
United States of America,America,,2012-08,20
Canada,America,,2012-08,9
"Others, Asia",Asia,,2012-08,8
"Others, Southeast Asia",Asia,Southeast Asia,2012-08,0
Vietnam,Asia,Southeast Asia,2012-08,1
Thailand,Asia,Southeast Asia,2012-08,8
Philippines,Asia,Southeast Asia,2012-08,1
Indonesia,Asia,Southeast Asia,2012-08,25
Singapore,Asia,Southeast Asia,2012-08,22
Malaysia,Asia,Southeast Asia,2012-08,35
Middle East,Asia,,2012-08,9
India,Asia,,2012-08,5
Mainland China,Asia,,2012-08,109
