Residence,Region,Sub-Region,Period,Study
Austria,Europe,,2017-05,13
United Kingdom,Europe,,2017-05,42
Malaysia,Asia,Southeast Asia,2017-06,71
S. Africa,Africa,,2017-06,2
United States of America,America,,2017-06,752
Canada,America,,2017-06,35
"Others, Asia",Asia,,2017-06,19
"Others, Southeast Asia",Asia,Southeast Asia,2017-06,8
Vietnam,Asia,Southeast Asia,2017-06,124
Thailand,Asia,Southeast Asia,2017-06,246
Philippines,Asia,Southeast Asia,2017-06,89
Indonesia,Asia,Southeast Asia,2017-06,316
Singapore,Asia,Southeast Asia,2017-06,70
India,Asia,,2017-06,24
"Korea,Republic of",Asia,,2017-06,423
Unstated,,,2017-06,0
Japan,Asia,,2017-06,378
Mainland China,Asia,,2017-06,862
HongKong. Macao,Asia,,2017-06,238
Mexico,America,,2017-06,18
"Others, Africa",Africa,,2017-06,11
Brazil,America,,2017-06,5
"Others, America",America,,2017-06,54
"Others, Oceania",Oceania,,2017-06,9
New Zealand,Oceania,,2017-06,3
Australia,Oceania,,2017-06,43
"Others, Europe",Europe,,2017-06,122
Russian Federation,Europe,,2017-06,20
Sweden,Europe,,2017-06,21
Greece,Europe,,2017-06,0
Argentina,America,,2017-06,1
Austria,Europe,,2017-06,11
Spain,Europe,,2017-06,37
Switzerland,Europe,,2017-06,19
Netherlands,Europe,,2017-06,39
Italy,Europe,,2017-06,18
Germany,Europe,,2017-06,52
France,Europe,,2017-06,199
Belgium,Europe,,2017-06,9
United Kingdom,Europe,,2017-06,34
Middle East,Asia,,2017-06,26
Unstated,,,2017-07,0
France,Europe,,2017-07,137
"Others, Africa",Africa,,2017-07,29
S. Africa,Africa,,2017-07,3
New Zealand,Oceania,,2017-07,3
Germany,Europe,,2017-07,77
Indonesia,Asia,Southeast Asia,2017-07,117
Philippines,Asia,Southeast Asia,2017-07,37
Thailand,Asia,Southeast Asia,2017-07,264
Vietnam,Asia,Southeast Asia,2017-07,274
"Others, Southeast Asia",Asia,Southeast Asia,2017-07,30
"Others, Asia",Asia,,2017-07,25
Singapore,Asia,Southeast Asia,2017-07,82
"Others, Oceania",Oceania,,2017-07,4
Russian Federation,Europe,,2017-07,24
"Others, America",America,,2017-07,29
Argentina,America,,2017-07,3
Brazil,America,,2017-07,6
Mexico,America,,2017-07,16
United States of America,America,,2017-07,533
Belgium,Europe,,2017-07,14
Malaysia,Asia,Southeast Asia,2017-07,195
Canada,America,,2017-07,58
India,Asia,,2017-07,26
Middle East,Asia,,2017-07,19
Australia,Oceania,,2017-07,32
"Others, Europe",Europe,,2017-07,132
Sweden,Europe,,2017-07,14
Greece,Europe,,2017-07,2
Austria,Europe,,2017-07,19
Spain,Europe,,2017-07,34
United Kingdom,Europe,,2017-07,37
Switzerland,Europe,,2017-07,20
Netherlands,Europe,,2017-07,27
Italy,Europe,,2017-07,39
HongKong. Macao,Asia,,2017-07,372
Mainland China,Asia,,2017-07,855
Japan,Asia,,2017-07,386
"Korea,Republic of",Asia,,2017-07,583
Italy,Europe,,2017-08,33
Austria,Europe,,2017-08,22
Netherlands,Europe,,2017-08,51
Switzerland,Europe,,2017-08,15
Spain,Europe,,2017-08,31
United Kingdom,Europe,,2017-08,34
France,Europe,,2017-08,178
Greece,Europe,,2017-08,2
"Others, Africa",Africa,,2017-08,14
Russian Federation,Europe,,2017-08,50
"Others, Europe",Europe,,2017-08,126
Australia,Oceania,,2017-08,25
New Zealand,Oceania,,2017-08,3
"Others, Oceania",Oceania,,2017-08,14
S. Africa,Africa,,2017-08,5
Unstated,,,2017-08,1
Belgium,Europe,,2017-08,30
Sweden,Europe,,2017-08,30
"Others, America",America,,2017-08,68
Germany,Europe,,2017-08,135
Brazil,America,,2017-08,18
Argentina,America,,2017-08,1
Mainland China,Asia,,2017-08,1498
Japan,Asia,,2017-08,1149
"Korea,Republic of",Asia,,2017-08,468
India,Asia,,2017-08,35
Middle East,Asia,,2017-08,32
Malaysia,Asia,Southeast Asia,2017-08,227
Singapore,Asia,Southeast Asia,2017-08,70
Indonesia,Asia,Southeast Asia,2017-08,240
HongKong. Macao,Asia,,2017-08,583
Thailand,Asia,Southeast Asia,2017-08,148
Vietnam,Asia,Southeast Asia,2017-08,238
"Others, Southeast Asia",Asia,Southeast Asia,2017-08,19
"Others, Asia",Asia,,2017-08,59
Canada,America,,2017-08,53
United States of America,America,,2017-08,310
Mexico,America,,2017-08,20
Philippines,Asia,Southeast Asia,2017-08,63
S. Africa,Africa,,2017-09,3
"Others, Oceania",Oceania,,2017-09,24
New Zealand,Oceania,,2017-09,8
Belgium,Europe,,2017-09,60
Australia,Oceania,,2017-09,45
"Others, Europe",Europe,,2017-09,200
Russian Federation,Europe,,2017-09,38
Sweden,Europe,,2017-09,70
United Kingdom,Europe,,2017-09,25
Austria,Europe,,2017-09,27
Spain,Europe,,2017-09,65
France,Europe,,2017-09,246
Germany,Europe,,2017-09,314
Switzerland,Europe,,2017-09,21
Italy,Europe,,2017-09,77
"Others, Africa",Africa,,2017-09,42
Netherlands,Europe,,2017-09,84
Greece,Europe,,2017-09,2
Unstated,,,2017-09,1
Vietnam,Asia,Southeast Asia,2017-09,270
Argentina,America,,2017-09,2
HongKong. Macao,Asia,,2017-09,2343
Mainland China,Asia,,2017-09,7596
Japan,Asia,,2017-09,774
"Korea,Republic of",Asia,,2017-09,666
India,Asia,,2017-09,72
Middle East,Asia,,2017-09,32
"Others, America",America,,2017-09,96
Singapore,Asia,Southeast Asia,2017-09,143
Malaysia,Asia,Southeast Asia,2017-09,538
Philippines,Asia,Southeast Asia,2017-09,72
Thailand,Asia,Southeast Asia,2017-09,207
"Others, Southeast Asia",Asia,Southeast Asia,2017-09,21
"Others, Asia",Asia,,2017-09,80
Canada,America,,2017-09,45
United States of America,America,,2017-09,240
Mexico,America,,2017-09,18
Brazil,America,,2017-09,10
Indonesia,Asia,Southeast Asia,2017-09,427
S. Africa,Africa,,2017-10,1
Unstated,,,2017-10,0
"Others, Africa",Africa,,2017-10,39
"Others, Oceania",Oceania,,2017-10,3
Indonesia,Asia,Southeast Asia,2017-10,89
Australia,Oceania,,2017-10,29
HongKong. Macao,Asia,,2017-10,147
Japan,Asia,,2017-10,506
"Korea,Republic of",Asia,,2017-10,407
India,Asia,,2017-10,26
Middle East,Asia,,2017-10,10
Malaysia,Asia,Southeast Asia,2017-10,131
Singapore,Asia,Southeast Asia,2017-10,75
Philippines,Asia,Southeast Asia,2017-10,60
Thailand,Asia,Southeast Asia,2017-10,162
Vietnam,Asia,Southeast Asia,2017-10,127
"Others, Southeast Asia",Asia,Southeast Asia,2017-10,13
"Others, Asia",Asia,,2017-10,86
Canada,America,,2017-10,33
United States of America,America,,2017-10,196
Mexico,America,,2017-10,11
Brazil,America,,2017-10,1
Argentina,America,,2017-10,6
"Others, Europe",Europe,,2017-10,103
Russian Federation,Europe,,2017-10,10
Sweden,Europe,,2017-10,63
Greece,Europe,,2017-10,2
Austria,Europe,,2017-10,15
United Kingdom,Europe,,2017-10,22
New Zealand,Oceania,,2017-10,4
Spain,Europe,,2017-10,30
Netherlands,Europe,,2017-10,80
Italy,Europe,,2017-10,40
Germany,Europe,,2017-10,198
France,Europe,,2017-10,176
Belgium,Europe,,2017-10,58
"Others, America",America,,2017-10,60
Switzerland,Europe,,2017-10,19
Mainland China,Asia,,2017-10,1453
HongKong. Macao,Asia,,2017-11,150
Unstated,,,2017-11,0
France,Europe,,2017-11,170
Germany,Europe,,2017-11,219
Italy,Europe,,2017-11,36
Netherlands,Europe,,2017-11,71
Switzerland,Europe,,2017-11,18
Spain,Europe,,2017-11,45
United Kingdom,Europe,,2017-11,23
Belgium,Europe,,2017-11,44
Austria,Europe,,2017-11,30
Sweden,Europe,,2017-11,54
Russian Federation,Europe,,2017-11,19
"Others, Europe",Europe,,2017-11,95
Australia,Oceania,,2017-11,75
New Zealand,Oceania,,2017-11,8
"Others, Oceania",Oceania,,2017-11,10
S. Africa,Africa,,2017-11,5
Greece,Europe,,2017-11,0
"Others, America",America,,2017-11,41
"Others, Africa",Africa,,2017-11,20
Brazil,America,,2017-11,4
Mainland China,Asia,,2017-11,1294
Japan,Asia,,2017-11,491
"Korea,Republic of",Asia,,2017-11,503
India,Asia,,2017-11,33
Argentina,America,,2017-11,2
Malaysia,Asia,Southeast Asia,2017-11,124
Singapore,Asia,Southeast Asia,2017-11,242
Indonesia,Asia,Southeast Asia,2017-11,110
Middle East,Asia,,2017-11,19
Thailand,Asia,Southeast Asia,2017-11,114
Vietnam,Asia,Southeast Asia,2017-11,331
"Others, Southeast Asia",Asia,Southeast Asia,2017-11,36
"Others, Asia",Asia,,2017-11,55
Canada,America,,2017-11,45
United States of America,America,,2017-11,263
Mexico,America,,2017-11,12
Philippines,Asia,Southeast Asia,2017-11,39
France,Europe,,2017-12,177
Germany,Europe,,2017-12,168
Italy,Europe,,2017-12,29
Netherlands,Europe,,2017-12,54
Switzerland,Europe,,2017-12,9
Spain,Europe,,2017-12,33
United Kingdom,Europe,,2017-12,19
S. Africa,Africa,,2017-12,0
Greece,Europe,,2017-12,1
Sweden,Europe,,2017-12,46
Russian Federation,Europe,,2017-12,8
"Others, Europe",Europe,,2017-12,83
Australia,Oceania,,2017-12,63
New Zealand,Oceania,,2017-12,7
"Others, Oceania",Oceania,,2017-12,1
"Others, America",America,,2017-12,19
Austria,Europe,,2017-12,30
Argentina,America,,2017-12,3
Philippines,Asia,Southeast Asia,2017-12,41
Mexico,America,,2017-12,4
"Others, Africa",Africa,,2017-12,24
HongKong. Macao,Asia,,2017-12,166
Mainland China,Asia,,2017-12,1099
Japan,Asia,,2017-12,352
"Korea,Republic of",Asia,,2017-12,543
India,Asia,,2017-12,107
Middle East,Asia,,2017-12,14
Brazil,America,,2017-12,8
Malaysia,Asia,Southeast Asia,2017-12,94
Indonesia,Asia,Southeast Asia,2017-12,161
Thailand,Asia,Southeast Asia,2017-12,222
Vietnam,Asia,Southeast Asia,2017-12,141
"Others, Southeast Asia",Asia,Southeast Asia,2017-12,16
"Others, Asia",Asia,,2017-12,24
Canada,America,,2017-12,35
United States of America,America,,2017-12,185
Singapore,Asia,Southeast Asia,2017-12,113
Unstated,,,2017-12,0
Belgium,Europe,,2017-12,41
Unstated,,,2018-01,0
Mexico,America,,2018-01,6
United States of America,America,,2018-01,270
Canada,America,,2018-01,31
"Others, Asia",Asia,,2018-01,20
"Others, Southeast Asia",Asia,Southeast Asia,2018-01,5
Vietnam,Asia,Southeast Asia,2018-01,111
Thailand,Asia,Southeast Asia,2018-01,86
Philippines,Asia,Southeast Asia,2018-01,89
Indonesia,Asia,Southeast Asia,2018-01,63
Singapore,Asia,Southeast Asia,2018-01,34
Malaysia,Asia,Southeast Asia,2018-01,95
Middle East,Asia,,2018-01,13
India,Asia,,2018-01,67
"Korea,Republic of",Asia,,2018-01,901
Japan,Asia,,2018-01,287
Brazil,America,,2018-01,5
Mainland China,Asia,,2018-01,774
Argentina,America,,2018-01,3
Belgium,Europe,,2018-01,44
"Others, Oceania",Oceania,,2018-01,4
New Zealand,Oceania,,2018-01,9
Australia,Oceania,,2018-01,27
"Others, Europe",Europe,,2018-01,67
Russian Federation,Europe,,2018-01,7
Sweden,Europe,,2018-01,21
Greece,Europe,,2018-01,1
Austria,Europe,,2018-01,27
United Kingdom,Europe,,2018-01,40
Spain,Europe,,2018-01,32
Switzerland,Europe,,2018-01,5
Netherlands,Europe,,2018-01,32
Italy,Europe,,2018-01,32
Germany,Europe,,2018-01,103
France,Europe,,2018-01,118
"Others, America",America,,2018-01,24
HongKong. Macao,Asia,,2018-01,170
"Others, Africa",Africa,,2018-01,22
S. Africa,Africa,,2018-01,0
"Others, America",America,,2018-02,23
Belgium,Europe,,2018-02,31
France,Europe,,2018-02,340
Germany,Europe,,2018-02,198
Italy,Europe,,2018-02,63
Netherlands,Europe,,2018-02,64
Switzerland,Europe,,2018-02,20
Argentina,America,,2018-02,3
"Others, Africa",Africa,,2018-02,22
Austria,Europe,,2018-02,18
Greece,Europe,,2018-02,1
Sweden,Europe,,2018-02,31
Russian Federation,Europe,,2018-02,19
"Others, Europe",Europe,,2018-02,146
Australia,Oceania,,2018-02,31
New Zealand,Oceania,,2018-02,6
United Kingdom,Europe,,2018-02,35
Spain,Europe,,2018-02,51
Brazil,America,,2018-02,8
United States of America,America,,2018-02,306
HongKong. Macao,Asia,,2018-02,162
Mainland China,Asia,,2018-02,7047
Japan,Asia,,2018-02,621
"Korea,Republic of",Asia,,2018-02,604
India,Asia,,2018-02,81
Middle East,Asia,,2018-02,26
Malaysia,Asia,Southeast Asia,2018-02,252
Singapore,Asia,Southeast Asia,2018-02,140
Indonesia,Asia,Southeast Asia,2018-02,190
Philippines,Asia,Southeast Asia,2018-02,204
Thailand,Asia,Southeast Asia,2018-02,248
Vietnam,Asia,Southeast Asia,2018-02,157
"Others, Southeast Asia",Asia,Southeast Asia,2018-02,12
"Others, Asia",Asia,,2018-02,44
Canada,America,,2018-02,56
Mexico,America,,2018-02,19
Unstated,,,2018-02,2
S. Africa,Africa,,2018-02,8
"Others, Oceania",Oceania,,2018-02,5
Mainland China,Asia,,2018-03,2168
United States of America,America,,2018-03,275
Canada,America,,2018-03,29
"Others, Asia",Asia,,2018-03,34
"Others, Southeast Asia",Asia,Southeast Asia,2018-03,22
Vietnam,Asia,Southeast Asia,2018-03,374
Thailand,Asia,Southeast Asia,2018-03,311
Philippines,Asia,Southeast Asia,2018-03,96
Indonesia,Asia,Southeast Asia,2018-03,175
Singapore,Asia,Southeast Asia,2018-03,109
Malaysia,Asia,Southeast Asia,2018-03,126
Middle East,Asia,,2018-03,4
India,Asia,,2018-03,76
"Korea,Republic of",Asia,,2018-03,373
HongKong. Macao,Asia,,2018-03,237
Unstated,,,2018-03,0
Mexico,America,,2018-03,2
Brazil,America,,2018-03,5
Argentina,America,,2018-03,4
Greece,Europe,,2018-03,0
"Others, Africa",Africa,,2018-03,15
S. Africa,Africa,,2018-03,2
"Others, Oceania",Oceania,,2018-03,6
New Zealand,Oceania,,2018-03,3
Australia,Oceania,,2018-03,38
"Others, Europe",Europe,,2018-03,39
Russian Federation,Europe,,2018-03,11
Sweden,Europe,,2018-03,13
"Others, America",America,,2018-03,56
Japan,Asia,,2018-03,577
United Kingdom,Europe,,2018-03,20
Spain,Europe,,2018-03,18
Switzerland,Europe,,2018-03,10
Netherlands,Europe,,2018-03,13
Italy,Europe,,2018-03,9
Germany,Europe,,2018-03,80
France,Europe,,2018-03,44
Belgium,Europe,,2018-03,6
Austria,Europe,,2018-03,6
Unstated,,,2018-04,0
"Others, Oceania",Oceania,,2018-04,2
HongKong. Macao,Asia,,2018-04,206
Belgium,Europe,,2018-04,11
France,Europe,,2018-04,315
Germany,Europe,,2018-04,125
Italy,Europe,,2018-04,22
Netherlands,Europe,,2018-04,55
Switzerland,Europe,,2018-04,8
Spain,Europe,,2018-04,34
United Kingdom,Europe,,2018-04,8
Austria,Europe,,2018-04,11
Greece,Europe,,2018-04,1
Sweden,Europe,,2018-04,42
Russian Federation,Europe,,2018-04,4
"Others, Europe",Europe,,2018-04,84
Australia,Oceania,,2018-04,25
New Zealand,Oceania,,2018-04,14
"Others, America",America,,2018-04,25
S. Africa,Africa,,2018-04,0
Argentina,America,,2018-04,3
Mexico,America,,2018-04,6
Mainland China,Asia,,2018-04,3242
Japan,Asia,,2018-04,265
"Korea,Republic of",Asia,,2018-04,325
India,Asia,,2018-04,54
Middle East,Asia,,2018-04,8
Malaysia,Asia,Southeast Asia,2018-04,89
Singapore,Asia,Southeast Asia,2018-04,74
Indonesia,Asia,Southeast Asia,2018-04,112
Philippines,Asia,Southeast Asia,2018-04,175
Thailand,Asia,Southeast Asia,2018-04,122
Vietnam,Asia,Southeast Asia,2018-04,140
"Others, Southeast Asia",Asia,Southeast Asia,2018-04,5
"Others, Asia",Asia,,2018-04,11
Canada,America,,2018-04,51
United States of America,America,,2018-04,261
Brazil,America,,2018-04,3
"Others, Africa",Africa,,2018-04,16
"Others, Africa",Africa,,2018-05,12
Unstated,,,2018-05,0
Brazil,America,,2018-05,8
Mexico,America,,2018-05,6
United States of America,America,,2018-05,438
Canada,America,,2018-05,54
"Others, Asia",Asia,,2018-05,28
"Others, Southeast Asia",Asia,Southeast Asia,2018-05,16
Vietnam,Asia,Southeast Asia,2018-05,136
Thailand,Asia,Southeast Asia,2018-05,191
Philippines,Asia,Southeast Asia,2018-05,135
Indonesia,Asia,Southeast Asia,2018-05,83
Singapore,Asia,Southeast Asia,2018-05,148
Malaysia,Asia,Southeast Asia,2018-05,70
Middle East,Asia,,2018-05,12
India,Asia,,2018-05,120
"Korea,Republic of",Asia,,2018-05,390
Argentina,America,,2018-05,4
HongKong. Macao,Asia,,2018-05,189
"Others, America",America,,2018-05,45
Belgium,Europe,,2018-05,15
S. Africa,Africa,,2018-05,0
"Others, Oceania",Oceania,,2018-05,0
New Zealand,Oceania,,2018-05,1
Australia,Oceania,,2018-05,21
"Others, Europe",Europe,,2018-05,87
Russian Federation,Europe,,2018-05,8
Sweden,Europe,,2018-05,14
Japan,Asia,,2018-05,332
Greece,Europe,,2018-05,0
United Kingdom,Europe,,2018-05,34
Spain,Europe,,2018-05,27
Switzerland,Europe,,2018-05,21
Netherlands,Europe,,2018-05,40
Italy,Europe,,2018-05,26
Germany,Europe,,2018-05,113
France,Europe,,2018-05,232
Austria,Europe,,2018-05,28
Mainland China,Asia,,2018-05,1341
"Others, Africa",Africa,,2018-06,16
Unstated,,,2018-06,21
Argentina,America,,2018-06,1
Philippines,Asia,Southeast Asia,2018-06,141
Mexico,America,,2018-06,14
United States of America,America,,2018-06,716
Canada,America,,2018-06,47
"Others, Asia",Asia,,2018-06,50
"Others, Southeast Asia",Asia,Southeast Asia,2018-06,7
Vietnam,Asia,Southeast Asia,2018-06,175
Thailand,Asia,Southeast Asia,2018-06,255
Indonesia,Asia,Southeast Asia,2018-06,524
Singapore,Asia,Southeast Asia,2018-06,152
Malaysia,Asia,Southeast Asia,2018-06,165
Middle East,Asia,,2018-06,21
India,Asia,,2018-06,59
"Korea,Republic of",Asia,,2018-06,378
Japan,Asia,,2018-06,322
HongKong. Macao,Asia,,2018-06,283
Brazil,America,,2018-06,5
"Others, America",America,,2018-06,35
Mainland China,Asia,,2018-06,1086
France,Europe,,2018-06,240
S. Africa,Africa,,2018-06,1
Belgium,Europe,,2018-06,10
"Others, Oceania",Oceania,,2018-06,2
New Zealand,Oceania,,2018-06,8
Australia,Oceania,,2018-06,26
Russian Federation,Europe,,2018-06,17
Sweden,Europe,,2018-06,14
Greece,Europe,,2018-06,0
"Others, Europe",Europe,,2018-06,110
Austria,Europe,,2018-06,13
United Kingdom,Europe,,2018-06,44
Spain,Europe,,2018-06,51
Switzerland,Europe,,2018-06,8
Netherlands,Europe,,2018-06,37
Italy,Europe,,2018-06,17
Germany,Europe,,2018-06,75
Thailand,Asia,Southeast Asia,2018-07,376
United States of America,America,,2018-07,608
Canada,America,,2018-07,56
"Others, Asia",Asia,,2018-07,27
"Others, Southeast Asia",Asia,Southeast Asia,2018-07,16
Vietnam,Asia,Southeast Asia,2018-07,282
Mexico,America,,2018-07,12
Philippines,Asia,Southeast Asia,2018-07,107
Mainland China,Asia,,2018-07,915
Singapore,Asia,Southeast Asia,2018-07,110
Malaysia,Asia,Southeast Asia,2018-07,179
Middle East,Asia,,2018-07,31
India,Asia,,2018-07,105
"Korea,Republic of",Asia,,2018-07,562
Japan,Asia,,2018-07,402
HongKong. Macao,Asia,,2018-07,434
Brazil,America,,2018-07,3
Indonesia,Asia,Southeast Asia,2018-07,265
Argentina,America,,2018-07,4
S. Africa,Africa,,2018-07,0
Belgium,Europe,,2018-07,17
Unstated,,,2018-07,2
"Others, Africa",Africa,,2018-07,30
"Others, Oceania",Oceania,,2018-07,13
New Zealand,Oceania,,2018-07,4
Australia,Oceania,,2018-07,50
"Others, Europe",Europe,,2018-07,139
Russian Federation,Europe,,2018-07,22
Sweden,Europe,,2018-07,15
Greece,Europe,,2018-07,6
Austria,Europe,,2018-07,18
United Kingdom,Europe,,2018-07,23
Spain,Europe,,2018-07,46
Switzerland,Europe,,2018-07,17
Netherlands,Europe,,2018-07,45
Italy,Europe,,2018-07,18
Germany,Europe,,2018-07,72
France,Europe,,2018-07,175
"Others, America",America,,2018-07,72
HongKong. Macao,Asia,,2018-08,922
"Korea,Republic of",Asia,,2018-08,495
France,Europe,,2018-08,214
Netherlands,Europe,,2018-08,55
Switzerland,Europe,,2018-08,29
Spain,Europe,,2018-08,28
United Kingdom,Europe,,2018-08,62
Austria,Europe,,2018-08,17
Greece,Europe,,2018-08,3
Sweden,Europe,,2018-08,30
Russian Federation,Europe,,2018-08,26
"Others, Europe",Europe,,2018-08,127
Australia,Oceania,,2018-08,29
New Zealand,Oceania,,2018-08,12
"Others, Oceania",Oceania,,2018-08,22
S. Africa,Africa,,2018-08,4
"Others, Africa",Africa,,2018-08,24
Mainland China,Asia,,2018-08,1938
Italy,Europe,,2018-08,42
Germany,Europe,,2018-08,152
Japan,Asia,,2018-08,1150
Belgium,Europe,,2018-08,26
India,Asia,,2018-08,81
Middle East,Asia,,2018-08,32
Malaysia,Asia,Southeast Asia,2018-08,369
Singapore,Asia,Southeast Asia,2018-08,77
Indonesia,Asia,Southeast Asia,2018-08,381
Philippines,Asia,Southeast Asia,2018-08,123
Thailand,Asia,Southeast Asia,2018-08,202
Unstated,,,2018-08,1
Vietnam,Asia,Southeast Asia,2018-08,286
"Others, Asia",Asia,,2018-08,43
Canada,America,,2018-08,52
United States of America,America,,2018-08,323
Mexico,America,,2018-08,27
Brazil,America,,2018-08,21
Argentina,America,,2018-08,5
"Others, America",America,,2018-08,96
"Others, Southeast Asia",Asia,Southeast Asia,2018-08,46
Japan,Asia,,2018-09,779
HongKong. Macao,Asia,,2018-09,1445
"Others, Africa",Africa,,2018-09,42
Brazil,America,,2018-09,9
Mexico,America,,2018-09,22
United States of America,America,,2018-09,239
Canada,America,,2018-09,31
"Others, Asia",Asia,,2018-09,101
"Others, Southeast Asia",Asia,Southeast Asia,2018-09,30
Vietnam,Asia,Southeast Asia,2018-09,457
Thailand,Asia,Southeast Asia,2018-09,226
Philippines,Asia,Southeast Asia,2018-09,73
Indonesia,Asia,Southeast Asia,2018-09,490
Singapore,Asia,Southeast Asia,2018-09,158
Malaysia,Asia,Southeast Asia,2018-09,409
Middle East,Asia,,2018-09,32
India,Asia,,2018-09,127
"Korea,Republic of",Asia,,2018-09,688
Argentina,America,,2018-09,5
Unstated,,,2018-09,2
"Others, America",America,,2018-09,107
France,Europe,,2018-09,328
S. Africa,Africa,,2018-09,2
"Others, Oceania",Oceania,,2018-09,15
New Zealand,Oceania,,2018-09,11
Australia,Oceania,,2018-09,50
"Others, Europe",Europe,,2018-09,196
Russian Federation,Europe,,2018-09,37
Sweden,Europe,,2018-09,52
Greece,Europe,,2018-09,1
Austria,Europe,,2018-09,34
United Kingdom,Europe,,2018-09,47
Spain,Europe,,2018-09,89
Switzerland,Europe,,2018-09,20
Netherlands,Europe,,2018-09,92
Italy,Europe,,2018-09,89
Germany,Europe,,2018-09,358
Belgium,Europe,,2018-09,76
Mainland China,Asia,,2018-09,6745
