Residence,Region,Sub-Region,Period,Study
Russian Federation,Europe,,2011-09,92
Brazil,America,,2011-10,3
Mexico,America,,2011-10,3
United States of America,America,,2011-10,151
Canada,America,,2011-10,29
"Others, Asia",Asia,,2011-10,63
"Others, Southeast Asia",Asia,Southeast Asia,2011-10,252
Thailand,Asia,Southeast Asia,2011-10,109
Singapore,Asia,Southeast Asia,2011-10,108
Indonesia,Asia,Southeast Asia,2011-10,110
Argentina,America,,2011-10,2
Malaysia,Asia,Southeast Asia,2011-10,210
Middle East,Asia,,2011-10,13
India,Asia,,2011-10,48
"Korea,Republic of",Asia,,2011-10,174
Japan,Asia,,2011-10,282
Philippines,Asia,Southeast Asia,2011-10,55
"Others, America",America,,2011-10,71
Italy,Europe,,2011-10,19
France,Europe,,2011-10,122
Unstated,,,2011-10,0
"Others, Africa",Africa,,2011-10,32
S. Africa,Africa,,2011-10,2
"Others, Oceania",Oceania,,2011-10,8
New Zealand,Oceania,,2011-10,3
Australia,Oceania,,2011-10,18
"Others, Europe",Europe,,2011-10,61
Belgium,Europe,,2011-10,6
Russian Federation,Europe,,2011-10,12
Greece,Europe,,2011-10,0
Mainland China,Asia,,2011-10,279
United Kingdom,Europe,,2011-10,23
Spain,Europe,,2011-10,28
Switzerland,Europe,,2011-10,9
Netherlands,Europe,,2011-10,23
Germany,Europe,,2011-10,58
Sweden,Europe,,2011-10,15
Austria,Europe,,2011-10,9
HongKong. Macao,Asia,,2011-10,96
"Others, Southeast Asia",Asia,Southeast Asia,2011-11,156
Argentina,America,,2011-11,2
Mexico,America,,2011-11,4
United States of America,America,,2011-11,207
Canada,America,,2011-11,48
"Others, Asia",Asia,,2011-11,58
Thailand,Asia,Southeast Asia,2011-11,71
Philippines,Asia,Southeast Asia,2011-11,53
"Others, America",America,,2011-11,47
Indonesia,Asia,Southeast Asia,2011-11,113
Malaysia,Asia,Southeast Asia,2011-11,254
Middle East,Asia,,2011-11,13
India,Asia,,2011-11,41
"Korea,Republic of",Asia,,2011-11,248
Japan,Asia,,2011-11,402
Mainland China,Asia,,2011-11,252
HongKong. Macao,Asia,,2011-11,105
Singapore,Asia,Southeast Asia,2011-11,249
Belgium,Europe,,2011-11,8
Brazil,America,,2011-11,2
Germany,Europe,,2011-11,101
Unstated,,,2011-11,0
"Others, Africa",Africa,,2011-11,15
S. Africa,Africa,,2011-11,22
"Others, Oceania",Oceania,,2011-11,7
New Zealand,Oceania,,2011-11,9
France,Europe,,2011-11,135
"Others, Europe",Europe,,2011-11,87
Russian Federation,Europe,,2011-11,10
Sweden,Europe,,2011-11,26
Australia,Oceania,,2011-11,81
Austria,Europe,,2011-11,19
United Kingdom,Europe,,2011-11,29
Spain,Europe,,2011-11,20
Switzerland,Europe,,2011-11,11
Netherlands,Europe,,2011-11,25
Italy,Europe,,2011-11,19
Greece,Europe,,2011-11,1
Mexico,America,,2011-12,6
Philippines,Asia,Southeast Asia,2011-12,30
Brazil,America,,2011-12,21
United States of America,America,,2011-12,239
Canada,America,,2011-12,46
"Others, Asia",Asia,,2011-12,40
"Others, Southeast Asia",Asia,Southeast Asia,2011-12,126
Thailand,Asia,Southeast Asia,2011-12,71
Indonesia,Asia,Southeast Asia,2011-12,82
Greece,Europe,,2011-12,1
Malaysia,Asia,Southeast Asia,2011-12,182
Middle East,Asia,,2011-12,11
India,Asia,,2011-12,19
"Korea,Republic of",Asia,,2011-12,251
Japan,Asia,,2011-12,273
HongKong. Macao,Asia,,2011-12,127
Argentina,America,,2011-12,3
Mainland China,Asia,,2011-12,245
Singapore,Asia,Southeast Asia,2011-12,118
"Others, America",America,,2011-12,53
Sweden,Europe,,2011-12,22
France,Europe,,2011-12,132
Unstated,,,2011-12,2
Belgium,Europe,,2011-12,4
S. Africa,Africa,,2011-12,4
"Others, Oceania",Oceania,,2011-12,0
New Zealand,Oceania,,2011-12,13
Australia,Oceania,,2011-12,45
"Others, Europe",Europe,,2011-12,74
Russian Federation,Europe,,2011-12,11
"Others, Africa",Africa,,2011-12,12
Austria,Europe,,2011-12,20
United Kingdom,Europe,,2011-12,18
Spain,Europe,,2011-12,22
Switzerland,Europe,,2011-12,18
Netherlands,Europe,,2011-12,28
Italy,Europe,,2011-12,18
Germany,Europe,,2011-12,82
S. Africa,Africa,,2012-01,9
Canada,America,,2012-01,43
"Others, Asia",Asia,,2012-01,37
"Others, Southeast Asia",Asia,Southeast Asia,2012-01,7
Vietnam,Asia,Southeast Asia,2012-01,137
Thailand,Asia,Southeast Asia,2012-01,47
Philippines,Asia,Southeast Asia,2012-01,33
Indonesia,Asia,Southeast Asia,2012-01,96
Singapore,Asia,Southeast Asia,2012-01,27
"Korea,Republic of",Asia,,2012-01,333
Middle East,Asia,,2012-01,13
India,Asia,,2012-01,18
United States of America,America,,2012-01,322
Japan,Asia,,2012-01,387
Mainland China,Asia,,2012-01,35
HongKong. Macao,Asia,,2012-01,52
"Others, Africa",Africa,,2012-01,7
Unstated,,,2012-01,0
Malaysia,Asia,Southeast Asia,2012-01,280
Mexico,America,,2012-01,10
"Others, Oceania",Oceania,,2012-01,9
Argentina,America,,2012-01,0
Austria,Europe,,2012-01,9
Greece,Europe,,2012-01,0
Sweden,Europe,,2012-01,21
Russian Federation,Europe,,2012-01,30
"Others, Europe",Europe,,2012-01,73
Australia,Oceania,,2012-01,39
Brazil,America,,2012-01,12
United Kingdom,Europe,,2012-01,27
Spain,Europe,,2012-01,29
"Others, America",America,,2012-01,135
Belgium,Europe,,2012-01,13
France,Europe,,2012-01,109
Germany,Europe,,2012-01,44
Italy,Europe,,2012-01,21
Netherlands,Europe,,2012-01,24
Switzerland,Europe,,2012-01,11
New Zealand,Oceania,,2012-01,2
Mainland China,Asia,,2012-02,898
France,Europe,,2012-02,303
