Residence,Region,Sub-Region,Period,Pleasure
Canada,America,,2011-10,3532
"Others, Asia",Asia,,2011-10,138
"Others, Southeast Asia",Asia,Southeast Asia,2011-10,980
Thailand,Asia,Southeast Asia,2011-10,2801
Singapore,Asia,Southeast Asia,2011-10,17371
Indonesia,Asia,Southeast Asia,2011-10,4830
Argentina,America,,2011-10,12
Malaysia,Asia,Southeast Asia,2011-10,19873
Middle East,Asia,,2011-10,135
India,Asia,,2011-10,96
"Korea,Republic of",Asia,,2011-10,9479
Japan,Asia,,2011-10,79515
Philippines,Asia,Southeast Asia,2011-10,2700
"Others, America",America,,2011-10,112
Italy,Europe,,2011-10,121
France,Europe,,2011-10,818
Unstated,,,2011-10,23
"Others, Africa",Africa,,2011-10,70
S. Africa,Africa,,2011-10,51
"Others, Oceania",Oceania,,2011-10,10
New Zealand,Oceania,,2011-10,234
Australia,Oceania,,2011-10,2697
"Others, Europe",Europe,,2011-10,844
Belgium,Europe,,2011-10,112
Russian Federation,Europe,,2011-10,64
Greece,Europe,,2011-10,7
Mainland China,Asia,,2011-10,115625
United Kingdom,Europe,,2011-10,1219
Spain,Europe,,2011-10,138
Switzerland,Europe,,2011-10,223
Netherlands,Europe,,2011-10,409
Germany,Europe,,2011-10,1133
Sweden,Europe,,2011-10,202
Austria,Europe,,2011-10,196
HongKong. Macao,Asia,,2011-10,40801
"Others, Southeast Asia",Asia,Southeast Asia,2011-11,398
Argentina,America,,2011-11,15
Mexico,America,,2011-11,25
United States of America,America,,2011-11,9582
Canada,America,,2011-11,3699
"Others, Asia",Asia,,2011-11,187
Thailand,Asia,Southeast Asia,2011-11,1644
Philippines,Asia,Southeast Asia,2011-11,1377
"Others, America",America,,2011-11,79
Indonesia,Asia,Southeast Asia,2011-11,1639
Malaysia,Asia,Southeast Asia,2011-11,31095
Middle East,Asia,,2011-11,122
India,Asia,,2011-11,166
"Korea,Republic of",Asia,,2011-11,11288
Japan,Asia,,2011-11,96275
Mainland China,Asia,,2011-11,158150
HongKong. Macao,Asia,,2011-11,43150
Singapore,Asia,Southeast Asia,2011-11,29096
Belgium,Europe,,2011-11,100
Brazil,America,,2011-11,44
Germany,Europe,,2011-11,879
Unstated,,,2011-11,6
"Others, Africa",Africa,,2011-11,28
S. Africa,Africa,,2011-11,37
"Others, Oceania",Oceania,,2011-11,21
New Zealand,Oceania,,2011-11,270
France,Europe,,2011-11,576
"Others, Europe",Europe,,2011-11,776
Russian Federation,Europe,,2011-11,81
Sweden,Europe,,2011-11,149
Australia,Oceania,,2011-11,2441
Austria,Europe,,2011-11,183
United Kingdom,Europe,,2011-11,1327
Spain,Europe,,2011-11,124
Switzerland,Europe,,2011-11,197
Netherlands,Europe,,2011-11,390
Italy,Europe,,2011-11,155
Greece,Europe,,2011-11,27
Mexico,America,,2011-12,25
Philippines,Asia,Southeast Asia,2011-12,2867
Brazil,America,,2011-12,93
United States of America,America,,2011-12,11558
Canada,America,,2011-12,4160
"Others, Asia",Asia,,2011-12,196
"Others, Southeast Asia",Asia,Southeast Asia,2011-12,628
Thailand,Asia,Southeast Asia,2011-12,3821
Indonesia,Asia,Southeast Asia,2011-12,3804
Greece,Europe,,2011-12,15
Malaysia,Asia,Southeast Asia,2011-12,36791
Middle East,Asia,,2011-12,102
India,Asia,,2011-12,108
"Korea,Republic of",Asia,,2011-12,12745
Japan,Asia,,2011-12,97289
