Residence,Region,Sub-Region,Period,Pleasure
Indonesia,Asia,Southeast Asia,2015-09,1574
Vietnam,Asia,Southeast Asia,2015-09,822
"Others, Southeast Asia",Asia,Southeast Asia,2015-09,318
"Others, Asia",Asia,,2015-09,98
Canada,America,,2015-09,2670
United States of America,America,,2015-09,9683
Mexico,America,,2015-09,40
Brazil,America,,2015-09,50
Thailand,Asia,Southeast Asia,2015-09,2745
Malaysia,Asia,Southeast Asia,2015-10,30380
Indonesia,Asia,Southeast Asia,2015-10,3342
Singapore,Asia,Southeast Asia,2015-10,23998
Middle East,Asia,,2015-10,284
HongKong. Macao,Asia,,2015-10,96391
"Korea,Republic of",Asia,,2015-10,46582
Philippines,Asia,Southeast Asia,2015-10,2416
Japan,Asia,,2015-10,112937
India,Asia,,2015-10,244
Thailand,Asia,Southeast Asia,2015-10,7239
Mainland China,Asia,,2015-10,321017
"Others, Southeast Asia",Asia,Southeast Asia,2015-10,384
Netherlands,Europe,,2015-10,692
Switzerland,Europe,,2015-10,397
United Kingdom,Europe,,2015-10,1833
Austria,Europe,,2015-10,168
Greece,Europe,,2015-10,16
Sweden,Europe,,2015-10,277
Russian Federation,Europe,,2015-10,111
"Others, Europe",Europe,,2015-10,1348
Australia,Oceania,,2015-10,3174
New Zealand,Oceania,,2015-10,356
"Others, Oceania",Oceania,,2015-10,57
S. Africa,Africa,,2015-10,36
"Others, Africa",Africa,,2015-10,55
Unstated,,,2015-10,32
Vietnam,Asia,Southeast Asia,2015-10,1255
Italy,Europe,,2015-10,284
Germany,Europe,,2015-10,1996
Spain,Europe,,2015-10,237
Brazil,America,,2015-10,83
Mexico,America,,2015-10,45
Argentina,America,,2015-10,14
"Others, America",America,,2015-10,188
Belgium,Europe,,2015-10,210
France,Europe,,2015-10,1166
United States of America,America,,2015-10,14291
"Others, Asia",Asia,,2015-10,84
Canada,America,,2015-10,4401
Malaysia,Asia,Southeast Asia,2015-11,41771
S. Africa,Africa,,2015-11,57
"Others, Southeast Asia",Asia,Southeast Asia,2015-11,334
"Others, Oceania",Oceania,,2015-11,24
HongKong. Macao,Asia,,2015-11,101387
Vietnam,Asia,Southeast Asia,2015-11,918
Mainland China,Asia,,2015-11,295517
Middle East,Asia,,2015-11,405
Japan,Asia,,2015-11,122062
Australia,Oceania,,2015-11,3233
New Zealand,Oceania,,2015-11,360
Philippines,Asia,Southeast Asia,2015-11,2811
"Korea,Republic of",Asia,,2015-11,46300
India,Asia,,2015-11,296
Singapore,Asia,Southeast Asia,2015-11,39091
Thailand,Asia,Southeast Asia,2015-11,4852
Indonesia,Asia,Southeast Asia,2015-11,1942
France,Europe,,2015-11,1014
Sweden,Europe,,2015-11,216
Belgium,Europe,,2015-11,182
"Others, America",America,,2015-11,126
Argentina,America,,2015-11,11
Brazil,America,,2015-11,86
Mexico,America,,2015-11,58
United States of America,America,,2015-11,15486
Canada,America,,2015-11,5202
Germany,Europe,,2015-11,1710
"Others, Asia",Asia,,2015-11,97
Netherlands,Europe,,2015-11,801
Switzerland,Europe,,2015-11,291
Spain,Europe,,2015-11,258
"Others, Africa",Africa,,2015-11,31
United Kingdom,Europe,,2015-11,1941
Austria,Europe,,2015-11,238
Greece,Europe,,2015-11,23
Italy,Europe,,2015-11,300
Unstated,,,2015-11,38
"Others, Europe",Europe,,2015-11,1200
Russian Federation,Europe,,2015-11,161
Mainland China,Asia,,2015-12,277993
Canada,America,,2015-12,5146
United States of America,America,,2015-12,17110
Mexico,America,,2015-12,84
Brazil,America,,2015-12,140
Argentina,America,,2015-12,28
"Others, America",America,,2015-12,155
France,Europe,,2015-12,1099
Germany,Europe,,2015-12,2006
Italy,Europe,,2015-12,363
Netherlands,Europe,,2015-12,708
Switzerland,Europe,,2015-12,371
Spain,Europe,,2015-12,261
United Kingdom,Europe,,2015-12,1939
Austria,Europe,,2015-12,193
Greece,Europe,,2015-12,25
"Others, Asia",Asia,,2015-12,125
HongKong. Macao,Asia,,2015-12,148202
"Others, Southeast Asia",Asia,Southeast Asia,2015-12,573
"Others, Africa",Africa,,2015-12,59
Japan,Asia,,2015-12,133194
Sweden,Europe,,2015-12,308
Russian Federation,Europe,,2015-12,89
"Others, Europe",Europe,,2015-12,1579
"Korea,Republic of",Asia,,2015-12,56674
India,Asia,,2015-12,280
Middle East,Asia,,2015-12,430
Unstated,,,2015-12,68
Malaysia,Asia,Southeast Asia,2015-12,51770
Indonesia,Asia,Southeast Asia,2015-12,4752
Philippines,Asia,Southeast Asia,2015-12,5518
Vietnam,Asia,Southeast Asia,2015-12,1328
Australia,Oceania,,2015-12,5984
New Zealand,Oceania,,2015-12,802
"Others, Oceania",Oceania,,2015-12,25
S. Africa,Africa,,2015-12,195
Singapore,Asia,Southeast Asia,2015-12,57497
Thailand,Asia,Southeast Asia,2015-12,10532
Belgium,Europe,,2015-12,182
"Others, America",America,,2016-01,158
Canada,America,,2016-01,3933
United States of America,America,,2016-01,11176
Mexico,America,,2016-01,71
Brazil,America,,2016-01,150
Argentina,America,,2016-01,52
Belgium,Europe,,2016-01,127
France,Europe,,2016-01,786
Germany,Europe,,2016-01,1548
Italy,Europe,,2016-01,266
Netherlands,Europe,,2016-01,566
Switzerland,Europe,,2016-01,214
Spain,Europe,,2016-01,172
United Kingdom,Europe,,2016-01,1516
Austria,Europe,,2016-01,165
Greece,Europe,,2016-01,13
Sweden,Europe,,2016-01,192
Russian Federation,Europe,,2016-01,95
"Others, Europe",Europe,,2016-01,1102
Australia,Oceania,,2016-01,4344
New Zealand,Oceania,,2016-01,579
"Others, Oceania",Oceania,,2016-01,24
S. Africa,Africa,,2016-01,60
Unstated,,,2016-01,32
"Others, Asia",Asia,,2016-01,101
"Others, Southeast Asia",Asia,Southeast Asia,2016-01,337
"Others, Africa",Africa,,2016-01,23
Thailand,Asia,Southeast Asia,2016-01,4168
Vietnam,Asia,Southeast Asia,2016-01,808
HongKong. Macao,Asia,,2016-01,78319
Mainland China,Asia,,2016-01,317101
"Korea,Republic of",Asia,,2016-01,71950
India,Asia,,2016-01,139
Japan,Asia,,2016-01,107128
Middle East,Asia,,2016-01,413
Malaysia,Asia,Southeast Asia,2016-01,16786
Singapore,Asia,Southeast Asia,2016-01,16623
Indonesia,Asia,Southeast Asia,2016-01,1715
Philippines,Asia,Southeast Asia,2016-01,1941
United Kingdom,Europe,,2016-02,1415
France,Europe,,2016-02,922
Germany,Europe,,2016-02,1316
Netherlands,Europe,,2016-02,393
Switzerland,Europe,,2016-02,213
Spain,Europe,,2016-02,191
Belgium,Europe,,2016-02,118
Austria,Europe,,2016-02,163
New Zealand,Oceania,,2016-02,286
Unstated,,,2016-02,22
"Others, Africa",Africa,,2016-02,23
S. Africa,Africa,,2016-02,33
"Others, Oceania",Oceania,,2016-02,28
"Others, America",America,,2016-02,140
Australia,Oceania,,2016-02,2196
"Others, Europe",Europe,,2016-02,1168
Russian Federation,Europe,,2016-02,71
Sweden,Europe,,2016-02,176
Greece,Europe,,2016-02,12
Argentina,America,,2016-02,30
Italy,Europe,,2016-02,261
Mexico,America,,2016-02,57
Vietnam,Asia,Southeast Asia,2016-02,1401
Thailand,Asia,Southeast Asia,2016-02,4757
Philippines,Asia,Southeast Asia,2016-02,2337
Indonesia,Asia,Southeast Asia,2016-02,1354
Singapore,Asia,Southeast Asia,2016-02,13373
Malaysia,Asia,Southeast Asia,2016-02,18335
Brazil,America,,2016-02,44
India,Asia,,2016-02,142
Middle East,Asia,,2016-02,336
Canada,America,,2016-02,3138
"Korea,Republic of",Asia,,2016-02,60465
"Others, Asia",Asia,,2016-02,92
"Others, Southeast Asia",Asia,Southeast Asia,2016-02,466
HongKong. Macao,Asia,,2016-02,89278
Mainland China,Asia,,2016-02,335981
Japan,Asia,,2016-02,93002
United States of America,America,,2016-02,8908
Mainland China,Asia,,2016-03,315359
"Others, Southeast Asia",Asia,Southeast Asia,2016-03,497
"Others, Asia",Asia,,2016-03,133
United States of America,America,,2016-03,14488
Mexico,America,,2016-03,102
Brazil,America,,2016-03,74
Argentina,America,,2016-03,16
"Others, America",America,,2016-03,141
Belgium,Europe,,2016-03,240
France,Europe,,2016-03,1003
Canada,America,,2016-03,5481
Vietnam,Asia,Southeast Asia,2016-03,1529
HongKong. Macao,Asia,,2016-03,146993
Germany,Europe,,2016-03,3444
Thailand,Asia,Southeast Asia,2016-03,8793
Philippines,Asia,Southeast Asia,2016-03,4725
Indonesia,Asia,Southeast Asia,2016-03,2608
Singapore,Asia,Southeast Asia,2016-03,28779
Malaysia,Asia,Southeast Asia,2016-03,39007
Middle East,Asia,,2016-03,579
India,Asia,,2016-03,239
"Korea,Republic of",Asia,,2016-03,43724
Japan,Asia,,2016-03,158494
Unstated,,,2016-03,27
Italy,Europe,,2016-03,331
"Others, Africa",Africa,,2016-03,51
Switzerland,Europe,,2016-03,360
"Others, Oceania",Oceania,,2016-03,20
New Zealand,Oceania,,2016-03,304
Australia,Oceania,,2016-03,3410
"Others, Europe",Europe,,2016-03,1353
Russian Federation,Europe,,2016-03,99
Sweden,Europe,,2016-03,280
Greece,Europe,,2016-03,21
S. Africa,Africa,,2016-03,23
Netherlands,Europe,,2016-03,651
Austria,Europe,,2016-03,287
United Kingdom,Europe,,2016-03,2110
Spain,Europe,,2016-03,312
France,Europe,,2016-04,941
Germany,Europe,,2016-04,1226
Italy,Europe,,2016-04,233
Netherlands,Europe,,2016-04,529
Switzerland,Europe,,2016-04,242
Spain,Europe,,2016-04,177
United Kingdom,Europe,,2016-04,1532
Austria,Europe,,2016-04,128
New Zealand,Oceania,,2016-04,263
Australia,Oceania,,2016-04,2432
Russian Federation,Europe,,2016-04,69
"Others, Europe",Europe,,2016-04,971
Mainland China,Asia,,2016-04,315610
Belgium,Europe,,2016-04,104
S. Africa,Africa,,2016-04,50
"Others, Oceania",Oceania,,2016-04,11
Greece,Europe,,2016-04,13
Sweden,Europe,,2016-04,197
United States of America,America,,2016-04,10864
Argentina,America,,2016-04,15
Japan,Asia,,2016-04,74962
"Korea,Republic of",Asia,,2016-04,38774
India,Asia,,2016-04,205
Middle East,Asia,,2016-04,364
Malaysia,Asia,Southeast Asia,2016-04,24721
Singapore,Asia,Southeast Asia,2016-04,17933
Indonesia,Asia,Southeast Asia,2016-04,1891
"Others, America",America,,2016-04,144
Philippines,Asia,Southeast Asia,2016-04,2535
Vietnam,Asia,Southeast Asia,2016-04,2461
"Others, Southeast Asia",Asia,Southeast Asia,2016-04,523
"Others, Asia",Asia,,2016-04,50
Canada,America,,2016-04,3795
"Others, Africa",Africa,,2016-04,32
Mexico,America,,2016-04,49
Brazil,America,,2016-04,56
Thailand,Asia,Southeast Asia,2016-04,9790
Unstated,,,2016-04,33
HongKong. Macao,Asia,,2016-04,95085
France,Europe,,2016-05,980
Belgium,Europe,,2016-05,127
Germany,Europe,,2016-05,1373
Italy,Europe,,2016-05,226
Netherlands,Europe,,2016-05,626
Switzerland,Europe,,2016-05,220
Spain,Europe,,2016-05,202
United Kingdom,Europe,,2016-05,1641
Austria,Europe,,2016-05,141
Greece,Europe,,2016-05,17
Sweden,Europe,,2016-05,177
Russian Federation,Europe,,2016-05,102
"Others, Europe",Europe,,2016-05,1051
Australia,Oceania,,2016-05,2486
New Zealand,Oceania,,2016-05,348
"Others, Oceania",Oceania,,2016-05,11
S. Africa,Africa,,2016-05,48
"Others, Africa",Africa,,2016-05,51
"Others, America",America,,2016-05,150
Unstated,,,2016-05,31
Argentina,America,,2016-05,23
Indonesia,Asia,Southeast Asia,2016-05,2618
"Korea,Republic of",Asia,,2016-05,51756
India,Asia,,2016-05,305
Middle East,Asia,,2016-05,440
Malaysia,Asia,Southeast Asia,2016-05,27420
Singapore,Asia,Southeast Asia,2016-05,20955
Brazil,America,,2016-05,64
Philippines,Asia,Southeast Asia,2016-05,3316
Thailand,Asia,Southeast Asia,2016-05,8899
Vietnam,Asia,Southeast Asia,2016-05,1591
"Others, Southeast Asia",Asia,Southeast Asia,2016-05,437
"Others, Asia",Asia,,2016-05,117
Canada,America,,2016-05,5418
HongKong. Macao,Asia,,2016-05,109039
United States of America,America,,2016-05,14088
Mexico,America,,2016-05,77
Japan,Asia,,2016-05,102789
Mainland China,Asia,,2016-05,265836
"Others, Southeast Asia",Asia,Southeast Asia,2016-06,406
"Others, Asia",Asia,,2016-06,141
Vietnam,Asia,Southeast Asia,2016-06,2022
Middle East,Asia,,2016-06,302
Malaysia,Asia,Southeast Asia,2016-06,21701
Indonesia,Asia,Southeast Asia,2016-06,3328
Canada,America,,2016-06,2807
Mainland China,Asia,,2016-06,220624
HongKong. Macao,Asia,,2016-06,125952
Philippines,Asia,Southeast Asia,2016-06,3176
United States of America,America,,2016-06,14729
Thailand,Asia,Southeast Asia,2016-06,4722
Brazil,America,,2016-06,67
Singapore,Asia,Southeast Asia,2016-06,24226
Mexico,America,,2016-06,64
Unstated,,,2016-06,14
"Others, Africa",Africa,,2016-06,21
S. Africa,Africa,,2016-06,63
"Others, Oceania",Oceania,,2016-06,73
New Zealand,Oceania,,2016-06,295
"Korea,Republic of",Asia,,2016-06,48958
"Others, Europe",Europe,,2016-06,1120
Russian Federation,Europe,,2016-06,53
Sweden,Europe,,2016-06,269
Japan,Asia,,2016-06,91458
India,Asia,,2016-06,287
Austria,Europe,,2016-06,114
Argentina,America,,2016-06,18
Greece,Europe,,2016-06,21
"Others, America",America,,2016-06,188
Belgium,Europe,,2016-06,122
France,Europe,,2016-06,815
Germany,Europe,,2016-06,1007
Australia,Oceania,,2016-06,2372
Netherlands,Europe,,2016-06,435
United Kingdom,Europe,,2016-06,1402
Spain,Europe,,2016-06,251
Switzerland,Europe,,2016-06,189
Italy,Europe,,2016-06,235
"Others, America",America,,2016-07,130
Argentina,America,,2016-07,17
Brazil,America,,2016-07,104
Mexico,America,,2016-07,58
United States of America,America,,2016-07,12343
Canada,America,,2016-07,3521
"Others, Asia",Asia,,2016-07,85
Vietnam,Asia,Southeast Asia,2016-07,1906
Thailand,Asia,Southeast Asia,2016-07,4503
Philippines,Asia,Southeast Asia,2016-07,2772
Indonesia,Asia,Southeast Asia,2016-07,5033
Singapore,Asia,Southeast Asia,2016-07,12303
Malaysia,Asia,Southeast Asia,2016-07,15730
Middle East,Asia,,2016-07,381
"Others, Southeast Asia",Asia,Southeast Asia,2016-07,474
Belgium,Europe,,2016-07,278
Germany,Europe,,2016-07,1262
Italy,Europe,,2016-07,249
"Others, Europe",Europe,,2016-07,1342
Russian Federation,Europe,,2016-07,81
Australia,Oceania,,2016-07,1977
New Zealand,Oceania,,2016-07,282
"Others, Oceania",Oceania,,2016-07,35
S. Africa,Africa,,2016-07,63
France,Europe,,2016-07,1172
"Others, Africa",Africa,,2016-07,33
Sweden,Europe,,2016-07,238
Greece,Europe,,2016-07,14
Austria,Europe,,2016-07,207
United Kingdom,Europe,,2016-07,1650
Spain,Europe,,2016-07,314
Netherlands,Europe,,2016-07,861
HongKong. Macao,Asia,,2016-07,132580
Switzerland,Europe,,2016-07,359
"Korea,Republic of",Asia,,2016-07,54129
Unstated,,,2016-07,18
India,Asia,,2016-07,196
Japan,Asia,,2016-07,89690
Mainland China,Asia,,2016-07,242097
Vietnam,Asia,Southeast Asia,2016-08,2202
"Korea,Republic of",Asia,,2016-08,64135
India,Asia,,2016-08,400
Middle East,Asia,,2016-08,421
Malaysia,Asia,Southeast Asia,2016-08,13687
Singapore,Asia,Southeast Asia,2016-08,11831
Indonesia,Asia,Southeast Asia,2016-08,1975
Philippines,Asia,Southeast Asia,2016-08,2768
HongKong. Macao,Asia,,2016-08,144324
Mainland China,Asia,,2016-08,189284
Brazil,America,,2016-08,65
Mexico,America,,2016-08,44
United States of America,America,,2016-08,12283
Canada,America,,2016-08,3996
"Others, Asia",Asia,,2016-08,139
"Others, Southeast Asia",Asia,Southeast Asia,2016-08,547
Thailand,Asia,Southeast Asia,2016-08,6275
Argentina,America,,2016-08,20
Japan,Asia,,2016-08,146755
Austria,Europe,,2016-08,225
"Others, Oceania",Oceania,,2016-08,18
S. Africa,Africa,,2016-08,91
"Others, Africa",Africa,,2016-08,38
"Others, America",America,,2016-08,166
"Others, Europe",Europe,,2016-08,1297
Russian Federation,Europe,,2016-08,88
Sweden,Europe,,2016-08,154
Greece,Europe,,2016-08,18
New Zealand,Oceania,,2016-08,291
Australia,Oceania,,2016-08,1712
Spain,Europe,,2016-08,462
Switzerland,Europe,,2016-08,280
Netherlands,Europe,,2016-08,753
Italy,Europe,,2016-08,427
Germany,Europe,,2016-08,1521
France,Europe,,2016-08,1288
Belgium,Europe,,2016-08,169
Unstated,,,2016-08,25
United Kingdom,Europe,,2016-08,1918
Austria,Europe,,2016-09,173
United Kingdom,Europe,,2016-09,1540
Unstated,,,2016-09,21
"Others, Oceania",Oceania,,2016-09,22
Sweden,Europe,,2016-09,171
Russian Federation,Europe,,2016-09,98
"Others, Europe",Europe,,2016-09,1244
Australia,Oceania,,2016-09,2910
New Zealand,Oceania,,2016-09,398
S. Africa,Africa,,2016-09,54
"Others, Africa",Africa,,2016-09,40
Greece,Europe,,2016-09,14
Belgium,Europe,,2016-09,181
France,Europe,,2016-09,936
Canada,America,,2016-09,4069
Singapore,Asia,Southeast Asia,2016-09,18874
Indonesia,Asia,Southeast Asia,2016-09,1995
Philippines,Asia,Southeast Asia,2016-09,3248
Thailand,Asia,Southeast Asia,2016-09,7451
Vietnam,Asia,Southeast Asia,2016-09,3032
"Others, Southeast Asia",Asia,Southeast Asia,2016-09,682
"Others, Asia",Asia,,2016-09,128
HongKong. Macao,Asia,,2016-09,95223
United States of America,America,,2016-09,11332
Mexico,America,,2016-09,53
Malaysia,Asia,Southeast Asia,2016-09,26638
Brazil,America,,2016-09,76
"Others, America",America,,2016-09,157
Spain,Europe,,2016-09,333
Switzerland,Europe,,2016-09,285
Netherlands,Europe,,2016-09,651
Italy,Europe,,2016-09,258
India,Asia,,2016-09,250
Germany,Europe,,2016-09,1833
"Korea,Republic of",Asia,,2016-09,59071
Japan,Asia,,2016-09,122326
Mainland China,Asia,,2016-09,153788
Argentina,America,,2016-09,14
Middle East,Asia,,2016-09,409
Argentina,America,,2016-10,15
Sweden,Europe,,2016-10,249
Russian Federation,Europe,,2016-10,145
"Others, Europe",Europe,,2016-10,1734
Unstated,,,2016-10,27
HongKong. Macao,Asia,,2016-10,108704
Mainland China,Asia,,2016-10,166482
Japan,Asia,,2016-10,118823
"Others, America",America,,2016-10,184
Belgium,Europe,,2016-10,278
Mexico,America,,2016-10,94
Germany,Europe,,2016-10,2253
Italy,Europe,,2016-10,298
United States of America,America,,2016-10,15756
Netherlands,Europe,,2016-10,988
Switzerland,Europe,,2016-10,470
Spain,Europe,,2016-10,310
United Kingdom,Europe,,2016-10,2335
Austria,Europe,,2016-10,223
Greece,Europe,,2016-10,18
"Others, Africa",Africa,,2016-10,37
Canada,America,,2016-10,6466
"Others, Asia",Asia,,2016-10,133
"Others, Southeast Asia",Asia,Southeast Asia,2016-10,853
Vietnam,Asia,Southeast Asia,2016-10,5085
Thailand,Asia,Southeast Asia,2016-10,14630
Philippines,Asia,Southeast Asia,2016-10,5197
Indonesia,Asia,Southeast Asia,2016-10,2676
S. Africa,Africa,,2016-10,66
"Others, Oceania",Oceania,,2016-10,28
New Zealand,Oceania,,2016-10,432
Australia,Oceania,,2016-10,3838
Singapore,Asia,Southeast Asia,2016-10,24273
Malaysia,Asia,Southeast Asia,2016-10,30328
Middle East,Asia,,2016-10,537
India,Asia,,2016-10,421
"Korea,Republic of",Asia,,2016-10,54631
Brazil,America,,2016-10,166
France,Europe,,2016-10,1245
Indonesia,Asia,Southeast Asia,2016-11,2751
"Others, Africa",Africa,,2016-11,49
Japan,Asia,,2016-11,142221
"Korea,Republic of",Asia,,2016-11,65824
India,Asia,,2016-11,313
Malaysia,Asia,Southeast Asia,2016-11,45912
Singapore,Asia,Southeast Asia,2016-11,42866
Philippines,Asia,Southeast Asia,2016-11,5474
Thailand,Asia,Southeast Asia,2016-11,13457
Vietnam,Asia,Southeast Asia,2016-11,6691
"Others, Southeast Asia",Asia,Southeast Asia,2016-11,1003
"Others, Asia",Asia,,2016-11,152
Canada,America,,2016-11,7301
Mainland China,Asia,,2016-11,151425
United States of America,America,,2016-11,20724
Brazil,America,,2016-11,88
Argentina,America,,2016-11,20
"Others, America",America,,2016-11,216
Belgium,Europe,,2016-11,256
France,Europe,,2016-11,1246
Germany,Europe,,2016-11,2167
Italy,Europe,,2016-11,418
Netherlands,Europe,,2016-11,943
Switzerland,Europe,,2016-11,352
Spain,Europe,,2016-11,389
Unstated,,,2016-11,47
Mexico,America,,2016-11,57
HongKong. Macao,Asia,,2016-11,109948
Middle East,Asia,,2016-11,452
Greece,Europe,,2016-11,25
S. Africa,Africa,,2016-11,63
"Others, Oceania",Oceania,,2016-11,20
New Zealand,Oceania,,2016-11,477
Australia,Oceania,,2016-11,3985
"Others, Europe",Europe,,2016-11,2167
United Kingdom,Europe,,2016-11,2345
Austria,Europe,,2016-11,212
Russian Federation,Europe,,2016-11,183
Sweden,Europe,,2016-11,343
"Others, America",America,,2016-12,192
Belgium,Europe,,2016-12,229
France,Europe,,2016-12,1277
Germany,Europe,,2016-12,2026
Brazil,America,,2016-12,189
Italy,Europe,,2016-12,415
HongKong. Macao,Asia,,2016-12,161788
Switzerland,Europe,,2016-12,354
Spain,Europe,,2016-12,365
United Kingdom,Europe,,2016-12,1937
Austria,Europe,,2016-12,193
Greece,Europe,,2016-12,16
Sweden,Europe,,2016-12,293
Russian Federation,Europe,,2016-12,123
Mainland China,Asia,,2016-12,171960
Japan,Asia,,2016-12,131585
Singapore,Asia,Southeast Asia,2016-12,60204
India,Asia,,2016-12,363
Middle East,Asia,,2016-12,493
Malaysia,Asia,Southeast Asia,2016-12,59445
Mexico,America,,2016-12,51
Indonesia,Asia,Southeast Asia,2016-12,4924
Philippines,Asia,Southeast Asia,2016-12,10709
Thailand,Asia,Southeast Asia,2016-12,22671
"Others, Europe",Europe,,2016-12,1750
Vietnam,Asia,Southeast Asia,2016-12,8111
"Others, Southeast Asia",Asia,Southeast Asia,2016-12,1356
"Others, Asia",Asia,,2016-12,249
Canada,America,,2016-12,5062
United States of America,America,,2016-12,19353
Argentina,America,,2016-12,19
"Korea,Republic of",Asia,,2016-12,79807
Australia,Oceania,,2016-12,5693
Netherlands,Europe,,2016-12,939
"Others, Oceania",Oceania,,2016-12,41
S. Africa,Africa,,2016-12,117
"Others, Africa",Africa,,2016-12,49
Unstated,,,2016-12,48
New Zealand,Oceania,,2016-12,914
"Others, America",America,,2017-01,188
Argentina,America,,2017-01,53
Brazil,America,,2017-01,136
Mexico,America,,2017-01,77
United States of America,America,,2017-01,14462
Canada,America,,2017-01,4702
Vietnam,Asia,Southeast Asia,2017-01,6767
"Others, Southeast Asia",Asia,Southeast Asia,2017-01,474
Belgium,Europe,,2017-01,192
Philippines,Asia,Southeast Asia,2017-01,5088
Indonesia,Asia,Southeast Asia,2017-01,2597
Singapore,Asia,Southeast Asia,2017-01,16814
Malaysia,Asia,Southeast Asia,2017-01,19067
"Others, Asia",Asia,,2017-01,203
France,Europe,,2017-01,1060
Italy,Europe,,2017-01,371
Middle East,Asia,,2017-01,520
Unstated,,,2017-01,16
"Others, Africa",Africa,,2017-01,51
S. Africa,Africa,,2017-01,89
"Others, Oceania",Oceania,,2017-01,152
New Zealand,Oceania,,2017-01,744
Australia,Oceania,,2017-01,4660
Germany,Europe,,2017-01,1943
"Others, Europe",Europe,,2017-01,1661
Greece,Europe,,2017-01,18
Austria,Europe,,2017-01,203
United Kingdom,Europe,,2017-01,2308
Spain,Europe,,2017-01,326
Switzerland,Europe,,2017-01,335
Netherlands,Europe,,2017-01,796
Sweden,Europe,,2017-01,264
India,Asia,,2017-01,269
Thailand,Asia,Southeast Asia,2017-01,11260
Japan,Asia,,2017-01,97761
"Korea,Republic of",Asia,,2017-01,98852
Russian Federation,Europe,,2017-01,146
Mainland China,Asia,,2017-01,204534
HongKong. Macao,Asia,,2017-01,95905
Philippines,Asia,Southeast Asia,2017-02,6236
Australia,Oceania,,2017-02,2864
New Zealand,Oceania,,2017-02,322
"Others, Oceania",Oceania,,2017-02,125
S. Africa,Africa,,2017-02,59
"Others, Africa",Africa,,2017-02,39
Unstated,,,2017-02,9
Indonesia,Asia,Southeast Asia,2017-02,2644
Singapore,Asia,Southeast Asia,2017-02,18312
Malaysia,Asia,Southeast Asia,2017-02,23589
Middle East,Asia,,2017-02,310
India,Asia,,2017-02,247
"Korea,Republic of",Asia,,2017-02,81497
Japan,Asia,,2017-02,114082
Mainland China,Asia,,2017-02,144512
HongKong. Macao,Asia,,2017-02,81553
Sweden,Europe,,2017-02,208
Greece,Europe,,2017-02,22
"Others, Europe",Europe,,2017-02,1259
United Kingdom,Europe,,2017-02,1706
Thailand,Asia,Southeast Asia,2017-02,14598
Vietnam,Asia,Southeast Asia,2017-02,6229
"Others, Southeast Asia",Asia,Southeast Asia,2017-02,457
"Others, Asia",Asia,,2017-02,110
Austria,Europe,,2017-02,160
United States of America,America,,2017-02,11949
Mexico,America,,2017-02,70
Brazil,America,,2017-02,62
Canada,America,,2017-02,3746
"Others, America",America,,2017-02,188
Argentina,America,,2017-02,27
Spain,Europe,,2017-02,219
Switzerland,Europe,,2017-02,282
Netherlands,Europe,,2017-02,642
Russian Federation,Europe,,2017-02,95
Germany,Europe,,2017-02,1649
France,Europe,,2017-02,1096
Belgium,Europe,,2017-02,144
Italy,Europe,,2017-02,287
HongKong. Macao,Asia,,2017-03,107785
Mainland China,Asia,,2017-03,154203
Japan,Asia,,2017-03,158219
"Korea,Republic of",Asia,,2017-03,72344
India,Asia,,2017-03,399
Middle East,Asia,,2017-03,582
S. Africa,Africa,,2017-03,95
"Others, Africa",Africa,,2017-03,53
"Others, Asia",Asia,,2017-03,181
Indonesia,Asia,Southeast Asia,2017-03,3222
Philippines,Asia,Southeast Asia,2017-03,12337
Thailand,Asia,Southeast Asia,2017-03,22719
Vietnam,Asia,Southeast Asia,2017-03,16000
"Others, Southeast Asia",Asia,Southeast Asia,2017-03,569
Canada,America,,2017-03,5965
United States of America,America,,2017-03,18301
Mexico,America,,2017-03,124
Brazil,America,,2017-03,126
Malaysia,Asia,Southeast Asia,2017-03,46144
"Others, America",America,,2017-03,220
Belgium,Europe,,2017-03,312
France,Europe,,2017-03,1212
Germany,Europe,,2017-03,2828
Argentina,America,,2017-03,32
Netherlands,Europe,,2017-03,878
Unstated,,,2017-03,26
"Others, Oceania",Oceania,,2017-03,103
Italy,Europe,,2017-03,356
Australia,Oceania,,2017-03,3657
"Others, Europe",Europe,,2017-03,1475
Russian Federation,Europe,,2017-03,162
New Zealand,Oceania,,2017-03,354
Greece,Europe,,2017-03,39
Austria,Europe,,2017-03,363
United Kingdom,Europe,,2017-03,2434
Spain,Europe,,2017-03,322
Switzerland,Europe,,2017-03,441
Sweden,Europe,,2017-03,311
Singapore,Asia,Southeast Asia,2017-03,32683
Singapore,Asia,Southeast Asia,2017-04,25712
Malaysia,Asia,Southeast Asia,2017-04,34460
Germany,Europe,,2017-04,2456
Middle East,Asia,,2017-04,535
India,Asia,,2017-04,501
"Korea,Republic of",Asia,,2017-04,69907
Japan,Asia,,2017-04,90820
Mainland China,Asia,,2017-04,166243
France,Europe,,2017-04,1552
Greece,Europe,,2017-04,49
Austria,Europe,,2017-04,298
United Kingdom,Europe,,2017-04,2481
Spain,Europe,,2017-04,415
Switzerland,Europe,,2017-04,477
Netherlands,Europe,,2017-04,1074
Italy,Europe,,2017-04,380
Indonesia,Asia,Southeast Asia,2017-04,3834
HongKong. Macao,Asia,,2017-04,173262
Philippines,Asia,Southeast Asia,2017-04,15016
New Zealand,Oceania,,2017-04,544
