Residence,Region,Sub-Region,Period,Conference
Austria,Europe,,2011-11,33
United Kingdom,Europe,,2011-11,212
Spain,Europe,,2011-11,38
Switzerland,Europe,,2011-11,29
Netherlands,Europe,,2011-11,47
Italy,Europe,,2011-11,49
Greece,Europe,,2011-11,3
Mexico,America,,2011-12,2
Philippines,Asia,Southeast Asia,2011-12,85
Brazil,America,,2011-12,9
United States of America,America,,2011-12,455
Canada,America,,2011-12,57
"Others, Asia",Asia,,2011-12,33
"Others, Southeast Asia",Asia,Southeast Asia,2011-12,104
Thailand,Asia,Southeast Asia,2011-12,91
Indonesia,Asia,Southeast Asia,2011-12,127
Greece,Europe,,2011-12,1
Malaysia,Asia,Southeast Asia,2011-12,307
Middle East,Asia,,2011-12,36
India,Asia,,2011-12,92
"Korea,Republic of",Asia,,2011-12,407
Japan,Asia,,2011-12,893
HongKong. Macao,Asia,,2011-12,479
Argentina,America,,2011-12,7
Mainland China,Asia,,2011-12,1759
Singapore,Asia,Southeast Asia,2011-12,222
"Others, America",America,,2011-12,19
Sweden,Europe,,2011-12,11
France,Europe,,2011-12,59
Unstated,,,2011-12,0
Belgium,Europe,,2011-12,7
S. Africa,Africa,,2011-12,7
"Others, Oceania",Oceania,,2011-12,3
New Zealand,Oceania,,2011-12,16
Australia,Oceania,,2011-12,101
"Others, Europe",Europe,,2011-12,73
Russian Federation,Europe,,2011-12,24
"Others, Africa",Africa,,2011-12,7
Austria,Europe,,2011-12,8
United Kingdom,Europe,,2011-12,82
Spain,Europe,,2011-12,14
Switzerland,Europe,,2011-12,9
Netherlands,Europe,,2011-12,21
Italy,Europe,,2011-12,38
Germany,Europe,,2011-12,66
S. Africa,Africa,,2012-01,4
Canada,America,,2012-01,40
"Others, Asia",Asia,,2012-01,6
"Others, Southeast Asia",Asia,Southeast Asia,2012-01,10
Vietnam,Asia,Southeast Asia,2012-01,33
Thailand,Asia,Southeast Asia,2012-01,48
Philippines,Asia,Southeast Asia,2012-01,211
Indonesia,Asia,Southeast Asia,2012-01,103
Singapore,Asia,Southeast Asia,2012-01,173
"Korea,Republic of",Asia,,2012-01,205
Middle East,Asia,,2012-01,3
India,Asia,,2012-01,45
United States of America,America,,2012-01,320
Japan,Asia,,2012-01,408
Mainland China,Asia,,2012-01,975
HongKong. Macao,Asia,,2012-01,307
"Others, Africa",Africa,,2012-01,11
Unstated,,,2012-01,0
Malaysia,Asia,Southeast Asia,2012-01,171
Mexico,America,,2012-01,3
"Others, Oceania",Oceania,,2012-01,3
Argentina,America,,2012-01,0
Austria,Europe,,2012-01,3
Greece,Europe,,2012-01,0
Sweden,Europe,,2012-01,5
Russian Federation,Europe,,2012-01,20
"Others, Europe",Europe,,2012-01,15
Australia,Oceania,,2012-01,68
Brazil,America,,2012-01,6
United Kingdom,Europe,,2012-01,26
Spain,Europe,,2012-01,5
"Others, America",America,,2012-01,24
Belgium,Europe,,2012-01,4
France,Europe,,2012-01,34
Germany,Europe,,2012-01,33
Italy,Europe,,2012-01,8
Netherlands,Europe,,2012-01,4
Switzerland,Europe,,2012-01,7
New Zealand,Oceania,,2012-01,11
Mainland China,Asia,,2012-02,191
France,Europe,,2012-02,53
Germany,Europe,,2012-02,71
Italy,Europe,,2012-02,35
United Kingdom,Europe,,2012-02,77
Switzerland,Europe,,2012-02,16
Spain,Europe,,2012-02,19
Belgium,Europe,,2012-02,14
Netherlands,Europe,,2012-02,20
"Others, America",America,,2012-02,7
Argentina,America,,2012-02,1
Brazil,America,,2012-02,10
Japan,Asia,,2012-02,780
"Korea,Republic of",Asia,,2012-02,393
India,Asia,,2012-02,181
Middle East,Asia,,2012-02,172
Malaysia,Asia,Southeast Asia,2012-02,356
Singapore,Asia,Southeast Asia,2012-02,323
HongKong. Macao,Asia,,2012-02,624
Indonesia,Asia,Southeast Asia,2012-02,162
Thailand,Asia,Southeast Asia,2012-02,131
Vietnam,Asia,Southeast Asia,2012-02,179
"Others, Southeast Asia",Asia,Southeast Asia,2012-02,9
Canada,America,,2012-02,46
United States of America,America,,2012-02,417
Mexico,America,,2012-02,7
Philippines,Asia,Southeast Asia,2012-02,196
"Others, Asia",Asia,,2012-02,65
Austria,Europe,,2012-02,7
"Others, Europe",Europe,,2012-02,141
Sweden,Europe,,2012-02,1
Russian Federation,Europe,,2012-02,36
Australia,Oceania,,2012-02,160
New Zealand,Oceania,,2012-02,29
"Others, Oceania",Oceania,,2012-02,4
S. Africa,Africa,,2012-02,5
"Others, Africa",Africa,,2012-02,42
Unstated,,,2012-02,0
Greece,Europe,,2012-02,16
Switzerland,Europe,,2012-03,20
Netherlands,Europe,,2012-03,24
Germany,Europe,,2012-03,91
France,Europe,,2012-03,76
Belgium,Europe,,2012-03,15
"Others, America",America,,2012-03,36
Argentina,America,,2012-03,3
Brazil,America,,2012-03,14
Mexico,America,,2012-03,8
United States of America,America,,2012-03,544
Canada,America,,2012-03,78
Italy,Europe,,2012-03,28
Spain,Europe,,2012-03,14
Thailand,Asia,Southeast Asia,2012-03,315
"Others, Asia",Asia,,2012-03,32
Austria,Europe,,2012-03,10
Greece,Europe,,2012-03,5
Sweden,Europe,,2012-03,18
Russian Federation,Europe,,2012-03,22
"Others, Europe",Europe,,2012-03,101
Vietnam,Asia,Southeast Asia,2012-03,87
New Zealand,Oceania,,2012-03,25
"Others, Oceania",Oceania,,2012-03,4
S. Africa,Africa,,2012-03,19
"Others, Africa",Africa,,2012-03,14
