Residence,Region,Sub-Region,Period,Conference
Germany,Europe,,2015-10,211
Spain,Europe,,2015-10,52
Brazil,America,,2015-10,21
Mexico,America,,2015-10,38
Argentina,America,,2015-10,1
"Others, America",America,,2015-10,47
Belgium,Europe,,2015-10,27
France,Europe,,2015-10,194
United States of America,America,,2015-10,887
"Others, Asia",Asia,,2015-10,97
Canada,America,,2015-10,134
Malaysia,Asia,Southeast Asia,2015-11,542
S. Africa,Africa,,2015-11,19
"Others, Southeast Asia",Asia,Southeast Asia,2015-11,50
"Others, Oceania",Oceania,,2015-11,6
HongKong. Macao,Asia,,2015-11,1093
Vietnam,Asia,Southeast Asia,2015-11,163
Mainland China,Asia,,2015-11,93
Middle East,Asia,,2015-11,127
Japan,Asia,,2015-11,1255
Australia,Oceania,,2015-11,272
New Zealand,Oceania,,2015-11,39
Philippines,Asia,Southeast Asia,2015-11,376
"Korea,Republic of",Asia,,2015-11,723
India,Asia,,2015-11,330
Singapore,Asia,Southeast Asia,2015-11,571
Thailand,Asia,Southeast Asia,2015-11,270
Indonesia,Asia,Southeast Asia,2015-11,276
France,Europe,,2015-11,115
Sweden,Europe,,2015-11,19
Belgium,Europe,,2015-11,32
"Others, America",America,,2015-11,54
Argentina,America,,2015-11,6
Brazil,America,,2015-11,14
Mexico,America,,2015-11,16
United States of America,America,,2015-11,698
Canada,America,,2015-11,103
Germany,Europe,,2015-11,129
"Others, Asia",Asia,,2015-11,100
Netherlands,Europe,,2015-11,49
Switzerland,Europe,,2015-11,16
Spain,Europe,,2015-11,30
"Others, Africa",Africa,,2015-11,46
United Kingdom,Europe,,2015-11,149
Austria,Europe,,2015-11,18
Greece,Europe,,2015-11,2
Italy,Europe,,2015-11,44
Unstated,,,2015-11,3
"Others, Europe",Europe,,2015-11,148
Russian Federation,Europe,,2015-11,56
Mainland China,Asia,,2015-12,62
Canada,America,,2015-12,47
United States of America,America,,2015-12,399
Mexico,America,,2015-12,1
Brazil,America,,2015-12,1
Argentina,America,,2015-12,2
"Others, America",America,,2015-12,7
France,Europe,,2015-12,56
Germany,Europe,,2015-12,56
Italy,Europe,,2015-12,29
Netherlands,Europe,,2015-12,7
Switzerland,Europe,,2015-12,13
Spain,Europe,,2015-12,14
United Kingdom,Europe,,2015-12,65
Austria,Europe,,2015-12,5
Greece,Europe,,2015-12,2
"Others, Asia",Asia,,2015-12,64
HongKong. Macao,Asia,,2015-12,570
"Others, Southeast Asia",Asia,Southeast Asia,2015-12,16
"Others, Africa",Africa,,2015-12,5
Japan,Asia,,2015-12,890
Sweden,Europe,,2015-12,3
Russian Federation,Europe,,2015-12,27
"Others, Europe",Europe,,2015-12,56
"Korea,Republic of",Asia,,2015-12,536
India,Asia,,2015-12,136
Middle East,Asia,,2015-12,28
Unstated,,,2015-12,0
Malaysia,Asia,Southeast Asia,2015-12,379
Indonesia,Asia,Southeast Asia,2015-12,116
Philippines,Asia,Southeast Asia,2015-12,211
Vietnam,Asia,Southeast Asia,2015-12,118
Australia,Oceania,,2015-12,123
New Zealand,Oceania,,2015-12,30
"Others, Oceania",Oceania,,2015-12,5
S. Africa,Africa,,2015-12,5
Singapore,Asia,Southeast Asia,2015-12,292
Thailand,Asia,Southeast Asia,2015-12,139
Belgium,Europe,,2015-12,9
"Others, America",America,,2016-01,15
Canada,America,,2016-01,39
United States of America,America,,2016-01,314
Mexico,America,,2016-01,10
Brazil,America,,2016-01,0
Argentina,America,,2016-01,1
Belgium,Europe,,2016-01,6
France,Europe,,2016-01,34
Germany,Europe,,2016-01,50
Italy,Europe,,2016-01,22
Netherlands,Europe,,2016-01,14
Switzerland,Europe,,2016-01,14
Spain,Europe,,2016-01,10
United Kingdom,Europe,,2016-01,61
Austria,Europe,,2016-01,5
Greece,Europe,,2016-01,4
Sweden,Europe,,2016-01,9
Russian Federation,Europe,,2016-01,15
"Others, Europe",Europe,,2016-01,48
Australia,Oceania,,2016-01,123
New Zealand,Oceania,,2016-01,15
"Others, Oceania",Oceania,,2016-01,3
S. Africa,Africa,,2016-01,1
Unstated,,,2016-01,0
"Others, Asia",Asia,,2016-01,52
"Others, Southeast Asia",Asia,Southeast Asia,2016-01,12
"Others, Africa",Africa,,2016-01,9
Thailand,Asia,Southeast Asia,2016-01,117
Vietnam,Asia,Southeast Asia,2016-01,24
HongKong. Macao,Asia,,2016-01,799
Mainland China,Asia,,2016-01,52
"Korea,Republic of",Asia,,2016-01,378
India,Asia,,2016-01,92
Japan,Asia,,2016-01,737
Middle East,Asia,,2016-01,27
Malaysia,Asia,Southeast Asia,2016-01,302
Singapore,Asia,Southeast Asia,2016-01,328
Indonesia,Asia,Southeast Asia,2016-01,126
Philippines,Asia,Southeast Asia,2016-01,129
United Kingdom,Europe,,2016-02,48
France,Europe,,2016-02,37
Germany,Europe,,2016-02,43
Netherlands,Europe,,2016-02,24
Switzerland,Europe,,2016-02,4
Spain,Europe,,2016-02,10
Belgium,Europe,,2016-02,10
Austria,Europe,,2016-02,6
New Zealand,Oceania,,2016-02,13
Unstated,,,2016-02,0
"Others, Africa",Africa,,2016-02,2
S. Africa,Africa,,2016-02,0
"Others, Oceania",Oceania,,2016-02,0
"Others, America",America,,2016-02,9
Australia,Oceania,,2016-02,58
"Others, Europe",Europe,,2016-02,32
Russian Federation,Europe,,2016-02,3
Sweden,Europe,,2016-02,5
Greece,Europe,,2016-02,0
Argentina,America,,2016-02,0
Italy,Europe,,2016-02,19
Mexico,America,,2016-02,1
Vietnam,Asia,Southeast Asia,2016-02,26
Thailand,Asia,Southeast Asia,2016-02,115
Philippines,Asia,Southeast Asia,2016-02,131
Indonesia,Asia,Southeast Asia,2016-02,26
Singapore,Asia,Southeast Asia,2016-02,170
Malaysia,Asia,Southeast Asia,2016-02,99
Brazil,America,,2016-02,7
India,Asia,,2016-02,53
Middle East,Asia,,2016-02,13
Canada,America,,2016-02,28
"Korea,Republic of",Asia,,2016-02,167
"Others, Asia",Asia,,2016-02,10
"Others, Southeast Asia",Asia,Southeast Asia,2016-02,9
HongKong. Macao,Asia,,2016-02,302
Mainland China,Asia,,2016-02,39
Japan,Asia,,2016-02,459
United States of America,America,,2016-02,223
Mainland China,Asia,,2016-03,97
"Others, Southeast Asia",Asia,Southeast Asia,2016-03,81
"Others, Asia",Asia,,2016-03,254
United States of America,America,,2016-03,724
Mexico,America,,2016-03,8
Brazil,America,,2016-03,10
Argentina,America,,2016-03,3
"Others, America",America,,2016-03,42
Belgium,Europe,,2016-03,26
France,Europe,,2016-03,158
Canada,America,,2016-03,100
Vietnam,Asia,Southeast Asia,2016-03,211
HongKong. Macao,Asia,,2016-03,797
Germany,Europe,,2016-03,138
Thailand,Asia,Southeast Asia,2016-03,306
Philippines,Asia,Southeast Asia,2016-03,511
Indonesia,Asia,Southeast Asia,2016-03,316
Singapore,Asia,Southeast Asia,2016-03,540
Malaysia,Asia,Southeast Asia,2016-03,455
Middle East,Asia,,2016-03,68
India,Asia,,2016-03,466
"Korea,Republic of",Asia,,2016-03,536
Japan,Asia,,2016-03,1109
Unstated,,,2016-03,3
Italy,Europe,,2016-03,65
"Others, Africa",Africa,,2016-03,32
Switzerland,Europe,,2016-03,25
"Others, Oceania",Oceania,,2016-03,9
New Zealand,Oceania,,2016-03,34
Australia,Oceania,,2016-03,232
"Others, Europe",Europe,,2016-03,119
Russian Federation,Europe,,2016-03,22
Sweden,Europe,,2016-03,22
Greece,Europe,,2016-03,5
S. Africa,Africa,,2016-03,10
Netherlands,Europe,,2016-03,42
Austria,Europe,,2016-03,10
United Kingdom,Europe,,2016-03,143
Spain,Europe,,2016-03,32
France,Europe,,2016-04,70
Germany,Europe,,2016-04,69
Italy,Europe,,2016-04,43
Netherlands,Europe,,2016-04,19
Switzerland,Europe,,2016-04,13
Spain,Europe,,2016-04,16
United Kingdom,Europe,,2016-04,59
Austria,Europe,,2016-04,7
New Zealand,Oceania,,2016-04,8
Australia,Oceania,,2016-04,157
Russian Federation,Europe,,2016-04,17
"Others, Europe",Europe,,2016-04,38
Mainland China,Asia,,2016-04,37
Belgium,Europe,,2016-04,8
S. Africa,Africa,,2016-04,4
"Others, Oceania",Oceania,,2016-04,8
Greece,Europe,,2016-04,4
Sweden,Europe,,2016-04,8
United States of America,America,,2016-04,416
Argentina,America,,2016-04,2
Japan,Asia,,2016-04,609
"Korea,Republic of",Asia,,2016-04,308
India,Asia,,2016-04,80
Middle East,Asia,,2016-04,36
Malaysia,Asia,Southeast Asia,2016-04,354
Singapore,Asia,Southeast Asia,2016-04,290
Indonesia,Asia,Southeast Asia,2016-04,88
"Others, America",America,,2016-04,40
Philippines,Asia,Southeast Asia,2016-04,173
Vietnam,Asia,Southeast Asia,2016-04,63
"Others, Southeast Asia",Asia,Southeast Asia,2016-04,21
"Others, Asia",Asia,,2016-04,25
Canada,America,,2016-04,51
"Others, Africa",Africa,,2016-04,34
Mexico,America,,2016-04,8
Brazil,America,,2016-04,5
Thailand,Asia,Southeast Asia,2016-04,135
Unstated,,,2016-04,0
HongKong. Macao,Asia,,2016-04,595
France,Europe,,2016-05,79
Belgium,Europe,,2016-05,10
Germany,Europe,,2016-05,127
Italy,Europe,,2016-05,70
Netherlands,Europe,,2016-05,28
Switzerland,Europe,,2016-05,16
Spain,Europe,,2016-05,24
United Kingdom,Europe,,2016-05,97
Austria,Europe,,2016-05,17
Greece,Europe,,2016-05,5
Sweden,Europe,,2016-05,11
Russian Federation,Europe,,2016-05,33
"Others, Europe",Europe,,2016-05,109
Australia,Oceania,,2016-05,175
New Zealand,Oceania,,2016-05,30
"Others, Oceania",Oceania,,2016-05,12
S. Africa,Africa,,2016-05,8
"Others, Africa",Africa,,2016-05,35
"Others, America",America,,2016-05,43
Unstated,,,2016-05,0
Argentina,America,,2016-05,1
Indonesia,Asia,Southeast Asia,2016-05,135
"Korea,Republic of",Asia,,2016-05,432
India,Asia,,2016-05,197
Middle East,Asia,,2016-05,61
Malaysia,Asia,Southeast Asia,2016-05,328
Singapore,Asia,Southeast Asia,2016-05,341
Brazil,America,,2016-05,12
Philippines,Asia,Southeast Asia,2016-05,242
Thailand,Asia,Southeast Asia,2016-05,180
Vietnam,Asia,Southeast Asia,2016-05,121
"Others, Southeast Asia",Asia,Southeast Asia,2016-05,39
"Others, Asia",Asia,,2016-05,108
Canada,America,,2016-05,85
HongKong. Macao,Asia,,2016-05,680
United States of America,America,,2016-05,613
Mexico,America,,2016-05,10
Japan,Asia,,2016-05,998
Mainland China,Asia,,2016-05,93
"Others, Southeast Asia",Asia,Southeast Asia,2016-06,29
"Others, Asia",Asia,,2016-06,82
Vietnam,Asia,Southeast Asia,2016-06,93
Middle East,Asia,,2016-06,49
Malaysia,Asia,Southeast Asia,2016-06,344
Indonesia,Asia,Southeast Asia,2016-06,183
Canada,America,,2016-06,71
Mainland China,Asia,,2016-06,53
HongKong. Macao,Asia,,2016-06,723
Philippines,Asia,Southeast Asia,2016-06,290
United States of America,America,,2016-06,559
Thailand,Asia,Southeast Asia,2016-06,205
Brazil,America,,2016-06,4
Singapore,Asia,Southeast Asia,2016-06,362
Mexico,America,,2016-06,4
Unstated,,,2016-06,1
"Others, Africa",Africa,,2016-06,15
S. Africa,Africa,,2016-06,10
"Others, Oceania",Oceania,,2016-06,8
New Zealand,Oceania,,2016-06,28
"Korea,Republic of",Asia,,2016-06,586
"Others, Europe",Europe,,2016-06,92
Russian Federation,Europe,,2016-06,32
Sweden,Europe,,2016-06,9
Japan,Asia,,2016-06,1010
India,Asia,,2016-06,141
Austria,Europe,,2016-06,7
Argentina,America,,2016-06,1
Greece,Europe,,2016-06,3
"Others, America",America,,2016-06,20
Belgium,Europe,,2016-06,16
France,Europe,,2016-06,61
Germany,Europe,,2016-06,89
Australia,Oceania,,2016-06,159
Netherlands,Europe,,2016-06,22
United Kingdom,Europe,,2016-06,63
Spain,Europe,,2016-06,24
Switzerland,Europe,,2016-06,23
Italy,Europe,,2016-06,37
"Others, America",America,,2016-07,33
Argentina,America,,2016-07,3
Brazil,America,,2016-07,14
Mexico,America,,2016-07,5
United States of America,America,,2016-07,416
Canada,America,,2016-07,69
"Others, Asia",Asia,,2016-07,59
Vietnam,Asia,Southeast Asia,2016-07,84
Thailand,Asia,Southeast Asia,2016-07,218
Philippines,Asia,Southeast Asia,2016-07,251
Indonesia,Asia,Southeast Asia,2016-07,80
Singapore,Asia,Southeast Asia,2016-07,393
Malaysia,Asia,Southeast Asia,2016-07,375
Middle East,Asia,,2016-07,47
"Others, Southeast Asia",Asia,Southeast Asia,2016-07,18
Belgium,Europe,,2016-07,16
Germany,Europe,,2016-07,60
Italy,Europe,,2016-07,25
"Others, Europe",Europe,,2016-07,71
Russian Federation,Europe,,2016-07,26
Australia,Oceania,,2016-07,152
New Zealand,Oceania,,2016-07,33
"Others, Oceania",Oceania,,2016-07,5
S. Africa,Africa,,2016-07,13
France,Europe,,2016-07,69
"Others, Africa",Africa,,2016-07,24
Sweden,Europe,,2016-07,8
Greece,Europe,,2016-07,2
Austria,Europe,,2016-07,2
United Kingdom,Europe,,2016-07,75
Spain,Europe,,2016-07,18
Netherlands,Europe,,2016-07,23
HongKong. Macao,Asia,,2016-07,572
Switzerland,Europe,,2016-07,13
"Korea,Republic of",Asia,,2016-07,360
Unstated,,,2016-07,0
India,Asia,,2016-07,127
Japan,Asia,,2016-07,684
Mainland China,Asia,,2016-07,42
Vietnam,Asia,Southeast Asia,2016-08,74
"Korea,Republic of",Asia,,2016-08,469
India,Asia,,2016-08,128
Middle East,Asia,,2016-08,47
Malaysia,Asia,Southeast Asia,2016-08,364
Singapore,Asia,Southeast Asia,2016-08,367
Indonesia,Asia,Southeast Asia,2016-08,126
Philippines,Asia,Southeast Asia,2016-08,170
HongKong. Macao,Asia,,2016-08,794
Mainland China,Asia,,2016-08,47
Brazil,America,,2016-08,6
Mexico,America,,2016-08,3
United States of America,America,,2016-08,432
Canada,America,,2016-08,95
"Others, Asia",Asia,,2016-08,65
"Others, Southeast Asia",Asia,Southeast Asia,2016-08,27
Thailand,Asia,Southeast Asia,2016-08,160
Argentina,America,,2016-08,0
Japan,Asia,,2016-08,771
Austria,Europe,,2016-08,5
"Others, Oceania",Oceania,,2016-08,8
S. Africa,Africa,,2016-08,19
"Others, Africa",Africa,,2016-08,34
"Others, America",America,,2016-08,42
"Others, Europe",Europe,,2016-08,53
Russian Federation,Europe,,2016-08,20
Sweden,Europe,,2016-08,9
Greece,Europe,,2016-08,1
New Zealand,Oceania,,2016-08,19
Australia,Oceania,,2016-08,154
Spain,Europe,,2016-08,7
Switzerland,Europe,,2016-08,11
Netherlands,Europe,,2016-08,9
Italy,Europe,,2016-08,21
Germany,Europe,,2016-08,64
France,Europe,,2016-08,37
Belgium,Europe,,2016-08,6
Unstated,,,2016-08,0
United Kingdom,Europe,,2016-08,74
Austria,Europe,,2016-09,7
United Kingdom,Europe,,2016-09,114
Unstated,,,2016-09,1
"Others, Oceania",Oceania,,2016-09,18
Sweden,Europe,,2016-09,41
Russian Federation,Europe,,2016-09,23
"Others, Europe",Europe,,2016-09,94
Australia,Oceania,,2016-09,184
New Zealand,Oceania,,2016-09,26
S. Africa,Africa,,2016-09,10
"Others, Africa",Africa,,2016-09,13
Greece,Europe,,2016-09,4
Belgium,Europe,,2016-09,18
France,Europe,,2016-09,96
Canada,America,,2016-09,78
Singapore,Asia,Southeast Asia,2016-09,391
Indonesia,Asia,Southeast Asia,2016-09,174
Philippines,Asia,Southeast Asia,2016-09,270
Thailand,Asia,Southeast Asia,2016-09,172
Vietnam,Asia,Southeast Asia,2016-09,104
"Others, Southeast Asia",Asia,Southeast Asia,2016-09,37
"Others, Asia",Asia,,2016-09,68
HongKong. Macao,Asia,,2016-09,549
United States of America,America,,2016-09,546
Mexico,America,,2016-09,6
Malaysia,Asia,Southeast Asia,2016-09,486
Brazil,America,,2016-09,6
"Others, America",America,,2016-09,32
Spain,Europe,,2016-09,27
Switzerland,Europe,,2016-09,30
Netherlands,Europe,,2016-09,34
Italy,Europe,,2016-09,40
India,Asia,,2016-09,146
Germany,Europe,,2016-09,135
"Korea,Republic of",Asia,,2016-09,453
Japan,Asia,,2016-09,966
Mainland China,Asia,,2016-09,60
Argentina,America,,2016-09,6
Middle East,Asia,,2016-09,40
Argentina,America,,2016-10,12
Sweden,Europe,,2016-10,34
Russian Federation,Europe,,2016-10,36
"Others, Europe",Europe,,2016-10,174
Unstated,,,2016-10,2
HongKong. Macao,Asia,,2016-10,735
Mainland China,Asia,,2016-10,52
Japan,Asia,,2016-10,892
"Others, America",America,,2016-10,64
Belgium,Europe,,2016-10,27
Mexico,America,,2016-10,15
Germany,Europe,,2016-10,111
Italy,Europe,,2016-10,52
United States of America,America,,2016-10,796
Netherlands,Europe,,2016-10,38
Switzerland,Europe,,2016-10,31
Spain,Europe,,2016-10,26
United Kingdom,Europe,,2016-10,123
Austria,Europe,,2016-10,11
Greece,Europe,,2016-10,10
"Others, Africa",Africa,,2016-10,42
Canada,America,,2016-10,109
"Others, Asia",Asia,,2016-10,99
"Others, Southeast Asia",Asia,Southeast Asia,2016-10,48
Vietnam,Asia,Southeast Asia,2016-10,137
Thailand,Asia,Southeast Asia,2016-10,239
Philippines,Asia,Southeast Asia,2016-10,464
Indonesia,Asia,Southeast Asia,2016-10,211
S. Africa,Africa,,2016-10,25
"Others, Oceania",Oceania,,2016-10,25
New Zealand,Oceania,,2016-10,49
Australia,Oceania,,2016-10,224
Singapore,Asia,Southeast Asia,2016-10,454
Malaysia,Asia,Southeast Asia,2016-10,519
Middle East,Asia,,2016-10,100
India,Asia,,2016-10,253
"Korea,Republic of",Asia,,2016-10,581
Brazil,America,,2016-10,24
France,Europe,,2016-10,116
Indonesia,Asia,Southeast Asia,2016-11,372
"Others, Africa",Africa,,2016-11,77
Japan,Asia,,2016-11,1431
"Korea,Republic of",Asia,,2016-11,918
India,Asia,,2016-11,333
Malaysia,Asia,Southeast Asia,2016-11,629
Singapore,Asia,Southeast Asia,2016-11,536
Philippines,Asia,Southeast Asia,2016-11,410
Thailand,Asia,Southeast Asia,2016-11,372
Vietnam,Asia,Southeast Asia,2016-11,271
"Others, Southeast Asia",Asia,Southeast Asia,2016-11,71
"Others, Asia",Asia,,2016-11,146
Canada,America,,2016-11,141
Mainland China,Asia,,2016-11,84
United States of America,America,,2016-11,982
Brazil,America,,2016-11,20
Argentina,America,,2016-11,4
"Others, America",America,,2016-11,38
Belgium,Europe,,2016-11,29
France,Europe,,2016-11,124
Germany,Europe,,2016-11,156
Italy,Europe,,2016-11,89
Netherlands,Europe,,2016-11,48
Switzerland,Europe,,2016-11,19
Spain,Europe,,2016-11,46
Unstated,,,2016-11,1
Mexico,America,,2016-11,18
HongKong. Macao,Asia,,2016-11,932
Middle East,Asia,,2016-11,94
Greece,Europe,,2016-11,8
S. Africa,Africa,,2016-11,21
"Others, Oceania",Oceania,,2016-11,12
New Zealand,Oceania,,2016-11,49
Australia,Oceania,,2016-11,348
"Others, Europe",Europe,,2016-11,222
United Kingdom,Europe,,2016-11,170
Austria,Europe,,2016-11,17
Russian Federation,Europe,,2016-11,73
Sweden,Europe,,2016-11,27
"Others, America",America,,2016-12,8
Belgium,Europe,,2016-12,12
France,Europe,,2016-12,50
Germany,Europe,,2016-12,55
Brazil,America,,2016-12,5
Italy,Europe,,2016-12,18
HongKong. Macao,Asia,,2016-12,593
Switzerland,Europe,,2016-12,9
Spain,Europe,,2016-12,17
United Kingdom,Europe,,2016-12,55
Austria,Europe,,2016-12,5
Greece,Europe,,2016-12,1
Sweden,Europe,,2016-12,0
Russian Federation,Europe,,2016-12,14
Mainland China,Asia,,2016-12,48
Japan,Asia,,2016-12,906
Singapore,Asia,Southeast Asia,2016-12,300
India,Asia,,2016-12,116
Middle East,Asia,,2016-12,44
Malaysia,Asia,Southeast Asia,2016-12,314
Mexico,America,,2016-12,2
Indonesia,Asia,Southeast Asia,2016-12,182
Philippines,Asia,Southeast Asia,2016-12,197
Thailand,Asia,Southeast Asia,2016-12,271
"Others, Europe",Europe,,2016-12,57
Vietnam,Asia,Southeast Asia,2016-12,113
"Others, Southeast Asia",Asia,Southeast Asia,2016-12,26
"Others, Asia",Asia,,2016-12,101
Canada,America,,2016-12,47
United States of America,America,,2016-12,413
Argentina,America,,2016-12,0
"Korea,Republic of",Asia,,2016-12,539
Australia,Oceania,,2016-12,125
Netherlands,Europe,,2016-12,14
"Others, Oceania",Oceania,,2016-12,5
S. Africa,Africa,,2016-12,4
"Others, Africa",Africa,,2016-12,8
Unstated,,,2016-12,1
New Zealand,Oceania,,2016-12,13
"Others, America",America,,2017-01,2
Argentina,America,,2017-01,1
Brazil,America,,2017-01,4
Mexico,America,,2017-01,3
United States of America,America,,2017-01,231
Canada,America,,2017-01,37
Vietnam,Asia,Southeast Asia,2017-01,67
"Others, Southeast Asia",Asia,Southeast Asia,2017-01,3
Belgium,Europe,,2017-01,7
Philippines,Asia,Southeast Asia,2017-01,78
Indonesia,Asia,Southeast Asia,2017-01,63
Singapore,Asia,Southeast Asia,2017-01,228
Malaysia,Asia,Southeast Asia,2017-01,171
"Others, Asia",Asia,,2017-01,18
France,Europe,,2017-01,34
Italy,Europe,,2017-01,12
Middle East,Asia,,2017-01,36
Unstated,,,2017-01,0
"Others, Africa",Africa,,2017-01,5
S. Africa,Africa,,2017-01,0
"Others, Oceania",Oceania,,2017-01,1
New Zealand,Oceania,,2017-01,8
Australia,Oceania,,2017-01,56
Germany,Europe,,2017-01,29
"Others, Europe",Europe,,2017-01,21
Greece,Europe,,2017-01,0
Austria,Europe,,2017-01,4
United Kingdom,Europe,,2017-01,26
Spain,Europe,,2017-01,8
Switzerland,Europe,,2017-01,6
Netherlands,Europe,,2017-01,5
Sweden,Europe,,2017-01,8
India,Asia,,2017-01,66
Thailand,Asia,Southeast Asia,2017-01,126
Japan,Asia,,2017-01,484
"Korea,Republic of",Asia,,2017-01,267
Russian Federation,Europe,,2017-01,2
Mainland China,Asia,,2017-01,33
HongKong. Macao,Asia,,2017-01,488
Philippines,Asia,Southeast Asia,2017-02,133
Australia,Oceania,,2017-02,63
New Zealand,Oceania,,2017-02,15
"Others, Oceania",Oceania,,2017-02,0
S. Africa,Africa,,2017-02,1
"Others, Africa",Africa,,2017-02,1
Unstated,,,2017-02,0
Indonesia,Asia,Southeast Asia,2017-02,50
Singapore,Asia,Southeast Asia,2017-02,276
Malaysia,Asia,Southeast Asia,2017-02,305
Middle East,Asia,,2017-02,12
India,Asia,,2017-02,89
"Korea,Republic of",Asia,,2017-02,361
Japan,Asia,,2017-02,587
Mainland China,Asia,,2017-02,33
HongKong. Macao,Asia,,2017-02,368
Sweden,Europe,,2017-02,5
Greece,Europe,,2017-02,1
"Others, Europe",Europe,,2017-02,48
United Kingdom,Europe,,2017-02,69
Thailand,Asia,Southeast Asia,2017-02,147
Vietnam,Asia,Southeast Asia,2017-02,41
"Others, Southeast Asia",Asia,Southeast Asia,2017-02,21
"Others, Asia",Asia,,2017-02,16
Austria,Europe,,2017-02,6
United States of America,America,,2017-02,233
Mexico,America,,2017-02,5
Brazil,America,,2017-02,4
Canada,America,,2017-02,44
"Others, America",America,,2017-02,7
Argentina,America,,2017-02,1
Spain,Europe,,2017-02,6
Switzerland,Europe,,2017-02,10
Netherlands,Europe,,2017-02,3
Russian Federation,Europe,,2017-02,12
Germany,Europe,,2017-02,61
France,Europe,,2017-02,27
Belgium,Europe,,2017-02,4
Italy,Europe,,2017-02,23
HongKong. Macao,Asia,,2017-03,625
Mainland China,Asia,,2017-03,67
Japan,Asia,,2017-03,1065
"Korea,Republic of",Asia,,2017-03,483
India,Asia,,2017-03,149
Middle East,Asia,,2017-03,58
S. Africa,Africa,,2017-03,17
"Others, Africa",Africa,,2017-03,20
"Others, Asia",Asia,,2017-03,43
Indonesia,Asia,Southeast Asia,2017-03,170
Philippines,Asia,Southeast Asia,2017-03,351
Thailand,Asia,Southeast Asia,2017-03,300
Vietnam,Asia,Southeast Asia,2017-03,122
"Others, Southeast Asia",Asia,Southeast Asia,2017-03,31
Canada,America,,2017-03,101
United States of America,America,,2017-03,646
Mexico,America,,2017-03,33
Brazil,America,,2017-03,20
Malaysia,Asia,Southeast Asia,2017-03,524
"Others, America",America,,2017-03,34
Belgium,Europe,,2017-03,23
France,Europe,,2017-03,111
Germany,Europe,,2017-03,139
Argentina,America,,2017-03,3
Netherlands,Europe,,2017-03,47
Unstated,,,2017-03,1
"Others, Oceania",Oceania,,2017-03,4
Italy,Europe,,2017-03,65
Australia,Oceania,,2017-03,286
"Others, Europe",Europe,,2017-03,125
Russian Federation,Europe,,2017-03,52
New Zealand,Oceania,,2017-03,29
Greece,Europe,,2017-03,6
Austria,Europe,,2017-03,18
United Kingdom,Europe,,2017-03,113
Spain,Europe,,2017-03,40
Switzerland,Europe,,2017-03,25
Sweden,Europe,,2017-03,31
Singapore,Asia,Southeast Asia,2017-03,492
Singapore,Asia,Southeast Asia,2017-04,390
Malaysia,Asia,Southeast Asia,2017-04,365
Germany,Europe,,2017-04,66
Middle East,Asia,,2017-04,57
India,Asia,,2017-04,257
"Korea,Republic of",Asia,,2017-04,458
Japan,Asia,,2017-04,692
Mainland China,Asia,,2017-04,53
France,Europe,,2017-04,51
Greece,Europe,,2017-04,6
Austria,Europe,,2017-04,4
United Kingdom,Europe,,2017-04,71
Spain,Europe,,2017-04,15
Switzerland,Europe,,2017-04,16
Netherlands,Europe,,2017-04,21
Italy,Europe,,2017-04,40
Indonesia,Asia,Southeast Asia,2017-04,101
HongKong. Macao,Asia,,2017-04,543
Philippines,Asia,Southeast Asia,2017-04,294
New Zealand,Oceania,,2017-04,17
Vietnam,Asia,Southeast Asia,2017-04,78
Argentina,America,,2017-04,1
Brazil,America,,2017-04,10
Unstated,,,2017-04,4
"Others, Africa",Africa,,2017-04,20
S. Africa,Africa,,2017-04,11
Thailand,Asia,Southeast Asia,2017-04,243
"Others, Oceania",Oceania,,2017-04,11
"Others, America",America,,2017-04,45
Belgium,Europe,,2017-04,14
"Others, Europe",Europe,,2017-04,69
Russian Federation,Europe,,2017-04,12
Sweden,Europe,,2017-04,23
Mexico,America,,2017-04,12
United States of America,America,,2017-04,458
Canada,America,,2017-04,59
"Others, Asia",Asia,,2017-04,63
"Others, Southeast Asia",Asia,Southeast Asia,2017-04,23
Australia,Oceania,,2017-04,137
"Korea,Republic of",Asia,,2017-05,607
India,Asia,,2017-05,220
HongKong. Macao,Asia,,2017-05,580
Mainland China,Asia,,2017-05,58
Middle East,Asia,,2017-05,56
Japan,Asia,,2017-05,906
Malaysia,Asia,Southeast Asia,2017-05,316
Mexico,America,,2017-05,4
Indonesia,Asia,Southeast Asia,2017-05,137
Canada,America,,2017-05,103
"Others, Asia",Asia,,2017-05,52
"Others, Southeast Asia",Asia,Southeast Asia,2017-05,32
Vietnam,Asia,Southeast Asia,2017-05,134
Unstated,,,2017-05,0
"Others, Africa",Africa,,2017-05,16
S. Africa,Africa,,2017-05,14
"Others, Oceania",Oceania,,2017-05,5
New Zealand,Oceania,,2017-05,50
Australia,Oceania,,2017-05,341
"Others, Europe",Europe,,2017-05,128
Russian Federation,Europe,,2017-05,38
Sweden,Europe,,2017-05,21
Singapore,Asia,Southeast Asia,2017-05,392
Greece,Europe,,2017-05,4
Spain,Europe,,2017-05,18
Switzerland,Europe,,2017-05,16
Netherlands,Europe,,2017-05,30
Italy,Europe,,2017-05,47
Germany,Europe,,2017-05,108
France,Europe,,2017-05,85
Belgium,Europe,,2017-05,23
"Others, America",America,,2017-05,29
Argentina,America,,2017-05,7
Brazil,America,,2017-05,12
Thailand,Asia,Southeast Asia,2017-05,164
Philippines,Asia,Southeast Asia,2017-05,397
United States of America,America,,2017-05,730
