Residence,Region,Sub-Region,Period,Medical Treatment
Thailand,Asia,Southeast Asia,2016-10,16
Philippines,Asia,Southeast Asia,2016-10,13
Indonesia,Asia,Southeast Asia,2016-10,62
S. Africa,Africa,,2016-10,0
"Others, Oceania",Oceania,,2016-10,56
New Zealand,Oceania,,2016-10,1
Australia,Oceania,,2016-10,4
Singapore,Asia,Southeast Asia,2016-10,24
Malaysia,Asia,Southeast Asia,2016-10,68
Middle East,Asia,,2016-10,4
India,Asia,,2016-10,1
"Korea,Republic of",Asia,,2016-10,4
Brazil,America,,2016-10,1
France,Europe,,2016-10,1
Indonesia,Asia,Southeast Asia,2016-11,79
"Others, Africa",Africa,,2016-11,0
Japan,Asia,,2016-11,10
"Korea,Republic of",Asia,,2016-11,9
India,Asia,,2016-11,2
Malaysia,Asia,Southeast Asia,2016-11,84
Singapore,Asia,Southeast Asia,2016-11,20
Philippines,Asia,Southeast Asia,2016-11,26
Thailand,Asia,Southeast Asia,2016-11,9
Vietnam,Asia,Southeast Asia,2016-11,10
"Others, Southeast Asia",Asia,Southeast Asia,2016-11,109
"Others, Asia",Asia,,2016-11,15
Canada,America,,2016-11,3
Mainland China,Asia,,2016-11,1899
United States of America,America,,2016-11,59
Brazil,America,,2016-11,0
Argentina,America,,2016-11,0
"Others, America",America,,2016-11,0
Belgium,Europe,,2016-11,1
France,Europe,,2016-11,3
Germany,Europe,,2016-11,5
Italy,Europe,,2016-11,1
Netherlands,Europe,,2016-11,0
Switzerland,Europe,,2016-11,1
Spain,Europe,,2016-11,1
Unstated,,,2016-11,0
Mexico,America,,2016-11,0
HongKong. Macao,Asia,,2016-11,227
Middle East,Asia,,2016-11,7
Greece,Europe,,2016-11,0
S. Africa,Africa,,2016-11,0
"Others, Oceania",Oceania,,2016-11,27
New Zealand,Oceania,,2016-11,0
Australia,Oceania,,2016-11,5
"Others, Europe",Europe,,2016-11,1
United Kingdom,Europe,,2016-11,2
Austria,Europe,,2016-11,2
Russian Federation,Europe,,2016-11,0
Sweden,Europe,,2016-11,0
"Others, America",America,,2016-12,0
Belgium,Europe,,2016-12,0
France,Europe,,2016-12,0
Germany,Europe,,2016-12,6
Brazil,America,,2016-12,0
Italy,Europe,,2016-12,0
HongKong. Macao,Asia,,2016-12,230
Switzerland,Europe,,2016-12,0
Spain,Europe,,2016-12,0
United Kingdom,Europe,,2016-12,0
Austria,Europe,,2016-12,0
Greece,Europe,,2016-12,2
Sweden,Europe,,2016-12,1
Russian Federation,Europe,,2016-12,0
Mainland China,Asia,,2016-12,2282
Japan,Asia,,2016-12,16
Singapore,Asia,Southeast Asia,2016-12,15
India,Asia,,2016-12,6
Middle East,Asia,,2016-12,7
Malaysia,Asia,Southeast Asia,2016-12,61
Mexico,America,,2016-12,0
Indonesia,Asia,Southeast Asia,2016-12,40
Philippines,Asia,Southeast Asia,2016-12,33
Thailand,Asia,Southeast Asia,2016-12,5
"Others, Europe",Europe,,2016-12,0
Vietnam,Asia,Southeast Asia,2016-12,18
"Others, Southeast Asia",Asia,Southeast Asia,2016-12,69
"Others, Asia",Asia,,2016-12,41
Canada,America,,2016-12,10
United States of America,America,,2016-12,45
Argentina,America,,2016-12,0
"Korea,Republic of",Asia,,2016-12,4
Australia,Oceania,,2016-12,5
Netherlands,Europe,,2016-12,2
"Others, Oceania",Oceania,,2016-12,17
S. Africa,Africa,,2016-12,0
"Others, Africa",Africa,,2016-12,2
Unstated,,,2016-12,0
New Zealand,Oceania,,2016-12,4
"Others, America",America,,2017-01,0
Argentina,America,,2017-01,0
Brazil,America,,2017-01,0
Mexico,America,,2017-01,0
United States of America,America,,2017-01,28
Canada,America,,2017-01,7
Vietnam,Asia,Southeast Asia,2017-01,26
"Others, Southeast Asia",Asia,Southeast Asia,2017-01,34
Belgium,Europe,,2017-01,0
Philippines,Asia,Southeast Asia,2017-01,13
Indonesia,Asia,Southeast Asia,2017-01,42
Singapore,Asia,Southeast Asia,2017-01,14
Malaysia,Asia,Southeast Asia,2017-01,37
"Others, Asia",Asia,,2017-01,8
France,Europe,,2017-01,0
Italy,Europe,,2017-01,0
Middle East,Asia,,2017-01,1
Unstated,,,2017-01,0
"Others, Africa",Africa,,2017-01,0
S. Africa,Africa,,2017-01,0
"Others, Oceania",Oceania,,2017-01,14
New Zealand,Oceania,,2017-01,2
Australia,Oceania,,2017-01,6
Germany,Europe,,2017-01,1
"Others, Europe",Europe,,2017-01,0
Greece,Europe,,2017-01,0
Austria,Europe,,2017-01,0
United Kingdom,Europe,,2017-01,0
Spain,Europe,,2017-01,0
Switzerland,Europe,,2017-01,0
Netherlands,Europe,,2017-01,0
Sweden,Europe,,2017-01,0
India,Asia,,2017-01,0
Thailand,Asia,Southeast Asia,2017-01,7
Japan,Asia,,2017-01,11
"Korea,Republic of",Asia,,2017-01,7
Russian Federation,Europe,,2017-01,1
Mainland China,Asia,,2017-01,1940
HongKong. Macao,Asia,,2017-01,163
