Residence,Region,Sub-Region,Period,Visit Relatives
Singapore,Asia,Southeast Asia,2015-10,1131
Middle East,Asia,,2015-10,45
HongKong. Macao,Asia,,2015-10,3165
"Korea,Republic of",Asia,,2015-10,1465
Philippines,Asia,Southeast Asia,2015-10,338
Japan,Asia,,2015-10,1506
India,Asia,,2015-10,50
Thailand,Asia,Southeast Asia,2015-10,564
Mainland China,Asia,,2015-10,5246
"Others, Southeast Asia",Asia,Southeast Asia,2015-10,162
Netherlands,Europe,,2015-10,96
Switzerland,Europe,,2015-10,99
United Kingdom,Europe,,2015-10,400
Austria,Europe,,2015-10,66
Greece,Europe,,2015-10,3
Sweden,Europe,,2015-10,56
Russian Federation,Europe,,2015-10,14
"Others, Europe",Europe,,2015-10,161
Australia,Oceania,,2015-10,1103
New Zealand,Oceania,,2015-10,239
"Others, Oceania",Oceania,,2015-10,9
S. Africa,Africa,,2015-10,39
"Others, Africa",Africa,,2015-10,16
Unstated,,,2015-10,1
Vietnam,Asia,Southeast Asia,2015-10,1119
Italy,Europe,,2015-10,79
Germany,Europe,,2015-10,344
Spain,Europe,,2015-10,71
Brazil,America,,2015-10,36
Mexico,America,,2015-10,12
Argentina,America,,2015-10,13
"Others, America",America,,2015-10,63
Belgium,Europe,,2015-10,50
France,Europe,,2015-10,406
United States of America,America,,2015-10,11238
"Others, Asia",Asia,,2015-10,39
Canada,America,,2015-10,1308
Malaysia,Asia,Southeast Asia,2015-11,1574
S. Africa,Africa,,2015-11,33
"Others, Southeast Asia",Asia,Southeast Asia,2015-11,88
"Others, Oceania",Oceania,,2015-11,7
HongKong. Macao,Asia,,2015-11,2906
Vietnam,Asia,Southeast Asia,2015-11,997
Mainland China,Asia,,2015-11,4933
Middle East,Asia,,2015-11,42
Japan,Asia,,2015-11,1331
Australia,Oceania,,2015-11,944
New Zealand,Oceania,,2015-11,282
Philippines,Asia,Southeast Asia,2015-11,309
"Korea,Republic of",Asia,,2015-11,1205
India,Asia,,2015-11,84
Singapore,Asia,Southeast Asia,2015-11,1361
Thailand,Asia,Southeast Asia,2015-11,290
Indonesia,Asia,Southeast Asia,2015-11,538
France,Europe,,2015-11,299
Sweden,Europe,,2015-11,39
Belgium,Europe,,2015-11,22
"Others, America",America,,2015-11,82
Argentina,America,,2015-11,6
Brazil,America,,2015-11,17
Mexico,America,,2015-11,13
United States of America,America,,2015-11,12261
Canada,America,,2015-11,1343
Germany,Europe,,2015-11,224
"Others, Asia",Asia,,2015-11,46
Netherlands,Europe,,2015-11,106
Switzerland,Europe,,2015-11,55
Spain,Europe,,2015-11,73
"Others, Africa",Africa,,2015-11,8
United Kingdom,Europe,,2015-11,302
Austria,Europe,,2015-11,33
Greece,Europe,,2015-11,5
Italy,Europe,,2015-11,71
Unstated,,,2015-11,4
"Others, Europe",Europe,,2015-11,105
Russian Federation,Europe,,2015-11,34
Mainland China,Asia,,2015-12,4876
Canada,America,,2015-12,1992
United States of America,America,,2015-12,18513
Mexico,America,,2015-12,24
Brazil,America,,2015-12,71
Argentina,America,,2015-12,34
"Others, America",America,,2015-12,99
France,Europe,,2015-12,429
Germany,Europe,,2015-12,411
Italy,Europe,,2015-12,120
Netherlands,Europe,,2015-12,141
Switzerland,Europe,,2015-12,121
Spain,Europe,,2015-12,86
United Kingdom,Europe,,2015-12,589
Austria,Europe,,2015-12,103
Greece,Europe,,2015-12,5
"Others, Asia",Asia,,2015-12,53
HongKong. Macao,Asia,,2015-12,4185
"Others, Southeast Asia",Asia,Southeast Asia,2015-12,120
"Others, Africa",Africa,,2015-12,17
Japan,Asia,,2015-12,2633
Sweden,Europe,,2015-12,78
Russian Federation,Europe,,2015-12,27
"Others, Europe",Europe,,2015-12,223
"Korea,Republic of",Asia,,2015-12,1641
India,Asia,,2015-12,82
Middle East,Asia,,2015-12,61
Unstated,,,2015-12,5
Malaysia,Asia,Southeast Asia,2015-12,1963
Indonesia,Asia,Southeast Asia,2015-12,776
Philippines,Asia,Southeast Asia,2015-12,604
Vietnam,Asia,Southeast Asia,2015-12,959
Australia,Oceania,,2015-12,2294
New Zealand,Oceania,,2015-12,616
"Others, Oceania",Oceania,,2015-12,15
S. Africa,Africa,,2015-12,122
Singapore,Asia,Southeast Asia,2015-12,1867
Thailand,Asia,Southeast Asia,2015-12,502
Belgium,Europe,,2015-12,56
"Others, America",America,,2016-01,99
Canada,America,,2016-01,1468
United States of America,America,,2016-01,10792
Mexico,America,,2016-01,16
Brazil,America,,2016-01,65
Argentina,America,,2016-01,32
Belgium,Europe,,2016-01,40
France,Europe,,2016-01,324
Germany,Europe,,2016-01,305
Italy,Europe,,2016-01,89
Netherlands,Europe,,2016-01,103
Switzerland,Europe,,2016-01,64
Spain,Europe,,2016-01,84
United Kingdom,Europe,,2016-01,367
Austria,Europe,,2016-01,71
Greece,Europe,,2016-01,5
Sweden,Europe,,2016-01,48
Russian Federation,Europe,,2016-01,20
"Others, Europe",Europe,,2016-01,154
Australia,Oceania,,2016-01,1789
New Zealand,Oceania,,2016-01,353
"Others, Oceania",Oceania,,2016-01,7
S. Africa,Africa,,2016-01,60
Unstated,,,2016-01,2
"Others, Asia",Asia,,2016-01,52
"Others, Southeast Asia",Asia,Southeast Asia,2016-01,67
"Others, Africa",Africa,,2016-01,25
Thailand,Asia,Southeast Asia,2016-01,296
Vietnam,Asia,Southeast Asia,2016-01,1133
HongKong. Macao,Asia,,2016-01,2604
Mainland China,Asia,,2016-01,6538
"Korea,Republic of",Asia,,2016-01,1534
India,Asia,,2016-01,56
Japan,Asia,,2016-01,1629
Middle East,Asia,,2016-01,46
Malaysia,Asia,Southeast Asia,2016-01,1005
Singapore,Asia,Southeast Asia,2016-01,889
Indonesia,Asia,Southeast Asia,2016-01,576
Philippines,Asia,Southeast Asia,2016-01,286
United Kingdom,Europe,,2016-02,500
France,Europe,,2016-02,546
Germany,Europe,,2016-02,378
Netherlands,Europe,,2016-02,112
Switzerland,Europe,,2016-02,119
Spain,Europe,,2016-02,65
Belgium,Europe,,2016-02,51
Austria,Europe,,2016-02,100
New Zealand,Oceania,,2016-02,251
Unstated,,,2016-02,4
"Others, Africa",Africa,,2016-02,17
S. Africa,Africa,,2016-02,62
"Others, Oceania",Oceania,,2016-02,7
"Others, America",America,,2016-02,106
Australia,Oceania,,2016-02,1007
"Others, Europe",Europe,,2016-02,217
Russian Federation,Europe,,2016-02,16
Sweden,Europe,,2016-02,50
Greece,Europe,,2016-02,6
Argentina,America,,2016-02,17
Italy,Europe,,2016-02,72
Mexico,America,,2016-02,9
Vietnam,Asia,Southeast Asia,2016-02,743
Thailand,Asia,Southeast Asia,2016-02,766
Philippines,Asia,Southeast Asia,2016-02,394
Indonesia,Asia,Southeast Asia,2016-02,564
Singapore,Asia,Southeast Asia,2016-02,1530
Malaysia,Asia,Southeast Asia,2016-02,1423
Brazil,America,,2016-02,19
India,Asia,,2016-02,63
Middle East,Asia,,2016-02,44
Canada,America,,2016-02,1666
"Korea,Republic of",Asia,,2016-02,1481
"Others, Asia",Asia,,2016-02,61
"Others, Southeast Asia",Asia,Southeast Asia,2016-02,121
HongKong. Macao,Asia,,2016-02,5902
Mainland China,Asia,,2016-02,7043
Japan,Asia,,2016-02,2192
United States of America,America,,2016-02,11233
Mainland China,Asia,,2016-03,5079
"Others, Southeast Asia",Asia,Southeast Asia,2016-03,102
"Others, Asia",Asia,,2016-03,48
United States of America,America,,2016-03,12976
Mexico,America,,2016-03,23
Brazil,America,,2016-03,30
Argentina,America,,2016-03,10
"Others, America",America,,2016-03,63
Belgium,Europe,,2016-03,55
France,Europe,,2016-03,321
Canada,America,,2016-03,2069
Vietnam,Asia,Southeast Asia,2016-03,1523
HongKong. Macao,Asia,,2016-03,3712
Germany,Europe,,2016-03,428
Thailand,Asia,Southeast Asia,2016-03,503
Philippines,Asia,Southeast Asia,2016-03,346
Indonesia,Asia,Southeast Asia,2016-03,583
Singapore,Asia,Southeast Asia,2016-03,1112
Malaysia,Asia,Southeast Asia,2016-03,1221
Middle East,Asia,,2016-03,61
India,Asia,,2016-03,90
"Korea,Republic of",Asia,,2016-03,1248
Japan,Asia,,2016-03,2156
Unstated,,,2016-03,3
Italy,Europe,,2016-03,65
"Others, Africa",Africa,,2016-03,20
Switzerland,Europe,,2016-03,94
"Others, Oceania",Oceania,,2016-03,8
New Zealand,Oceania,,2016-03,244
Australia,Oceania,,2016-03,1215
"Others, Europe",Europe,,2016-03,210
Russian Federation,Europe,,2016-03,25
Sweden,Europe,,2016-03,58
Greece,Europe,,2016-03,5
S. Africa,Africa,,2016-03,46
Netherlands,Europe,,2016-03,83
Austria,Europe,,2016-03,90
United Kingdom,Europe,,2016-03,638
Spain,Europe,,2016-03,81
France,Europe,,2016-04,418
Germany,Europe,,2016-04,187
Italy,Europe,,2016-04,70
Netherlands,Europe,,2016-04,85
Switzerland,Europe,,2016-04,62
Spain,Europe,,2016-04,42
United Kingdom,Europe,,2016-04,344
Austria,Europe,,2016-04,41
New Zealand,Oceania,,2016-04,213
Australia,Oceania,,2016-04,791
Russian Federation,Europe,,2016-04,10
"Others, Europe",Europe,,2016-04,111
Mainland China,Asia,,2016-04,4791
Belgium,Europe,,2016-04,18
S. Africa,Africa,,2016-04,28
"Others, Oceania",Oceania,,2016-04,8
Greece,Europe,,2016-04,5
Sweden,Europe,,2016-04,46
United States of America,America,,2016-04,9102
Argentina,America,,2016-04,3
Japan,Asia,,2016-04,1475
"Korea,Republic of",Asia,,2016-04,1053
India,Asia,,2016-04,63
Middle East,Asia,,2016-04,47
Malaysia,Asia,Southeast Asia,2016-04,887
Singapore,Asia,Southeast Asia,2016-04,750
Indonesia,Asia,Southeast Asia,2016-04,494
"Others, America",America,,2016-04,45
Philippines,Asia,Southeast Asia,2016-04,494
Vietnam,Asia,Southeast Asia,2016-04,1049
"Others, Southeast Asia",Asia,Southeast Asia,2016-04,118
"Others, Asia",Asia,,2016-04,23
Canada,America,,2016-04,1082
"Others, Africa",Africa,,2016-04,11
Mexico,America,,2016-04,18
Brazil,America,,2016-04,25
Thailand,Asia,Southeast Asia,2016-04,508
Unstated,,,2016-04,3
HongKong. Macao,Asia,,2016-04,3018
France,Europe,,2016-05,292
Belgium,Europe,,2016-05,29
Germany,Europe,,2016-05,276
Italy,Europe,,2016-05,52
Netherlands,Europe,,2016-05,93
Switzerland,Europe,,2016-05,59
Spain,Europe,,2016-05,66
United Kingdom,Europe,,2016-05,289
Austria,Europe,,2016-05,38
Greece,Europe,,2016-05,3
Sweden,Europe,,2016-05,23
Russian Federation,Europe,,2016-05,16
"Others, Europe",Europe,,2016-05,110
Australia,Oceania,,2016-05,880
New Zealand,Oceania,,2016-05,208
"Others, Oceania",Oceania,,2016-05,9
S. Africa,Africa,,2016-05,22
"Others, Africa",Africa,,2016-05,24
"Others, America",America,,2016-05,74
Unstated,,,2016-05,0
Argentina,America,,2016-05,10
Indonesia,Asia,Southeast Asia,2016-05,758
"Korea,Republic of",Asia,,2016-05,1393
India,Asia,,2016-05,102
Middle East,Asia,,2016-05,75
Malaysia,Asia,Southeast Asia,2016-05,1383
Singapore,Asia,Southeast Asia,2016-05,1046
Brazil,America,,2016-05,21
Philippines,Asia,Southeast Asia,2016-05,467
Thailand,Asia,Southeast Asia,2016-05,399
Vietnam,Asia,Southeast Asia,2016-05,1580
"Others, Southeast Asia",Asia,Southeast Asia,2016-05,129
"Others, Asia",Asia,,2016-05,34
Canada,America,,2016-05,1452
HongKong. Macao,Asia,,2016-05,3096
United States of America,America,,2016-05,12083
Mexico,America,,2016-05,21
Japan,Asia,,2016-05,1401
Mainland China,Asia,,2016-05,4626
"Others, Southeast Asia",Asia,Southeast Asia,2016-06,138
"Others, Asia",Asia,,2016-06,57
Vietnam,Asia,Southeast Asia,2016-06,1989
Middle East,Asia,,2016-06,63
Malaysia,Asia,Southeast Asia,2016-06,1601
Indonesia,Asia,Southeast Asia,2016-06,1207
Canada,America,,2016-06,1140
Mainland China,Asia,,2016-06,5127
HongKong. Macao,Asia,,2016-06,3869
Philippines,Asia,Southeast Asia,2016-06,371
United States of America,America,,2016-06,16315
Thailand,Asia,Southeast Asia,2016-06,505
Brazil,America,,2016-06,18
Singapore,Asia,Southeast Asia,2016-06,1443
Mexico,America,,2016-06,17
Unstated,,,2016-06,4
"Others, Africa",Africa,,2016-06,42
S. Africa,Africa,,2016-06,54
"Others, Oceania",Oceania,,2016-06,41
New Zealand,Oceania,,2016-06,192
"Korea,Republic of",Asia,,2016-06,1408
"Others, Europe",Europe,,2016-06,140
Russian Federation,Europe,,2016-06,28
Sweden,Europe,,2016-06,97
Japan,Asia,,2016-06,1373
India,Asia,,2016-06,77
Austria,Europe,,2016-06,41
Argentina,America,,2016-06,19
Greece,Europe,,2016-06,4
"Others, America",America,,2016-06,118
Belgium,Europe,,2016-06,53
France,Europe,,2016-06,333
Germany,Europe,,2016-06,188
Australia,Oceania,,2016-06,840
Netherlands,Europe,,2016-06,61
United Kingdom,Europe,,2016-06,281
Spain,Europe,,2016-06,87
Switzerland,Europe,,2016-06,26
Italy,Europe,,2016-06,92
"Others, America",America,,2016-07,60
Argentina,America,,2016-07,1
Brazil,America,,2016-07,27
Mexico,America,,2016-07,31
United States of America,America,,2016-07,12130
Canada,America,,2016-07,1453
"Others, Asia",Asia,,2016-07,40
Vietnam,Asia,Southeast Asia,2016-07,1745
Thailand,Asia,Southeast Asia,2016-07,430
Philippines,Asia,Southeast Asia,2016-07,310
Indonesia,Asia,Southeast Asia,2016-07,823
Singapore,Asia,Southeast Asia,2016-07,850
Malaysia,Asia,Southeast Asia,2016-07,959
Middle East,Asia,,2016-07,71
"Others, Southeast Asia",Asia,Southeast Asia,2016-07,159
Belgium,Europe,,2016-07,59
Germany,Europe,,2016-07,437
Italy,Europe,,2016-07,66
"Others, Europe",Europe,,2016-07,173
Russian Federation,Europe,,2016-07,15
Australia,Oceania,,2016-07,718
New Zealand,Oceania,,2016-07,179
"Others, Oceania",Oceania,,2016-07,12
S. Africa,Africa,,2016-07,59
France,Europe,,2016-07,582
"Others, Africa",Africa,,2016-07,31
Sweden,Europe,,2016-07,64
Greece,Europe,,2016-07,10
Austria,Europe,,2016-07,108
United Kingdom,Europe,,2016-07,558
Spain,Europe,,2016-07,118
Netherlands,Europe,,2016-07,176
HongKong. Macao,Asia,,2016-07,3919
Switzerland,Europe,,2016-07,183
"Korea,Republic of",Asia,,2016-07,1578
Unstated,,,2016-07,2
India,Asia,,2016-07,89
Japan,Asia,,2016-07,1770
Mainland China,Asia,,2016-07,8400
Vietnam,Asia,Southeast Asia,2016-08,1540
"Korea,Republic of",Asia,,2016-08,1686
India,Asia,,2016-08,79
Middle East,Asia,,2016-08,60
Malaysia,Asia,Southeast Asia,2016-08,1008
Singapore,Asia,Southeast Asia,2016-08,858
Indonesia,Asia,Southeast Asia,2016-08,689
Philippines,Asia,Southeast Asia,2016-08,331
HongKong. Macao,Asia,,2016-08,3587
Mainland China,Asia,,2016-08,6794
Brazil,America,,2016-08,14
Mexico,America,,2016-08,14
United States of America,America,,2016-08,10551
Canada,America,,2016-08,1231
"Others, Asia",Asia,,2016-08,52
"Others, Southeast Asia",Asia,Southeast Asia,2016-08,171
Thailand,Asia,Southeast Asia,2016-08,629
Argentina,America,,2016-08,5
Japan,Asia,,2016-08,2583
Austria,Europe,,2016-08,77
"Others, Oceania",Oceania,,2016-08,12
S. Africa,Africa,,2016-08,56
"Others, Africa",Africa,,2016-08,14
"Others, America",America,,2016-08,69
"Others, Europe",Europe,,2016-08,131
Russian Federation,Europe,,2016-08,25
Sweden,Europe,,2016-08,11
Greece,Europe,,2016-08,4
New Zealand,Oceania,,2016-08,163
Australia,Oceania,,2016-08,571
Spain,Europe,,2016-08,97
Switzerland,Europe,,2016-08,39
Netherlands,Europe,,2016-08,132
Italy,Europe,,2016-08,106
Germany,Europe,,2016-08,414
France,Europe,,2016-08,456
Belgium,Europe,,2016-08,53
Unstated,,,2016-08,4
United Kingdom,Europe,,2016-08,456
Austria,Europe,,2016-09,56
United Kingdom,Europe,,2016-09,282
Unstated,,,2016-09,1
"Others, Oceania",Oceania,,2016-09,7
Sweden,Europe,,2016-09,20
Russian Federation,Europe,,2016-09,23
"Others, Europe",Europe,,2016-09,111
Australia,Oceania,,2016-09,1128
New Zealand,Oceania,,2016-09,267
S. Africa,Africa,,2016-09,33
"Others, Africa",Africa,,2016-09,13
Greece,Europe,,2016-09,4
Belgium,Europe,,2016-09,35
France,Europe,,2016-09,249
Canada,America,,2016-09,1015
Singapore,Asia,Southeast Asia,2016-09,1021
Indonesia,Asia,Southeast Asia,2016-09,744
Philippines,Asia,Southeast Asia,2016-09,343
Thailand,Asia,Southeast Asia,2016-09,495
Vietnam,Asia,Southeast Asia,2016-09,1667
"Others, Southeast Asia",Asia,Southeast Asia,2016-09,189
"Others, Asia",Asia,,2016-09,48
HongKong. Macao,Asia,,2016-09,3321
United States of America,America,,2016-09,8900
Mexico,America,,2016-09,10
Malaysia,Asia,Southeast Asia,2016-09,1279
Brazil,America,,2016-09,34
"Others, America",America,,2016-09,58
Spain,Europe,,2016-09,65
Switzerland,Europe,,2016-09,53
Netherlands,Europe,,2016-09,67
Italy,Europe,,2016-09,59
India,Asia,,2016-09,70
Germany,Europe,,2016-09,292
"Korea,Republic of",Asia,,2016-09,1643
Japan,Asia,,2016-09,1576
Mainland China,Asia,,2016-09,5523
Argentina,America,,2016-09,5
Middle East,Asia,,2016-09,35
Argentina,America,,2016-10,7
Sweden,Europe,,2016-10,47
Russian Federation,Europe,,2016-10,22
"Others, Europe",Europe,,2016-10,161
Unstated,,,2016-10,2
HongKong. Macao,Asia,,2016-10,3394
Mainland China,Asia,,2016-10,5392
Japan,Asia,,2016-10,1431
"Others, America",America,,2016-10,69
Belgium,Europe,,2016-10,37
Mexico,America,,2016-10,18
Germany,Europe,,2016-10,335
Italy,Europe,,2016-10,81
United States of America,America,,2016-10,10862
Netherlands,Europe,,2016-10,130
Switzerland,Europe,,2016-10,94
Spain,Europe,,2016-10,72
United Kingdom,Europe,,2016-10,376
Austria,Europe,,2016-10,43
Greece,Europe,,2016-10,1
"Others, Africa",Africa,,2016-10,23
Canada,America,,2016-10,1375
"Others, Asia",Asia,,2016-10,49
"Others, Southeast Asia",Asia,Southeast Asia,2016-10,189
Vietnam,Asia,Southeast Asia,2016-10,1387
Thailand,Asia,Southeast Asia,2016-10,811
Philippines,Asia,Southeast Asia,2016-10,317
Indonesia,Asia,Southeast Asia,2016-10,677
S. Africa,Africa,,2016-10,52
"Others, Oceania",Oceania,,2016-10,7
New Zealand,Oceania,,2016-10,197
Australia,Oceania,,2016-10,1034
Singapore,Asia,Southeast Asia,2016-10,926
Malaysia,Asia,Southeast Asia,2016-10,1134
Middle East,Asia,,2016-10,58
India,Asia,,2016-10,64
"Korea,Republic of",Asia,,2016-10,1505
Brazil,America,,2016-10,39
France,Europe,,2016-10,436
Indonesia,Asia,Southeast Asia,2016-11,665
"Others, Africa",Africa,,2016-11,15
Japan,Asia,,2016-11,1356
"Korea,Republic of",Asia,,2016-11,1480
India,Asia,,2016-11,57
Malaysia,Asia,Southeast Asia,2016-11,1648
Singapore,Asia,Southeast Asia,2016-11,1526
Philippines,Asia,Southeast Asia,2016-11,388
Thailand,Asia,Southeast Asia,2016-11,568
Vietnam,Asia,Southeast Asia,2016-11,1400
"Others, Southeast Asia",Asia,Southeast Asia,2016-11,145
"Others, Asia",Asia,,2016-11,39
Canada,America,,2016-11,1551
Mainland China,Asia,,2016-11,4098
United States of America,America,,2016-11,14681
Brazil,America,,2016-11,28
Argentina,America,,2016-11,14
"Others, America",America,,2016-11,66
Belgium,Europe,,2016-11,36
France,Europe,,2016-11,313
Germany,Europe,,2016-11,245
Italy,Europe,,2016-11,64
Netherlands,Europe,,2016-11,106
Switzerland,Europe,,2016-11,58
Spain,Europe,,2016-11,93
Unstated,,,2016-11,3
Mexico,America,,2016-11,6
HongKong. Macao,Asia,,2016-11,3217
Middle East,Asia,,2016-11,41
Greece,Europe,,2016-11,2
S. Africa,Africa,,2016-11,28
"Others, Oceania",Oceania,,2016-11,8
New Zealand,Oceania,,2016-11,296
Australia,Oceania,,2016-11,1152
"Others, Europe",Europe,,2016-11,144
United Kingdom,Europe,,2016-11,319
Austria,Europe,,2016-11,43
Russian Federation,Europe,,2016-11,45
Sweden,Europe,,2016-11,46
"Others, America",America,,2016-12,106
Belgium,Europe,,2016-12,34
France,Europe,,2016-12,486
Germany,Europe,,2016-12,364
Brazil,America,,2016-12,85
Italy,Europe,,2016-12,120
HongKong. Macao,Asia,,2016-12,4444
Switzerland,Europe,,2016-12,97
Spain,Europe,,2016-12,105
United Kingdom,Europe,,2016-12,546
Austria,Europe,,2016-12,79
Greece,Europe,,2016-12,6
Sweden,Europe,,2016-12,97
Russian Federation,Europe,,2016-12,24
Mainland China,Asia,,2016-12,4173
Japan,Asia,,2016-12,2461
Singapore,Asia,Southeast Asia,2016-12,1980
India,Asia,,2016-12,93
Middle East,Asia,,2016-12,57
Malaysia,Asia,Southeast Asia,2016-12,1927
Mexico,America,,2016-12,22
Indonesia,Asia,Southeast Asia,2016-12,846
Philippines,Asia,Southeast Asia,2016-12,796
Thailand,Asia,Southeast Asia,2016-12,742
"Others, Europe",Europe,,2016-12,232
Vietnam,Asia,Southeast Asia,2016-12,1342
"Others, Southeast Asia",Asia,Southeast Asia,2016-12,206
"Others, Asia",Asia,,2016-12,54
Canada,America,,2016-12,2034
United States of America,America,,2016-12,19020
Argentina,America,,2016-12,31
"Korea,Republic of",Asia,,2016-12,1782
Australia,Oceania,,2016-12,2227
Netherlands,Europe,,2016-12,179
"Others, Oceania",Oceania,,2016-12,14
S. Africa,Africa,,2016-12,129
"Others, Africa",Africa,,2016-12,27
Unstated,,,2016-12,4
New Zealand,Oceania,,2016-12,572
"Others, America",America,,2017-01,108
Argentina,America,,2017-01,13
Brazil,America,,2017-01,73
Mexico,America,,2017-01,20
United States of America,America,,2017-01,13830
Canada,America,,2017-01,2078
Vietnam,Asia,Southeast Asia,2017-01,1820
"Others, Southeast Asia",Asia,Southeast Asia,2017-01,150
Belgium,Europe,,2017-01,55
Philippines,Asia,Southeast Asia,2017-01,678
Indonesia,Asia,Southeast Asia,2017-01,666
Singapore,Asia,Southeast Asia,2017-01,1484
Malaysia,Asia,Southeast Asia,2017-01,1515
"Others, Asia",Asia,,2017-01,51
France,Europe,,2017-01,483
Italy,Europe,,2017-01,99
Middle East,Asia,,2017-01,61
Unstated,,,2017-01,7
"Others, Africa",Africa,,2017-01,25
S. Africa,Africa,,2017-01,64
"Others, Oceania",Oceania,,2017-01,4
New Zealand,Oceania,,2017-01,496
Australia,Oceania,,2017-01,2195
Germany,Europe,,2017-01,400
"Others, Europe",Europe,,2017-01,234
Greece,Europe,,2017-01,10
Austria,Europe,,2017-01,95
United Kingdom,Europe,,2017-01,624
Spain,Europe,,2017-01,100
Switzerland,Europe,,2017-01,122
Netherlands,Europe,,2017-01,202
Sweden,Europe,,2017-01,72
India,Asia,,2017-01,77
Thailand,Asia,Southeast Asia,2017-01,798
Japan,Asia,,2017-01,2399
"Korea,Republic of",Asia,,2017-01,1846
Russian Federation,Europe,,2017-01,33
Mainland China,Asia,,2017-01,8204
HongKong. Macao,Asia,,2017-01,5047
Philippines,Asia,Southeast Asia,2017-02,278
Australia,Oceania,,2017-02,880
New Zealand,Oceania,,2017-02,169
"Others, Oceania",Oceania,,2017-02,12
S. Africa,Africa,,2017-02,40
"Others, Africa",Africa,,2017-02,21
Unstated,,,2017-02,3
Indonesia,Asia,Southeast Asia,2017-02,540
Singapore,Asia,Southeast Asia,2017-02,791
Malaysia,Asia,Southeast Asia,2017-02,1063
Middle East,Asia,,2017-02,49
India,Asia,,2017-02,65
"Korea,Republic of",Asia,,2017-02,1286
Japan,Asia,,2017-02,1200
Mainland China,Asia,,2017-02,4649
HongKong. Macao,Asia,,2017-02,3013
Sweden,Europe,,2017-02,53
Greece,Europe,,2017-02,4
"Others, Europe",Europe,,2017-02,165
United Kingdom,Europe,,2017-02,300
Thailand,Asia,Southeast Asia,2017-02,446
Vietnam,Asia,Southeast Asia,2017-02,1241
"Others, Southeast Asia",Asia,Southeast Asia,2017-02,123
"Others, Asia",Asia,,2017-02,54
Austria,Europe,,2017-02,62
United States of America,America,,2017-02,8502
Mexico,America,,2017-02,13
Brazil,America,,2017-02,50
Canada,America,,2017-02,1274
"Others, America",America,,2017-02,77
Argentina,America,,2017-02,13
Spain,Europe,,2017-02,59
Switzerland,Europe,,2017-02,65
Netherlands,Europe,,2017-02,96
Russian Federation,Europe,,2017-02,15
Germany,Europe,,2017-02,255
France,Europe,,2017-02,368
Belgium,Europe,,2017-02,24
Italy,Europe,,2017-02,69
HongKong. Macao,Asia,,2017-03,3077
Mainland China,Asia,,2017-03,4798
Japan,Asia,,2017-03,2247
"Korea,Republic of",Asia,,2017-03,1496
India,Asia,,2017-03,95
Middle East,Asia,,2017-03,50
S. Africa,Africa,,2017-03,48
"Others, Africa",Africa,,2017-03,21
"Others, Asia",Asia,,2017-03,61
Indonesia,Asia,Southeast Asia,2017-03,674
Philippines,Asia,Southeast Asia,2017-03,500
Thailand,Asia,Southeast Asia,2017-03,910
Vietnam,Asia,Southeast Asia,2017-03,2067
"Others, Southeast Asia",Asia,Southeast Asia,2017-03,191
Canada,America,,2017-03,2024
United States of America,America,,2017-03,12991
Mexico,America,,2017-03,19
Brazil,America,,2017-03,41
Malaysia,Asia,Southeast Asia,2017-03,1317
"Others, America",America,,2017-03,60
Belgium,Europe,,2017-03,27
France,Europe,,2017-03,413
Germany,Europe,,2017-03,364
Argentina,America,,2017-03,16
Netherlands,Europe,,2017-03,114
Unstated,,,2017-03,3
"Others, Oceania",Oceania,,2017-03,9
Italy,Europe,,2017-03,57
Australia,Oceania,,2017-03,1134
"Others, Europe",Europe,,2017-03,203
Russian Federation,Europe,,2017-03,23
New Zealand,Oceania,,2017-03,236
Greece,Europe,,2017-03,5
Austria,Europe,,2017-03,54
United Kingdom,Europe,,2017-03,423
Spain,Europe,,2017-03,95
Switzerland,Europe,,2017-03,61
Sweden,Europe,,2017-03,45
Singapore,Asia,Southeast Asia,2017-03,1177
Singapore,Asia,Southeast Asia,2017-04,1068
Malaysia,Asia,Southeast Asia,2017-04,1272
Germany,Europe,,2017-04,414
Middle East,Asia,,2017-04,82
India,Asia,,2017-04,116
"Korea,Republic of",Asia,,2017-04,1470
Japan,Asia,,2017-04,1751
Mainland China,Asia,,2017-04,4615
France,Europe,,2017-04,556
Greece,Europe,,2017-04,3
Austria,Europe,,2017-04,71
United Kingdom,Europe,,2017-04,637
Spain,Europe,,2017-04,105
Switzerland,Europe,,2017-04,147
Netherlands,Europe,,2017-04,155
Italy,Europe,,2017-04,96
Indonesia,Asia,Southeast Asia,2017-04,758
HongKong. Macao,Asia,,2017-04,4096
Philippines,Asia,Southeast Asia,2017-04,971
New Zealand,Oceania,,2017-04,340
Vietnam,Asia,Southeast Asia,2017-04,1864
Argentina,America,,2017-04,12
Brazil,America,,2017-04,39
Unstated,,,2017-04,7
"Others, Africa",Africa,,2017-04,41
S. Africa,Africa,,2017-04,50
Thailand,Asia,Southeast Asia,2017-04,1194
"Others, Oceania",Oceania,,2017-04,7
"Others, America",America,,2017-04,93
Belgium,Europe,,2017-04,66
"Others, Europe",Europe,,2017-04,196
Russian Federation,Europe,,2017-04,16
Sweden,Europe,,2017-04,50
Mexico,America,,2017-04,42
United States of America,America,,2017-04,13617
Canada,America,,2017-04,1423
"Others, Asia",Asia,,2017-04,41
"Others, Southeast Asia",Asia,Southeast Asia,2017-04,280
Australia,Oceania,,2017-04,1460
