Residence,Region,Sub-Region,Period,Visit Relatives
Indonesia,Asia,Southeast Asia,2011-09,877
Singapore,Asia,Southeast Asia,2011-09,1021
Malaysia,Asia,Southeast Asia,2011-09,1395
Middle East,Asia,,2011-09,73
India,Asia,,2011-09,181
"Korea,Republic of",Asia,,2011-09,981
Japan,Asia,,2011-09,2858
Belgium,Europe,,2011-09,42
Philippines,Asia,Southeast Asia,2011-09,507
France,Europe,,2011-09,290
HongKong. Macao,Asia,,2011-09,2192
Italy,Europe,,2011-09,71
Unstated,,,2011-09,11
"Others, Africa",Africa,,2011-09,43
S. Africa,Africa,,2011-09,70
"Others, Oceania",Oceania,,2011-09,5
New Zealand,Oceania,,2011-09,220
Australia,Oceania,,2011-09,966
"Others, Europe",Europe,,2011-09,135
Germany,Europe,,2011-09,242
Sweden,Europe,,2011-09,35
Greece,Europe,,2011-09,5
Austria,Europe,,2011-09,55
United Kingdom,Europe,,2011-09,363
Spain,Europe,,2011-09,69
Switzerland,Europe,,2011-09,47
Netherlands,Europe,,2011-09,93
Russian Federation,Europe,,2011-09,37
Brazil,America,,2011-10,40
Mexico,America,,2011-10,17
United States of America,America,,2011-10,10304
Canada,America,,2011-10,1382
"Others, Asia",Asia,,2011-10,243
"Others, Southeast Asia",Asia,Southeast Asia,2011-10,1953
Thailand,Asia,Southeast Asia,2011-10,832
Singapore,Asia,Southeast Asia,2011-10,1201
Indonesia,Asia,Southeast Asia,2011-10,817
Argentina,America,,2011-10,16
Malaysia,Asia,Southeast Asia,2011-10,1539
Middle East,Asia,,2011-10,47
India,Asia,,2011-10,194
"Korea,Republic of",Asia,,2011-10,895
Japan,Asia,,2011-10,2872
Philippines,Asia,Southeast Asia,2011-10,544
"Others, America",America,,2011-10,72
Italy,Europe,,2011-10,77
France,Europe,,2011-10,419
Unstated,,,2011-10,5
"Others, Africa",Africa,,2011-10,40
S. Africa,Africa,,2011-10,62
"Others, Oceania",Oceania,,2011-10,9
New Zealand,Oceania,,2011-10,207
Australia,Oceania,,2011-10,897
"Others, Europe",Europe,,2011-10,156
Belgium,Europe,,2011-10,55
Russian Federation,Europe,,2011-10,34
Greece,Europe,,2011-10,3
Mainland China,Asia,,2011-10,9338
United Kingdom,Europe,,2011-10,438
Spain,Europe,,2011-10,52
Switzerland,Europe,,2011-10,66
Netherlands,Europe,,2011-10,126
Germany,Europe,,2011-10,390
Sweden,Europe,,2011-10,49
Austria,Europe,,2011-10,79
HongKong. Macao,Asia,,2011-10,2204
"Others, Southeast Asia",Asia,Southeast Asia,2011-11,1494
Argentina,America,,2011-11,7
Mexico,America,,2011-11,12
United States of America,America,,2011-11,11146
Canada,America,,2011-11,1306
"Others, Asia",Asia,,2011-11,257
Thailand,Asia,Southeast Asia,2011-11,551
Philippines,Asia,Southeast Asia,2011-11,514
"Others, America",America,,2011-11,65
Indonesia,Asia,Southeast Asia,2011-11,666
Malaysia,Asia,Southeast Asia,2011-11,1898
Middle East,Asia,,2011-11,64
India,Asia,,2011-11,123
"Korea,Republic of",Asia,,2011-11,861
Japan,Asia,,2011-11,2569
Mainland China,Asia,,2011-11,8349
HongKong. Macao,Asia,,2011-11,2128
Singapore,Asia,Southeast Asia,2011-11,1401
Belgium,Europe,,2011-11,25
Brazil,America,,2011-11,29
Germany,Europe,,2011-11,314
Unstated,,,2011-11,10
"Others, Africa",Africa,,2011-11,30
S. Africa,Africa,,2011-11,68
"Others, Oceania",Oceania,,2011-11,6
New Zealand,Oceania,,2011-11,270
France,Europe,,2011-11,312
"Others, Europe",Europe,,2011-11,172
Russian Federation,Europe,,2011-11,26
Sweden,Europe,,2011-11,62
Australia,Oceania,,2011-11,941
Austria,Europe,,2011-11,47
United Kingdom,Europe,,2011-11,430
Spain,Europe,,2011-11,29
Switzerland,Europe,,2011-11,60
Netherlands,Europe,,2011-11,108
Italy,Europe,,2011-11,67
Greece,Europe,,2011-11,7
Mexico,America,,2011-12,19
Philippines,Asia,Southeast Asia,2011-12,719
Brazil,America,,2011-12,92
United States of America,America,,2011-12,17735
Canada,America,,2011-12,1928
"Others, Asia",Asia,,2011-12,343
"Others, Southeast Asia",Asia,Southeast Asia,2011-12,1650
Thailand,Asia,Southeast Asia,2011-12,853
Indonesia,Asia,Southeast Asia,2011-12,953
Greece,Europe,,2011-12,5
Malaysia,Asia,Southeast Asia,2011-12,1894
Middle East,Asia,,2011-12,59
India,Asia,,2011-12,206
"Korea,Republic of",Asia,,2011-12,1139
Japan,Asia,,2011-12,3733
HongKong. Macao,Asia,,2011-12,2840
Argentina,America,,2011-12,30
Mainland China,Asia,,2011-12,8230
Singapore,Asia,Southeast Asia,2011-12,1883
"Others, America",America,,2011-12,117
Sweden,Europe,,2011-12,79
France,Europe,,2011-12,495
Unstated,,,2011-12,7
Belgium,Europe,,2011-12,37
S. Africa,Africa,,2011-12,149
"Others, Oceania",Oceania,,2011-12,12
New Zealand,Oceania,,2011-12,448
Australia,Oceania,,2011-12,1583
"Others, Europe",Europe,,2011-12,202
Russian Federation,Europe,,2011-12,44
"Others, Africa",Africa,,2011-12,40
Austria,Europe,,2011-12,79
United Kingdom,Europe,,2011-12,537
Spain,Europe,,2011-12,78
Switzerland,Europe,,2011-12,101
Netherlands,Europe,,2011-12,132
Italy,Europe,,2011-12,101
Germany,Europe,,2011-12,458
S. Africa,Africa,,2012-01,123
Canada,America,,2012-01,2049
"Others, Asia",Asia,,2012-01,285
"Others, Southeast Asia",Asia,Southeast Asia,2012-01,149
Vietnam,Asia,Southeast Asia,2012-01,1912
Thailand,Asia,Southeast Asia,2012-01,934
Philippines,Asia,Southeast Asia,2012-01,1008
Indonesia,Asia,Southeast Asia,2012-01,906
Singapore,Asia,Southeast Asia,2012-01,1634
"Korea,Republic of",Asia,,2012-01,1572
Middle East,Asia,,2012-01,96
India,Asia,,2012-01,201
United States of America,America,,2012-01,13793
Japan,Asia,,2012-01,5612
Mainland China,Asia,,2012-01,6579
HongKong. Macao,Asia,,2012-01,3857
"Others, Africa",Africa,,2012-01,42
Unstated,,,2012-01,20
Malaysia,Asia,Southeast Asia,2012-01,2602
Mexico,America,,2012-01,25
"Others, Oceania",Oceania,,2012-01,18
Argentina,America,,2012-01,35
Austria,Europe,,2012-01,92
Greece,Europe,,2012-01,3
Sweden,Europe,,2012-01,95
Russian Federation,Europe,,2012-01,44
"Others, Europe",Europe,,2012-01,248
Australia,Oceania,,2012-01,1840
Brazil,America,,2012-01,112
United Kingdom,Europe,,2012-01,690
Spain,Europe,,2012-01,77
"Others, America",America,,2012-01,132
Belgium,Europe,,2012-01,51
France,Europe,,2012-01,561
Germany,Europe,,2012-01,500
Italy,Europe,,2012-01,125
Netherlands,Europe,,2012-01,175
Switzerland,Europe,,2012-01,124
New Zealand,Oceania,,2012-01,428
Mainland China,Asia,,2012-02,4161
France,Europe,,2012-02,449
Germany,Europe,,2012-02,283
